scheduler,bytes,fct_ms,num_flows_in_bin
eps_ecmp,1024.000000,0.007431,128
eps_ecmp,59114.000000,0.382884,528
eps_ecmp,79641.000000,0.530925,56
eps_ecmp,102961.000000,0.743061,136
eps_ecmp,165101.000000,1.072501,128
eps_ecmp,265083.000000,1.756458,1088
eps_ecmp,358501.000000,2.514618,672
eps_ecmp,464488.000000,3.012074,1320
eps_ecmp,601754.000000,4.907113,736
eps_ecmp,684979.000000,55.090596,1336
eps_ecmp,887736.000000,62.438658,760
eps_ecmp,1150398.000000,55.353492,456
eps_ecmp,1367398.000000,72.239040,1848
eps_ecmp,1932240.000000,72.997114,1376
eps_ecmp,2614938.000000,89.646504,496
eps_ecmp,2977023.000000,77.869448,1368
eps_ecmp,4206969.000000,85.075519,1456
eps_ecmp,4789546.000000,94.234618,1040
eps_ecmp,6768798.000000,90.716731,376
eps_ecmp,8773464.000000,98.154106,720
eps_ecmp,14116494.000000,108.588745,856
eps_ecmp,18297863.000000,100.707043,272
eps_ecmp,29441802.000000,123.125623,296
eps_ecmp,36547643.000000,123.320824,1392
eps_ecmp,51607496.000000,155.117854,368
eps_ecmp,112490368.000000,196.029942,248
ocs_eps_global_ksp,1024.000000,0.010152,128
ocs_eps_global_ksp,59114.000000,0.519645,528
ocs_eps_global_ksp,79641.000000,0.777062,56
ocs_eps_global_ksp,102961.000000,0.901144,136
ocs_eps_global_ksp,165101.000000,1.397085,128
ocs_eps_global_ksp,265083.000000,1.991783,1088
ocs_eps_global_ksp,358501.000000,3.136834,672
ocs_eps_global_ksp,464488.000000,67.256113,1320
ocs_eps_global_ksp,601754.000000,71.490590,736
ocs_eps_global_ksp,684979.000000,73.388987,1336
ocs_eps_global_ksp,887736.000000,81.073528,760
ocs_eps_global_ksp,1150398.000000,91.359663,456
ocs_eps_global_ksp,1367398.000000,89.279839,1848
ocs_eps_global_ksp,1932240.000000,97.727865,1376
ocs_eps_global_ksp,2614938.000000,101.949369,496
ocs_eps_global_ksp,2977023.000000,105.208859,1368
ocs_eps_global_ksp,4206969.000000,115.041494,1456
ocs_eps_global_ksp,4789546.000000,131.953670,1040
ocs_eps_global_ksp,6768798.000000,206.555410,376
ocs_eps_global_ksp,8773464.000000,200.422890,720
ocs_eps_global_ksp,14116494.000000,220.378814,856
ocs_eps_global_ksp,18297863.000000,260.902309,272
ocs_eps_global_ksp,29441802.000000,315.003610,296
ocs_eps_global_ksp,36547643.000000,304.065489,1392
ocs_eps_global_ksp,51607496.000000,354.041202,368
ocs_eps_global_ksp,112490368.000000,491.129917,248
ocs_eps_large_small,1024.000000,0.009584,128
ocs_eps_large_small,59114.000000,0.458308,528
ocs_eps_large_small,79641.000000,0.755591,56
ocs_eps_large_small,102961.000000,0.763660,136
ocs_eps_large_small,165101.000000,58.634673,128
ocs_eps_large_small,265083.000000,1.926187,1088
ocs_eps_large_small,358501.000000,3.322665,672
ocs_eps_large_small,464488.000000,61.688639,1320
ocs_eps_large_small,601754.000000,65.148369,736
ocs_eps_large_small,684979.000000,74.041413,1336
ocs_eps_large_small,887736.000000,77.724276,760
ocs_eps_large_small,1150398.000000,78.534686,456
ocs_eps_large_small,1367398.000000,86.567187,1848
ocs_eps_large_small,1932240.000000,91.864238,1376
ocs_eps_large_small,2614938.000000,99.707125,496
ocs_eps_large_small,2977023.000000,91.485823,1368
ocs_eps_large_small,4206969.000000,96.592381,1456
ocs_eps_large_small,4789546.000000,105.847262,1040
ocs_eps_large_small,6768798.000000,120.743231,376
ocs_eps_large_small,8773464.000000,154.560352,720
ocs_eps_large_small,14116494.000000,239.982396,856
ocs_eps_large_small,18297863.000000,270.287799,272
ocs_eps_large_small,29441802.000000,481.672165,296
ocs_eps_large_small,36547643.000000,500.750990,1392
ocs_eps_large_small,51607496.000000,604.086715,368
ocs_eps_large_small,112490368.000000,765.368342,248
ocs_eps_preset_dynamic_greedy,1024.000000,0.012742,128
ocs_eps_preset_dynamic_greedy,59114.000000,0.481464,528
ocs_eps_preset_dynamic_greedy,79641.000000,0.609014,56
ocs_eps_preset_dynamic_greedy,102961.000000,0.827371,136
ocs_eps_preset_dynamic_greedy,165101.000000,1.276076,128
ocs_eps_preset_dynamic_greedy,265083.000000,1.841928,1088
ocs_eps_preset_dynamic_greedy,358501.000000,2.797416,672
ocs_eps_preset_dynamic_greedy,464488.000000,3.419836,1320
ocs_eps_preset_dynamic_greedy,601754.000000,4.182365,736
ocs_eps_preset_dynamic_greedy,684979.000000,47.259934,1336
ocs_eps_preset_dynamic_greedy,887736.000000,63.648345,760
ocs_eps_preset_dynamic_greedy,1150398.000000,68.229207,456
ocs_eps_preset_dynamic_greedy,1367398.000000,72.078564,1848
ocs_eps_preset_dynamic_greedy,1932240.000000,77.473810,1376
ocs_eps_preset_dynamic_greedy,2614938.000000,94.886058,496
ocs_eps_preset_dynamic_greedy,2977023.000000,90.315504,1368
