seed,scheduler,avg_relative_cct_vs_dynamic
42,ocs_eps_global_ksp,0.803
42,pure_ocs_ksp,1.317
42,eps_ecmp,0.549
42,pure_ocs_ksp_greedy,1.187
42,ocs_eps_preset_dynamic_greedy,1.000
42,pure_ocs_pruned,0.713
42,ocs_eps_pruned,0.850
42,ocs_eps_large_small,1.168
42,ocs_eps_preset_greedy,1.321
42,pure_ocs_3hop_preset,0.713
43,ocs_eps_global_ksp,0.677
43,pure_ocs_ksp,0.679
43,eps_ecmp,0.576
43,pure_ocs_ksp_greedy,0.671
43,ocs_eps_preset_dynamic_greedy,1.000
43,pure_ocs_pruned,1.032
43,ocs_eps_pruned,1.060
43,ocs_eps_large_small,1.094
43,ocs_eps_preset_greedy,0.767
43,pure_ocs_3hop_preset,1.032
44,ocs_eps_global_ksp,1.211
44,pure_ocs_ksp,1.856
44,eps_ecmp,0.976
44,pure_ocs_ksp_greedy,1.126
44,ocs_eps_preset_dynamic_greedy,1.000
44,pure_ocs_pruned,1.223
44,ocs_eps_pruned,0.951
44,ocs_eps_large_small,2.645
44,ocs_eps_preset_greedy,1.799
44,pure_ocs_3hop_preset,1.223
45,ocs_eps_global_ksp,1.458
45,pure_ocs_ksp,1.310
45,eps_ecmp,0.685
45,pure_ocs_ksp_greedy,1.811
45,ocs_eps_preset_dynamic_greedy,1.000
45,pure_ocs_pruned,1.289
45,ocs_eps_pruned,1.080
45,ocs_eps_large_small,2.071
45,ocs_eps_preset_greedy,1.749
45,pure_ocs_3hop_preset,1.289
46,ocs_eps_global_ksp,1.612
46,pure_ocs_ksp,1.542
46,eps_ecmp,0.727
46,pure_ocs_ksp_greedy,1.126
46,ocs_eps_preset_dynamic_greedy,1.000
46,pure_ocs_pruned,1.102
46,ocs_eps_pruned,1.024
46,ocs_eps_large_small,1.278
46,ocs_eps_preset_greedy,1.171
46,pure_ocs_3hop_preset,1.102
47,ocs_eps_global_ksp,1.556
47,pure_ocs_ksp,1.459
47,eps_ecmp,1.243
47,pure_ocs_ksp_greedy,1.289
47,ocs_eps_preset_dynamic_greedy,1.000
47,pure_ocs_pruned,1.227
47,ocs_eps_pruned,1.285
47,ocs_eps_large_small,2.426
47,ocs_eps_preset_greedy,1.462
47,pure_ocs_3hop_preset,1.227
48,ocs_eps_global_ksp,1.054
48,pure_ocs_ksp,1.418
48,eps_ecmp,0.593
48,pure_ocs_ksp_greedy,1.280
48,ocs_eps_preset_dynamic_greedy,1.000
48,pure_ocs_pruned,0.778
48,ocs_eps_pruned,0.700
48,ocs_eps_large_small,1.417
48,ocs_eps_preset_greedy,1.224
48,pure_ocs_3hop_preset,0.778
49,ocs_eps_global_ksp,0.875
49,pure_ocs_ksp,1.024
49,eps_ecmp,0.546
49,pure_ocs_ksp_greedy,0.835
49,ocs_eps_preset_dynamic_greedy,1.000
49,pure_ocs_pruned,0.727
49,ocs_eps_pruned,0.918
49,ocs_eps_large_small,1.679
49,ocs_eps_preset_greedy,1.253
49,pure_ocs_3hop_preset,0.727
50,ocs_eps_global_ksp,1.528
50,pure_ocs_ksp,1.682
50,eps_ecmp,0.916
50,pure_ocs_ksp_greedy,1.266
50,ocs_eps_preset_dynamic_greedy,1.000
50,pure_ocs_pruned,1.177
50,ocs_eps_pruned,0.956
50,ocs_eps_large_small,1.841
50,ocs_eps_preset_greedy,1.998
50,pure_ocs_3hop_preset,1.177
51,ocs_eps_global_ksp,0.963
51,pure_ocs_ksp,0.959
51,eps_ecmp,0.964
51,pure_ocs_ksp_greedy,0.988
51,ocs_eps_preset_dynamic_greedy,1.000
51,pure_ocs_pruned,1.306
51,ocs_eps_pruned,1.004
51,ocs_eps_large_small,1.785
51,ocs_eps_preset_greedy,0.959
51,pure_ocs_3hop_preset,1.306
