seed,scheduler,avg_solve_time_ms
42,ocs_eps_global_ksp,0.000
42,pure_ocs_ksp,0.000
42,eps_ecmp,0.000
42,pure_ocs_ksp_greedy,0.177
42,ocs_eps_preset_dynamic_greedy,0.322
42,pure_ocs_pruned,0.646
42,ocs_eps_pruned,0.268
42,ocs_eps_large_small,0.000
42,ocs_eps_preset_greedy,0.159
42,pure_ocs_3hop_preset,0.347
43,ocs_eps_global_ksp,0.000
43,pure_ocs_ksp,0.000
43,eps_ecmp,0.000
43,pure_ocs_ksp_greedy,0.135
43,ocs_eps_preset_dynamic_greedy,0.197
43,pure_ocs_pruned,0.454
43,ocs_eps_pruned,0.297
43,ocs_eps_large_small,0.000
43,ocs_eps_preset_greedy,0.157
43,pure_ocs_3hop_preset,0.284
44,ocs_eps_global_ksp,0.000
44,pure_ocs_ksp,0.000
44,eps_ecmp,0.000
44,pure_ocs_ksp_greedy,0.162
44,ocs_eps_preset_dynamic_greedy,0.250
44,pure_ocs_pruned,0.617
44,ocs_eps_pruned,0.279
44,ocs_eps_large_small,0.000
44,ocs_eps_preset_greedy,0.152
44,pure_ocs_3hop_preset,0.358
45,ocs_eps_global_ksp,0.000
45,pure_ocs_ksp,0.000
45,eps_ecmp,0.000
45,pure_ocs_ksp_greedy,0.134
45,ocs_eps_preset_dynamic_greedy,0.207
45,pure_ocs_pruned,0.300
45,ocs_eps_pruned,0.756
45,ocs_eps_large_small,0.000
45,ocs_eps_preset_greedy,0.158
45,pure_ocs_3hop_preset,0.319
46,ocs_eps_global_ksp,0.000
46,pure_ocs_ksp,0.000
46,eps_ecmp,0.000
46,pure_ocs_ksp_greedy,0.122
46,ocs_eps_preset_dynamic_greedy,0.336
46,pure_ocs_pruned,0.304
46,ocs_eps_pruned,0.165
46,ocs_eps_large_small,0.000
46,ocs_eps_preset_greedy,0.133
46,pure_ocs_3hop_preset,0.291
47,ocs_eps_global_ksp,0.000
47,pure_ocs_ksp,0.000
47,eps_ecmp,0.000
47,pure_ocs_ksp_greedy,0.145
47,ocs_eps_preset_dynamic_greedy,0.257
47,pure_ocs_pruned,0.258
47,ocs_eps_pruned,2.629
47,ocs_eps_large_small,0.000
47,ocs_eps_preset_greedy,0.119
47,pure_ocs_3hop_preset,0.363
48,ocs_eps_global_ksp,0.000
48,pure_ocs_ksp,0.000
48,eps_ecmp,0.000
48,pure_ocs_ksp_greedy,0.125
48,ocs_eps_preset_dynamic_greedy,0.241
48,pure_ocs_pruned,0.271
48,ocs_eps_pruned,0.274
48,ocs_eps_large_small,0.000
48,ocs_eps_preset_greedy,0.152
48,pure_ocs_3hop_preset,0.238
49,ocs_eps_global_ksp,0.000
49,pure_ocs_ksp,0.000
49,eps_ecmp,0.000
49,pure_ocs_ksp_greedy,0.137
49,ocs_eps_preset_dynamic_greedy,0.224
49,pure_ocs_pruned,0.320
49,ocs_eps_pruned,0.424
49,ocs_eps_large_small,0.000
49,ocs_eps_preset_greedy,0.177
49,pure_ocs_3hop_preset,0.442
50,ocs_eps_global_ksp,0.000
50,pure_ocs_ksp,0.000
50,eps_ecmp,0.000
50,pure_ocs_ksp_greedy,0.136
50,ocs_eps_preset_dynamic_greedy,0.189
50,pure_ocs_pruned,0.296
50,ocs_eps_pruned,0.343
50,ocs_eps_large_small,0.000
50,ocs_eps_preset_greedy,0.124
50,pure_ocs_3hop_preset,0.220
51,ocs_eps_global_ksp,0.000
51,pure_ocs_ksp,0.000
51,eps_ecmp,0.000
51,pure_ocs_ksp_greedy,0.147
51,ocs_eps_preset_dynamic_greedy,0.205
51,pure_ocs_pruned,0.301
51,ocs_eps_pruned,0.256
51,ocs_eps_large_small,0.000
51,ocs_eps_preset_greedy,0.157
51,pure_ocs_3hop_preset,0.429
