case_base,seed,scheduler,avg_relative_cct_vs_dynamic
cdf_fbcoco,42,ocs_eps_global_ksp,1.208
cdf_fbcoco,42,pure_ocs_ksp,1.327
cdf_fbcoco,42,eps_ecmp,0.583
cdf_fbcoco,42,pure_ocs_ksp_greedy,1.142
cdf_fbcoco,42,ocs_eps_preset_dynamic_greedy,1.000
cdf_fbcoco,42,pure_ocs_pruned,1.147
cdf_fbcoco,42,ocs_eps_pruned,0.807
cdf_fbcoco,42,ocs_eps_large_small,1.753
cdf_fbcoco,42,ocs_eps_preset_greedy,1.635
cdf_fbcoco,42,pure_ocs_3hop_preset,1.147
cdf_fbcoco,43,ocs_eps_global_ksp,1.156
cdf_fbcoco,43,pure_ocs_ksp,1.324
cdf_fbcoco,43,eps_ecmp,0.550
cdf_fbcoco,43,pure_ocs_ksp_greedy,1.366
cdf_fbcoco,43,ocs_eps_preset_dynamic_greedy,1.000
cdf_fbcoco,43,pure_ocs_pruned,1.294
cdf_fbcoco,43,ocs_eps_pruned,1.029
cdf_fbcoco,43,ocs_eps_large_small,1.873
cdf_fbcoco,43,ocs_eps_preset_greedy,1.698
cdf_fbcoco,43,pure_ocs_3hop_preset,1.294
cdf_fbcoco,44,ocs_eps_global_ksp,1.080
cdf_fbcoco,44,pure_ocs_ksp,1.085
cdf_fbcoco,44,eps_ecmp,0.532
cdf_fbcoco,44,pure_ocs_ksp_greedy,1.077
cdf_fbcoco,44,ocs_eps_preset_dynamic_greedy,1.000
cdf_fbcoco,44,pure_ocs_pruned,1.020
cdf_fbcoco,44,ocs_eps_pruned,0.874
cdf_fbcoco,44,ocs_eps_large_small,1.631
cdf_fbcoco,44,ocs_eps_preset_greedy,1.349
cdf_fbcoco,44,pure_ocs_3hop_preset,1.020
cdf_fbcoco,45,ocs_eps_global_ksp,1.144
cdf_fbcoco,45,pure_ocs_ksp,1.335
cdf_fbcoco,45,eps_ecmp,0.640
cdf_fbcoco,45,pure_ocs_ksp_greedy,1.244
cdf_fbcoco,45,ocs_eps_preset_dynamic_greedy,1.000
cdf_fbcoco,45,pure_ocs_pruned,1.151
cdf_fbcoco,45,ocs_eps_pruned,0.909
cdf_fbcoco,45,ocs_eps_large_small,1.707
cdf_fbcoco,45,ocs_eps_preset_greedy,1.512
cdf_fbcoco,45,pure_ocs_3hop_preset,1.151
cdf_fbcoco,46,ocs_eps_global_ksp,1.160
cdf_fbcoco,46,pure_ocs_ksp,1.143
cdf_fbcoco,46,eps_ecmp,0.620
cdf_fbcoco,46,pure_ocs_ksp_greedy,1.038
cdf_fbcoco,46,ocs_eps_preset_dynamic_greedy,1.000
cdf_fbcoco,46,pure_ocs_pruned,1.096
cdf_fbcoco,46,ocs_eps_pruned,0.862
cdf_fbcoco,46,ocs_eps_large_small,1.425
cdf_fbcoco,46,ocs_eps_preset_greedy,1.248
cdf_fbcoco,46,pure_ocs_3hop_preset,1.096
cdf_fbcoco,47,ocs_eps_global_ksp,1.155
cdf_fbcoco,47,pure_ocs_ksp,1.290
cdf_fbcoco,47,eps_ecmp,0.702
cdf_fbcoco,47,pure_ocs_ksp_greedy,1.168
cdf_fbcoco,47,ocs_eps_preset_dynamic_greedy,1.000
cdf_fbcoco,47,pure_ocs_pruned,1.145
cdf_fbcoco,47,ocs_eps_pruned,1.011
cdf_fbcoco,47,ocs_eps_large_small,1.679
cdf_fbcoco,47,ocs_eps_preset_greedy,1.468
cdf_fbcoco,47,pure_ocs_3hop_preset,1.145
cdf_fbcoco,48,ocs_eps_global_ksp,1.061
cdf_fbcoco,48,pure_ocs_ksp,1.408
cdf_fbcoco,48,eps_ecmp,0.532
cdf_fbcoco,48,pure_ocs_ksp_greedy,1.119
cdf_fbcoco,48,ocs_eps_preset_dynamic_greedy,1.000
cdf_fbcoco,48,pure_ocs_pruned,1.172
cdf_fbcoco,48,ocs_eps_pruned,0.994
cdf_fbcoco,48,ocs_eps_large_small,1.708
cdf_fbcoco,48,ocs_eps_preset_greedy,1.501
cdf_fbcoco,48,pure_ocs_3hop_preset,1.172
cdf_fbcoco,49,ocs_eps_global_ksp,1.134
cdf_fbcoco,49,pure_ocs_ksp,1.247
cdf_fbcoco,49,eps_ecmp,0.576
cdf_fbcoco,49,pure_ocs_ksp_greedy,1.205
cdf_fbcoco,49,ocs_eps_preset_dynamic_greedy,1.000
cdf_fbcoco,49,pure_ocs_pruned,1.150
cdf_fbcoco,49,ocs_eps_pruned,0.957
cdf_fbcoco,49,ocs_eps_large_small,1.659
cdf_fbcoco,49,ocs_eps_preset_greedy,1.464
cdf_fbcoco,49,pure_ocs_3hop_preset,1.150
cdf_fbcoco,50,ocs_eps_global_ksp,1.129
cdf_fbcoco,50,pure_ocs_ksp,1.371
cdf_fbcoco,50,eps_ecmp,0.553
