case_base,scheduler,seed_count,mean_avg_relative_cct_vs_dynamic,std_avg_relative_cct_vs_dynamic
cdf_fbcoco,ocs_eps_global_ksp,10,1.135,0.039
cdf_fbcoco,pure_ocs_ksp,10,1.277,0.096
cdf_fbcoco,eps_ecmp,10,0.581,0.055
cdf_fbcoco,pure_ocs_ksp_greedy,10,1.174,0.087
cdf_fbcoco,ocs_eps_preset_dynamic_greedy,10,1.000,0.000
cdf_fbcoco,pure_ocs_pruned,10,1.145,0.065
cdf_fbcoco,ocs_eps_pruned,10,0.919,0.072
cdf_fbcoco,ocs_eps_large_small,10,1.692,0.110
cdf_fbcoco,ocs_eps_preset_greedy,10,1.478,0.126
cdf_fbcoco,pure_ocs_3hop_preset,10,1.145,0.065
cdf_fbcoco_february_2024,ocs_eps_global_ksp,10,1.144,0.062
cdf_fbcoco_february_2024,pure_ocs_ksp,10,1.273,0.061
cdf_fbcoco_february_2024,eps_ecmp,10,0.602,0.089
cdf_fbcoco_february_2024,pure_ocs_ksp_greedy,10,1.171,0.045
cdf_fbcoco_february_2024,ocs_eps_preset_dynamic_greedy,10,1.000,0.000
cdf_fbcoco_february_2024,pure_ocs_pruned,10,1.129,0.051
cdf_fbcoco_february_2024,ocs_eps_pruned,10,0.915,0.067
cdf_fbcoco_february_2024,ocs_eps_large_small,10,1.690,0.072
cdf_fbcoco_february_2024,ocs_eps_preset_greedy,10,1.442,0.064
cdf_fbcoco_february_2024,pure_ocs_3hop_preset,10,1.129,0.051
cdf_fbcoco_january_2024,ocs_eps_global_ksp,10,1.298,0.077
cdf_fbcoco_january_2024,pure_ocs_ksp,10,1.275,0.070
cdf_fbcoco_january_2024,eps_ecmp,10,0.817,0.133
cdf_fbcoco_january_2024,pure_ocs_ksp_greedy,10,1.190,0.052
cdf_fbcoco_january_2024,ocs_eps_preset_dynamic_greedy,10,1.000,0.000
cdf_fbcoco_january_2024,pure_ocs_pruned,10,1.211,0.110
cdf_fbcoco_january_2024,ocs_eps_pruned,10,1.078,0.097
cdf_fbcoco_january_2024,ocs_eps_large_small,10,1.644,0.081
cdf_fbcoco_january_2024,ocs_eps_preset_greedy,10,1.430,0.079
cdf_fbcoco_january_2024,pure_ocs_3hop_preset,10,1.211,0.110
cdf_fbcoco_march_2024,ocs_eps_global_ksp,10,1.149,0.102
cdf_fbcoco_march_2024,pure_ocs_ksp,10,1.274,0.096
cdf_fbcoco_march_2024,eps_ecmp,10,0.563,0.064
cdf_fbcoco_march_2024,pure_ocs_ksp_greedy,10,1.160,0.087
cdf_fbcoco_march_2024,ocs_eps_preset_dynamic_greedy,10,1.000,0.000
cdf_fbcoco_march_2024,pure_ocs_pruned,10,1.133,0.086
cdf_fbcoco_march_2024,ocs_eps_pruned,10,0.935,0.079
cdf_fbcoco_march_2024,ocs_eps_large_small,10,1.633,0.151
cdf_fbcoco_march_2024,ocs_eps_preset_greedy,10,1.361,0.109
cdf_fbcoco_march_2024,pure_ocs_3hop_preset,10,1.133,0.086
