case_base,seed,scheduler,avg_relative_cct_vs_dynamic
cdf_fbcoco,42,ocs_eps_global_ksp,1.323
cdf_fbcoco,42,pure_ocs_ksp,1.429
cdf_fbcoco,42,eps_ecmp,0.768
cdf_fbcoco,42,pure_ocs_ksp_greedy,1.294
cdf_fbcoco,42,ocs_eps_preset_dynamic_greedy,1.000
cdf_fbcoco,42,pure_ocs_pruned,1.191
cdf_fbcoco,42,ocs_eps_pruned,0.883
cdf_fbcoco,42,ocs_eps_large_small,1.695
cdf_fbcoco,42,ocs_eps_preset_greedy,1.721
cdf_fbcoco,42,pure_ocs_3hop_preset,1.191
cdf_fbcoco,43,ocs_eps_global_ksp,1.500
cdf_fbcoco,43,pure_ocs_ksp,1.841
cdf_fbcoco,43,eps_ecmp,0.773
cdf_fbcoco,43,pure_ocs_ksp_greedy,1.625
cdf_fbcoco,43,ocs_eps_preset_dynamic_greedy,1.000
cdf_fbcoco,43,pure_ocs_pruned,1.598
cdf_fbcoco,43,ocs_eps_pruned,1.376
cdf_fbcoco,43,ocs_eps_large_small,2.140
cdf_fbcoco,43,ocs_eps_preset_greedy,1.867
cdf_fbcoco,43,pure_ocs_3hop_preset,1.598
cdf_fbcoco,44,ocs_eps_global_ksp,1.307
cdf_fbcoco,44,pure_ocs_ksp,0.854
cdf_fbcoco,44,eps_ecmp,0.573
cdf_fbcoco,44,pure_ocs_ksp_greedy,0.886
cdf_fbcoco,44,ocs_eps_preset_dynamic_greedy,1.000
cdf_fbcoco,44,pure_ocs_pruned,0.869
cdf_fbcoco,44,ocs_eps_pruned,0.813
cdf_fbcoco,44,ocs_eps_large_small,1.220
cdf_fbcoco,44,ocs_eps_preset_greedy,1.145
cdf_fbcoco,44,pure_ocs_3hop_preset,0.869
cdf_fbcoco,45,ocs_eps_global_ksp,1.046
cdf_fbcoco,45,pure_ocs_ksp,1.188
cdf_fbcoco,45,eps_ecmp,0.617
cdf_fbcoco,45,pure_ocs_ksp_greedy,1.144
cdf_fbcoco,45,ocs_eps_preset_dynamic_greedy,1.000
cdf_fbcoco,45,pure_ocs_pruned,1.064
cdf_fbcoco,45,ocs_eps_pruned,0.853
cdf_fbcoco,45,ocs_eps_large_small,1.452
cdf_fbcoco,45,ocs_eps_preset_greedy,1.336
cdf_fbcoco,45,pure_ocs_3hop_preset,1.064
cdf_fbcoco,46,ocs_eps_global_ksp,1.261
cdf_fbcoco,46,pure_ocs_ksp,1.099
cdf_fbcoco,46,eps_ecmp,0.615
cdf_fbcoco,46,pure_ocs_ksp_greedy,1.034
cdf_fbcoco,46,ocs_eps_preset_dynamic_greedy,1.000
cdf_fbcoco,46,pure_ocs_pruned,1.155
cdf_fbcoco,46,ocs_eps_pruned,1.040
cdf_fbcoco,46,ocs_eps_large_small,1.439
cdf_fbcoco,46,ocs_eps_preset_greedy,1.114
cdf_fbcoco,46,pure_ocs_3hop_preset,1.155
cdf_fbcoco,47,ocs_eps_global_ksp,1.098
cdf_fbcoco,47,pure_ocs_ksp,1.321
cdf_fbcoco,47,eps_ecmp,0.919
cdf_fbcoco,47,pure_ocs_ksp_greedy,1.229
cdf_fbcoco,47,ocs_eps_preset_dynamic_greedy,1.000
cdf_fbcoco,47,pure_ocs_pruned,1.101
cdf_fbcoco,47,ocs_eps_pruned,1.068
cdf_fbcoco,47,ocs_eps_large_small,1.705
cdf_fbcoco,47,ocs_eps_preset_greedy,1.283
cdf_fbcoco,47,pure_ocs_3hop_preset,1.101
cdf_fbcoco,48,ocs_eps_global_ksp,0.931
cdf_fbcoco,48,pure_ocs_ksp,1.340
cdf_fbcoco,48,eps_ecmp,0.633
cdf_fbcoco,48,pure_ocs_ksp_greedy,1.109
cdf_fbcoco,48,ocs_eps_preset_dynamic_greedy,1.000
cdf_fbcoco,48,pure_ocs_pruned,1.085
cdf_fbcoco,48,ocs_eps_pruned,1.184
cdf_fbcoco,48,ocs_eps_large_small,1.442
cdf_fbcoco,48,ocs_eps_preset_greedy,1.246
cdf_fbcoco,48,pure_ocs_3hop_preset,1.085
cdf_fbcoco,49,ocs_eps_global_ksp,1.428
cdf_fbcoco,49,pure_ocs_ksp,1.339
cdf_fbcoco,49,eps_ecmp,0.731
cdf_fbcoco,49,pure_ocs_ksp_greedy,1.351
cdf_fbcoco,49,ocs_eps_preset_dynamic_greedy,1.000
cdf_fbcoco,49,pure_ocs_pruned,1.342
cdf_fbcoco,49,ocs_eps_pruned,1.255
cdf_fbcoco,49,ocs_eps_large_small,1.749
cdf_fbcoco,49,ocs_eps_preset_greedy,1.443
cdf_fbcoco,49,pure_ocs_3hop_preset,1.342
cdf_fbcoco,50,ocs_eps_global_ksp,1.103
cdf_fbcoco,50,pure_ocs_ksp,1.323
cdf_fbcoco,50,eps_ecmp,0.636
cdf_fbcoco,50,pure_ocs_ksp_greedy,1.199
cdf_fbcoco,50,ocs_eps_preset_dynamic_greedy,1.000
cdf_fbcoco,50,pure_ocs_pruned,1.196
cdf_fbcoco,50,ocs_eps_pruned,0.941
