case_base,seed,scheduler,avg_relative_fct_vs_dynamic
cdf_fbcoco,42,ocs_eps_global_ksp,1.823
cdf_fbcoco,42,pure_ocs_ksp,1.299
cdf_fbcoco,42,eps_ecmp,0.676
cdf_fbcoco,42,pure_ocs_ksp_greedy,1.157
cdf_fbcoco,42,ocs_eps_preset_dynamic_greedy,1.000
cdf_fbcoco,42,pure_ocs_pruned,1.116
cdf_fbcoco,42,ocs_eps_pruned,0.866
cdf_fbcoco,42,ocs_eps_large_small,1.555
cdf_fbcoco,42,ocs_eps_preset_greedy,1.801
cdf_fbcoco,42,pure_ocs_3hop_preset,1.116
cdf_fbcoco,43,ocs_eps_global_ksp,1.648
cdf_fbcoco,43,pure_ocs_ksp,1.196
cdf_fbcoco,43,eps_ecmp,0.700
cdf_fbcoco,43,pure_ocs_ksp_greedy,1.382
cdf_fbcoco,43,ocs_eps_preset_dynamic_greedy,1.000
cdf_fbcoco,43,pure_ocs_pruned,1.482
cdf_fbcoco,43,ocs_eps_pruned,1.132
cdf_fbcoco,43,ocs_eps_large_small,1.374
cdf_fbcoco,43,ocs_eps_preset_greedy,1.972
cdf_fbcoco,43,pure_ocs_3hop_preset,1.482
cdf_fbcoco,44,ocs_eps_global_ksp,2.037
cdf_fbcoco,44,pure_ocs_ksp,1.175
cdf_fbcoco,44,eps_ecmp,0.627
cdf_fbcoco,44,pure_ocs_ksp_greedy,1.139
cdf_fbcoco,44,ocs_eps_preset_dynamic_greedy,1.000
cdf_fbcoco,44,pure_ocs_pruned,1.016
cdf_fbcoco,44,ocs_eps_pruned,1.057
cdf_fbcoco,44,ocs_eps_large_small,1.750
cdf_fbcoco,44,ocs_eps_preset_greedy,1.678
cdf_fbcoco,44,pure_ocs_3hop_preset,1.016
cdf_fbcoco,45,ocs_eps_global_ksp,2.081
cdf_fbcoco,45,pure_ocs_ksp,1.492
cdf_fbcoco,45,eps_ecmp,0.745
cdf_fbcoco,45,pure_ocs_ksp_greedy,1.170
cdf_fbcoco,45,ocs_eps_preset_dynamic_greedy,1.000
cdf_fbcoco,45,pure_ocs_pruned,1.161
cdf_fbcoco,45,ocs_eps_pruned,0.893
cdf_fbcoco,45,ocs_eps_large_small,1.299
cdf_fbcoco,45,ocs_eps_preset_greedy,1.862
cdf_fbcoco,45,pure_ocs_3hop_preset,1.161
cdf_fbcoco,46,ocs_eps_global_ksp,2.113
cdf_fbcoco,46,pure_ocs_ksp,1.598
cdf_fbcoco,46,eps_ecmp,0.751
cdf_fbcoco,46,pure_ocs_ksp_greedy,1.076
cdf_fbcoco,46,ocs_eps_preset_dynamic_greedy,1.000
cdf_fbcoco,46,pure_ocs_pruned,1.033
cdf_fbcoco,46,ocs_eps_pruned,1.443
cdf_fbcoco,46,ocs_eps_large_small,30.846
cdf_fbcoco,46,ocs_eps_preset_greedy,3.296
cdf_fbcoco,46,pure_ocs_3hop_preset,1.033
cdf_fbcoco,47,ocs_eps_global_ksp,3.444
cdf_fbcoco,47,pure_ocs_ksp,1.956
cdf_fbcoco,47,eps_ecmp,0.781
cdf_fbcoco,47,pure_ocs_ksp_greedy,1.073
cdf_fbcoco,47,ocs_eps_preset_dynamic_greedy,1.000
cdf_fbcoco,47,pure_ocs_pruned,1.071
cdf_fbcoco,47,ocs_eps_pruned,0.886
cdf_fbcoco,47,ocs_eps_large_small,1.113
cdf_fbcoco,47,ocs_eps_preset_greedy,2.549
cdf_fbcoco,47,pure_ocs_3hop_preset,1.071
cdf_fbcoco,48,ocs_eps_global_ksp,4.850
cdf_fbcoco,48,pure_ocs_ksp,1.166
cdf_fbcoco,48,eps_ecmp,0.587
cdf_fbcoco,48,pure_ocs_ksp_greedy,1.105
cdf_fbcoco,48,ocs_eps_preset_dynamic_greedy,1.000
cdf_fbcoco,48,pure_ocs_pruned,1.098
cdf_fbcoco,48,ocs_eps_pruned,0.891
cdf_fbcoco,48,ocs_eps_large_small,6.159
cdf_fbcoco,48,ocs_eps_preset_greedy,1.487
cdf_fbcoco,48,pure_ocs_3hop_preset,1.098
cdf_fbcoco,49,ocs_eps_global_ksp,1.493
cdf_fbcoco,49,pure_ocs_ksp,1.186
cdf_fbcoco,49,eps_ecmp,0.654
cdf_fbcoco,49,pure_ocs_ksp_greedy,1.093
cdf_fbcoco,49,ocs_eps_preset_dynamic_greedy,1.000
cdf_fbcoco,49,pure_ocs_pruned,1.057
cdf_fbcoco,49,ocs_eps_pruned,1.254
cdf_fbcoco,49,ocs_eps_large_small,1.319
cdf_fbcoco,49,ocs_eps_preset_greedy,1.992
cdf_fbcoco,49,pure_ocs_3hop_preset,1.057
cdf_fbcoco,50,ocs_eps_global_ksp,1.691
cdf_fbcoco,50,pure_ocs_ksp,1.336
cdf_fbcoco,50,eps_ecmp,0.573
cdf_fbcoco,50,pure_ocs_ksp_greedy,1.126
cdf_fbcoco,50,ocs_eps_preset_dynamic_greedy,1.000
cdf_fbcoco,50,pure_ocs_pruned,1.025
cdf_fbcoco,50,ocs_eps_pruned,0.895
cdf_fbcoco,50,ocs_eps_large_small,9.076
cdf_fbcoco,50,ocs_eps_preset_greedy,3.211
cdf_fbcoco,50,pure_ocs_3hop_preset,1.025
cdf_fbcoco,51,ocs_eps_global_ksp,1.883
cdf_fbcoco,51,pure_ocs_ksp,1.277
cdf_fbcoco,51,eps_ecmp,0.593
cdf_fbcoco,51,pure_ocs_ksp_greedy,1.196
cdf_fbcoco,51,ocs_eps_preset_dynamic_greedy,1.000
cdf_fbcoco,51,pure_ocs_pruned,1.119
cdf_fbcoco,51,ocs_eps_pruned,0.963
cdf_fbcoco,51,ocs_eps_large_small,1.968
cdf_fbcoco,51,ocs_eps_preset_greedy,12.119
cdf_fbcoco,51,pure_ocs_3hop_preset,1.119
cdf_fbcoco_february_2024,42,ocs_eps_global_ksp,1.620
cdf_fbcoco_february_2024,42,pure_ocs_ksp,1.507
cdf_fbcoco_february_2024,42,eps_ecmp,0.663
cdf_fbcoco_february_2024,42,pure_ocs_ksp_greedy,1.205
cdf_fbcoco_february_2024,42,ocs_eps_preset_dynamic_greedy,1.000
cdf_fbcoco_february_2024,42,pure_ocs_pruned,1.245
cdf_fbcoco_february_2024,42,ocs_eps_pruned,0.881
cdf_fbcoco_february_2024,42,ocs_eps_large_small,2.211
cdf_fbcoco_february_2024,42,ocs_eps_preset_greedy,1.738
cdf_fbcoco_february_2024,42,pure_ocs_3hop_preset,1.245
cdf_fbcoco_february_2024,43,ocs_eps_global_ksp,1.171
cdf_fbcoco_february_2024,43,pure_ocs_ksp,1.226
cdf_fbcoco_february_2024,43,eps_ecmp,0.641
cdf_fbcoco_february_2024,43,pure_ocs_ksp_greedy,1.141
cdf_fbcoco_february_2024,43,ocs_eps_preset_dynamic_greedy,1.000
cdf_fbcoco_february_2024,43,pure_ocs_pruned,1.101
cdf_fbcoco_february_2024,43,ocs_eps_pruned,0.876
cdf_fbcoco_february_2024,43,ocs_eps_large_small,1.174
cdf_fbcoco_february_2024,43,ocs_eps_preset_greedy,1.423
cdf_fbcoco_february_2024,43,pure_ocs_3hop_preset,1.101
cdf_fbcoco_february_2024,44,ocs_eps_global_ksp,3.016
cdf_fbcoco_february_2024,44,pure_ocs_ksp,1.227
cdf_fbcoco_february_2024,44,eps_ecmp,0.631
cdf_fbcoco_february_2024,44,pure_ocs_ksp_greedy,1.233
cdf_fbcoco_february_2024,44,ocs_eps_preset_dynamic_greedy,1.000
cdf_fbcoco_february_2024,44,pure_ocs_pruned,1.059
cdf_fbcoco_february_2024,44,ocs_eps_pruned,0.955
cdf_fbcoco_february_2024,44,ocs_eps_large_small,1.233
cdf_fbcoco_february_2024,44,ocs_eps_preset_greedy,1.826
cdf_fbcoco_february_2024,44,pure_ocs_3hop_preset,1.059
cdf_fbcoco_february_2024,45,ocs_eps_global_ksp,1.684
cdf_fbcoco_february_2024,45,pure_ocs_ksp,1.219
cdf_fbcoco_february_2024,45,eps_ecmp,0.707
cdf_fbcoco_february_2024,45,pure_ocs_ksp_greedy,1.205
cdf_fbcoco_february_2024,45,ocs_eps_preset_dynamic_greedy,1.000
cdf_fbcoco_february_2024,45,pure_ocs_pruned,1.304
cdf_fbcoco_february_2024,45,ocs_eps_pruned,0.868
cdf_fbcoco_february_2024,45,ocs_eps_large_small,1.137
cdf_fbcoco_february_2024,45,ocs_eps_preset_greedy,1.769
cdf_fbcoco_february_2024,45,pure_ocs_3hop_preset,1.304
cdf_fbcoco_february_2024,46,ocs_eps_global_ksp,2.295
cdf_fbcoco_february_2024,46,pure_ocs_ksp,1.647
cdf_fbcoco_february_2024,46,eps_ecmp,0.777
cdf_fbcoco_february_2024,46,pure_ocs_ksp_greedy,1.094
cdf_fbcoco_february_2024,46,ocs_eps_preset_dynamic_greedy,1.000
cdf_fbcoco_february_2024,46,pure_ocs_pruned,1.058
cdf_fbcoco_february_2024,46,ocs_eps_pruned,1.110
cdf_fbcoco_february_2024,46,ocs_eps_large_small,4.762
cdf_fbcoco_february_2024,46,ocs_eps_preset_greedy,2.680
cdf_fbcoco_february_2024,46,pure_ocs_3hop_preset,1.058
cdf_fbcoco_february_2024,47,ocs_eps_global_ksp,4.496
cdf_fbcoco_february_2024,47,pure_ocs_ksp,1.746
cdf_fbcoco_february_2024,47,eps_ecmp,0.880
cdf_fbcoco_february_2024,47,pure_ocs_ksp_greedy,1.754
cdf_fbcoco_february_2024,47,ocs_eps_preset_dynamic_greedy,1.000
cdf_fbcoco_february_2024,47,pure_ocs_pruned,1.662
cdf_fbcoco_february_2024,47,ocs_eps_pruned,1.522
cdf_fbcoco_february_2024,47,ocs_eps_large_small,2.179
cdf_fbcoco_february_2024,47,ocs_eps_preset_greedy,3.563
cdf_fbcoco_february_2024,47,pure_ocs_3hop_preset,1.662
cdf_fbcoco_february_2024,48,ocs_eps_global_ksp,1.721
cdf_fbcoco_february_2024,48,pure_ocs_ksp,1.596
cdf_fbcoco_february_2024,48,eps_ecmp,0.635
cdf_fbcoco_february_2024,48,pure_ocs_ksp_greedy,1.143
cdf_fbcoco_february_2024,48,ocs_eps_preset_dynamic_greedy,1.000
cdf_fbcoco_february_2024,48,pure_ocs_pruned,1.653
cdf_fbcoco_february_2024,48,ocs_eps_pruned,0.889
cdf_fbcoco_february_2024,48,ocs_eps_large_small,1.622
cdf_fbcoco_february_2024,48,ocs_eps_preset_greedy,2.524
cdf_fbcoco_february_2024,48,pure_ocs_3hop_preset,1.653
cdf_fbcoco_february_2024,49,ocs_eps_global_ksp,1.537
cdf_fbcoco_february_2024,49,pure_ocs_ksp,1.237
cdf_fbcoco_february_2024,49,eps_ecmp,0.736
cdf_fbcoco_february_2024,49,pure_ocs_ksp_greedy,1.223
cdf_fbcoco_february_2024,49,ocs_eps_preset_dynamic_greedy,1.000
cdf_fbcoco_february_2024,49,pure_ocs_pruned,1.765
cdf_fbcoco_february_2024,49,ocs_eps_pruned,1.121
cdf_fbcoco_february_2024,49,ocs_eps_large_small,2.770
cdf_fbcoco_february_2024,49,ocs_eps_preset_greedy,2.974
cdf_fbcoco_february_2024,49,pure_ocs_3hop_preset,1.765
cdf_fbcoco_february_2024,50,ocs_eps_global_ksp,1.827
cdf_fbcoco_february_2024,50,pure_ocs_ksp,1.502
cdf_fbcoco_february_2024,50,eps_ecmp,0.622
cdf_fbcoco_february_2024,50,pure_ocs_ksp_greedy,1.591
cdf_fbcoco_february_2024,50,ocs_eps_preset_dynamic_greedy,1.000
cdf_fbcoco_february_2024,50,pure_ocs_pruned,1.411
cdf_fbcoco_february_2024,50,ocs_eps_pruned,1.702
cdf_fbcoco_february_2024,50,ocs_eps_large_small,3.413
cdf_fbcoco_february_2024,50,ocs_eps_preset_greedy,2.338
cdf_fbcoco_february_2024,50,pure_ocs_3hop_preset,1.411
cdf_fbcoco_february_2024,51,ocs_eps_global_ksp,2.248
cdf_fbcoco_february_2024,51,pure_ocs_ksp,2.238
cdf_fbcoco_february_2024,51,eps_ecmp,0.590
cdf_fbcoco_february_2024,51,pure_ocs_ksp_greedy,1.185
cdf_fbcoco_february_2024,51,ocs_eps_preset_dynamic_greedy,1.000
cdf_fbcoco_february_2024,51,pure_ocs_pruned,1.669
cdf_fbcoco_february_2024,51,ocs_eps_pruned,1.939
cdf_fbcoco_february_2024,51,ocs_eps_large_small,2.222
cdf_fbcoco_february_2024,51,ocs_eps_preset_greedy,1.976
cdf_fbcoco_february_2024,51,pure_ocs_3hop_preset,1.669
cdf_fbcoco_january_2024,42,ocs_eps_global_ksp,1.593
cdf_fbcoco_january_2024,42,pure_ocs_ksp,1.373
