case_base,scheduler,seed_count,mean_avg_relative_fct_vs_dynamic,std_avg_relative_fct_vs_dynamic
cdf_fbcoco,ocs_eps_global_ksp,10,2.306,0.991
cdf_fbcoco,pure_ocs_ksp,10,1.368,0.239
cdf_fbcoco,eps_ecmp,10,0.669,0.071
cdf_fbcoco,pure_ocs_ksp_greedy,10,1.152,0.086
cdf_fbcoco,ocs_eps_preset_dynamic_greedy,10,1.000,0.000
cdf_fbcoco,pure_ocs_pruned,10,1.118,0.129
cdf_fbcoco,ocs_eps_pruned,10,1.028,0.184
cdf_fbcoco,ocs_eps_large_small,10,5.646,8.769
cdf_fbcoco,ocs_eps_preset_greedy,10,3.197,3.032
cdf_fbcoco,pure_ocs_3hop_preset,10,1.118,0.129
cdf_fbcoco_february_2024,ocs_eps_global_ksp,10,2.162,0.917
cdf_fbcoco_february_2024,pure_ocs_ksp,10,1.514,0.305
cdf_fbcoco_february_2024,eps_ecmp,10,0.688,0.084
cdf_fbcoco_february_2024,pure_ocs_ksp_greedy,10,1.277,0.205
cdf_fbcoco_february_2024,ocs_eps_preset_dynamic_greedy,10,1.000,0.000
cdf_fbcoco_february_2024,pure_ocs_pruned,10,1.393,0.263
cdf_fbcoco_february_2024,ocs_eps_pruned,10,1.186,0.373
cdf_fbcoco_february_2024,ocs_eps_large_small,10,2.272,1.084
cdf_fbcoco_february_2024,ocs_eps_preset_greedy,10,2.281,0.628
cdf_fbcoco_february_2024,pure_ocs_3hop_preset,10,1.393,0.263
cdf_fbcoco_january_2024,ocs_eps_global_ksp,10,1.797,0.405
cdf_fbcoco_january_2024,pure_ocs_ksp,10,1.313,0.110
cdf_fbcoco_january_2024,eps_ecmp,10,0.924,0.129
cdf_fbcoco_january_2024,pure_ocs_ksp_greedy,10,1.211,0.128
cdf_fbcoco_january_2024,ocs_eps_preset_dynamic_greedy,10,1.000,0.000
cdf_fbcoco_january_2024,pure_ocs_pruned,10,1.213,0.109
cdf_fbcoco_january_2024,ocs_eps_pruned,10,0.974,0.101
cdf_fbcoco_january_2024,ocs_eps_large_small,10,1.168,0.189
cdf_fbcoco_january_2024,ocs_eps_preset_greedy,10,1.720,0.331
cdf_fbcoco_january_2024,pure_ocs_3hop_preset,10,1.213,0.109
cdf_fbcoco_march_2024,ocs_eps_global_ksp,10,2.151,0.298
cdf_fbcoco_march_2024,pure_ocs_ksp,10,1.346,0.184
cdf_fbcoco_march_2024,eps_ecmp,10,0.758,0.131
cdf_fbcoco_march_2024,pure_ocs_ksp_greedy,10,1.336,0.232
cdf_fbcoco_march_2024,ocs_eps_preset_dynamic_greedy,10,1.000,0.000
cdf_fbcoco_march_2024,pure_ocs_pruned,10,1.331,0.272
cdf_fbcoco_march_2024,ocs_eps_pruned,10,1.076,0.216
cdf_fbcoco_march_2024,ocs_eps_large_small,10,2.238,0.763
cdf_fbcoco_march_2024,ocs_eps_preset_greedy,10,2.553,1.184
cdf_fbcoco_march_2024,pure_ocs_3hop_preset,10,1.331,0.272
