case_base,seed,scheduler,avg_solve_time_ms
cdf_fbcoco,42,ocs_eps_global_ksp,0.000
cdf_fbcoco,42,pure_ocs_ksp,0.000
cdf_fbcoco,42,eps_ecmp,0.000
cdf_fbcoco,42,pure_ocs_ksp_greedy,0.195
cdf_fbcoco,42,ocs_eps_preset_dynamic_greedy,0.278
cdf_fbcoco,42,pure_ocs_pruned,0.631
cdf_fbcoco,42,ocs_eps_pruned,0.356
cdf_fbcoco,42,ocs_eps_large_small,0.000
cdf_fbcoco,42,ocs_eps_preset_greedy,0.744
cdf_fbcoco,42,pure_ocs_3hop_preset,0.306
cdf_fbcoco,43,ocs_eps_global_ksp,0.000
cdf_fbcoco,43,pure_ocs_ksp,0.000
cdf_fbcoco,43,eps_ecmp,0.000
cdf_fbcoco,43,pure_ocs_ksp_greedy,0.164
cdf_fbcoco,43,ocs_eps_preset_dynamic_greedy,0.276
cdf_fbcoco,43,pure_ocs_pruned,0.590
cdf_fbcoco,43,ocs_eps_pruned,0.290
cdf_fbcoco,43,ocs_eps_large_small,0.000
cdf_fbcoco,43,ocs_eps_preset_greedy,0.171
cdf_fbcoco,43,pure_ocs_3hop_preset,0.914
cdf_fbcoco,44,ocs_eps_global_ksp,0.000
cdf_fbcoco,44,pure_ocs_ksp,0.000
cdf_fbcoco,44,eps_ecmp,0.000
cdf_fbcoco,44,pure_ocs_ksp_greedy,0.164
cdf_fbcoco,44,ocs_eps_preset_dynamic_greedy,0.291
cdf_fbcoco,44,pure_ocs_pruned,0.326
cdf_fbcoco,44,ocs_eps_pruned,0.340
cdf_fbcoco,44,ocs_eps_large_small,0.000
cdf_fbcoco,44,ocs_eps_preset_greedy,0.174
cdf_fbcoco,44,pure_ocs_3hop_preset,0.586
cdf_fbcoco,45,ocs_eps_global_ksp,0.000
cdf_fbcoco,45,pure_ocs_ksp,0.000
cdf_fbcoco,45,eps_ecmp,0.000
cdf_fbcoco,45,pure_ocs_ksp_greedy,0.149
cdf_fbcoco,45,ocs_eps_preset_dynamic_greedy,0.268
cdf_fbcoco,45,pure_ocs_pruned,0.417
cdf_fbcoco,45,ocs_eps_pruned,0.367
cdf_fbcoco,45,ocs_eps_large_small,0.000
cdf_fbcoco,45,ocs_eps_preset_greedy,0.172
cdf_fbcoco,45,pure_ocs_3hop_preset,0.460
cdf_fbcoco,46,ocs_eps_global_ksp,0.000
cdf_fbcoco,46,pure_ocs_ksp,0.000
cdf_fbcoco,46,eps_ecmp,0.000
cdf_fbcoco,46,pure_ocs_ksp_greedy,0.141
cdf_fbcoco,46,ocs_eps_preset_dynamic_greedy,0.265
cdf_fbcoco,46,pure_ocs_pruned,0.389
cdf_fbcoco,46,ocs_eps_pruned,0.359
cdf_fbcoco,46,ocs_eps_large_small,0.000
cdf_fbcoco,46,ocs_eps_preset_greedy,2.201
cdf_fbcoco,46,pure_ocs_3hop_preset,0.334
cdf_fbcoco,47,ocs_eps_global_ksp,0.000
cdf_fbcoco,47,pure_ocs_ksp,0.000
cdf_fbcoco,47,eps_ecmp,0.000
cdf_fbcoco,47,pure_ocs_ksp_greedy,0.155
cdf_fbcoco,47,ocs_eps_preset_dynamic_greedy,0.307
cdf_fbcoco,47,pure_ocs_pruned,0.417
cdf_fbcoco,47,ocs_eps_pruned,0.348
cdf_fbcoco,47,ocs_eps_large_small,0.000
cdf_fbcoco,47,ocs_eps_preset_greedy,0.162
cdf_fbcoco,47,pure_ocs_3hop_preset,0.361
cdf_fbcoco,48,ocs_eps_global_ksp,0.000
cdf_fbcoco,48,pure_ocs_ksp,0.000
cdf_fbcoco,48,eps_ecmp,0.000
cdf_fbcoco,48,pure_ocs_ksp_greedy,0.149
cdf_fbcoco,48,ocs_eps_preset_dynamic_greedy,0.244
cdf_fbcoco,48,pure_ocs_pruned,0.294
cdf_fbcoco,48,ocs_eps_pruned,0.228
cdf_fbcoco,48,ocs_eps_large_small,0.000
cdf_fbcoco,48,ocs_eps_preset_greedy,0.153
cdf_fbcoco,48,pure_ocs_3hop_preset,0.275
cdf_fbcoco,49,ocs_eps_global_ksp,0.000
cdf_fbcoco,49,pure_ocs_ksp,0.000
cdf_fbcoco,49,eps_ecmp,0.000
cdf_fbcoco,49,pure_ocs_ksp_greedy,0.152
cdf_fbcoco,49,ocs_eps_preset_dynamic_greedy,0.229
cdf_fbcoco,49,pure_ocs_pruned,0.464
cdf_fbcoco,49,ocs_eps_pruned,0.363
cdf_fbcoco,49,ocs_eps_large_small,0.000
cdf_fbcoco,49,ocs_eps_preset_greedy,0.156
cdf_fbcoco,49,pure_ocs_3hop_preset,0.300
cdf_fbcoco,50,ocs_eps_global_ksp,0.000
cdf_fbcoco,50,pure_ocs_ksp,0.000
cdf_fbcoco,50,eps_ecmp,0.000
cdf_fbcoco,50,pure_ocs_ksp_greedy,0.152
cdf_fbcoco,50,ocs_eps_preset_dynamic_greedy,0.266
cdf_fbcoco,50,pure_ocs_pruned,0.810
cdf_fbcoco,50,ocs_eps_pruned,0.344
cdf_fbcoco,50,ocs_eps_large_small,0.000
cdf_fbcoco,50,ocs_eps_preset_greedy,0.137
cdf_fbcoco,50,pure_ocs_3hop_preset,0.553
cdf_fbcoco,51,ocs_eps_global_ksp,0.000
cdf_fbcoco,51,pure_ocs_ksp,0.000
cdf_fbcoco,51,eps_ecmp,0.000
cdf_fbcoco,51,pure_ocs_ksp_greedy,0.117
cdf_fbcoco,51,ocs_eps_preset_dynamic_greedy,0.293
cdf_fbcoco,51,pure_ocs_pruned,0.599
cdf_fbcoco,51,ocs_eps_pruned,0.348
cdf_fbcoco,51,ocs_eps_large_small,0.000
cdf_fbcoco,51,ocs_eps_preset_greedy,0.124
cdf_fbcoco,51,pure_ocs_3hop_preset,0.799
cdf_fbcoco_february_2024,42,ocs_eps_global_ksp,0.000
cdf_fbcoco_february_2024,42,pure_ocs_ksp,0.000
cdf_fbcoco_february_2024,42,eps_ecmp,0.000
cdf_fbcoco_february_2024,42,pure_ocs_ksp_greedy,0.161
cdf_fbcoco_february_2024,42,ocs_eps_preset_dynamic_greedy,0.316
cdf_fbcoco_february_2024,42,pure_ocs_pruned,0.273
cdf_fbcoco_february_2024,42,ocs_eps_pruned,0.367
cdf_fbcoco_february_2024,42,ocs_eps_large_small,0.000
cdf_fbcoco_february_2024,42,ocs_eps_preset_greedy,0.151
cdf_fbcoco_february_2024,42,pure_ocs_3hop_preset,0.675
cdf_fbcoco_february_2024,43,ocs_eps_global_ksp,0.000
cdf_fbcoco_february_2024,43,pure_ocs_ksp,0.000
cdf_fbcoco_february_2024,43,eps_ecmp,0.000
cdf_fbcoco_february_2024,43,pure_ocs_ksp_greedy,0.129
cdf_fbcoco_february_2024,43,ocs_eps_preset_dynamic_greedy,0.762
cdf_fbcoco_february_2024,43,pure_ocs_pruned,0.398
cdf_fbcoco_february_2024,43,ocs_eps_pruned,0.344
cdf_fbcoco_february_2024,43,ocs_eps_large_small,0.000
cdf_fbcoco_february_2024,43,ocs_eps_preset_greedy,0.175
cdf_fbcoco_february_2024,43,pure_ocs_3hop_preset,0.375
cdf_fbcoco_february_2024,44,ocs_eps_global_ksp,0.000
cdf_fbcoco_february_2024,44,pure_ocs_ksp,0.000
cdf_fbcoco_february_2024,44,eps_ecmp,0.000
cdf_fbcoco_february_2024,44,pure_ocs_ksp_greedy,0.159
cdf_fbcoco_february_2024,44,ocs_eps_preset_dynamic_greedy,0.230
cdf_fbcoco_february_2024,44,pure_ocs_pruned,0.753
cdf_fbcoco_february_2024,44,ocs_eps_pruned,0.355
cdf_fbcoco_february_2024,44,ocs_eps_large_small,0.000
cdf_fbcoco_february_2024,44,ocs_eps_preset_greedy,0.170
cdf_fbcoco_february_2024,44,pure_ocs_3hop_preset,0.690
cdf_fbcoco_february_2024,45,ocs_eps_global_ksp,0.000
cdf_fbcoco_february_2024,45,pure_ocs_ksp,0.000
cdf_fbcoco_february_2024,45,eps_ecmp,0.000
cdf_fbcoco_february_2024,45,pure_ocs_ksp_greedy,0.166
cdf_fbcoco_february_2024,45,ocs_eps_preset_dynamic_greedy,0.275
cdf_fbcoco_february_2024,45,pure_ocs_pruned,0.631
cdf_fbcoco_february_2024,45,ocs_eps_pruned,0.359
cdf_fbcoco_february_2024,45,ocs_eps_large_small,0.000
cdf_fbcoco_february_2024,45,ocs_eps_preset_greedy,0.154
cdf_fbcoco_february_2024,45,pure_ocs_3hop_preset,1.001
cdf_fbcoco_february_2024,46,ocs_eps_global_ksp,0.000
cdf_fbcoco_february_2024,46,pure_ocs_ksp,0.000
cdf_fbcoco_february_2024,46,eps_ecmp,0.000
cdf_fbcoco_february_2024,46,pure_ocs_ksp_greedy,0.108
cdf_fbcoco_february_2024,46,ocs_eps_preset_dynamic_greedy,0.255
cdf_fbcoco_february_2024,46,pure_ocs_pruned,0.422
cdf_fbcoco_february_2024,46,ocs_eps_pruned,2.121
cdf_fbcoco_february_2024,46,ocs_eps_large_small,0.000
cdf_fbcoco_february_2024,46,ocs_eps_preset_greedy,0.132
cdf_fbcoco_february_2024,46,pure_ocs_3hop_preset,0.257
cdf_fbcoco_february_2024,47,ocs_eps_global_ksp,0.000
