case_base,scheduler,seed_count,mean_avg_solve_time_ms,std_avg_solve_time_ms
cdf_fbcoco,ocs_eps_global_ksp,10,0.000,0.000
cdf_fbcoco,pure_ocs_ksp,10,0.000,0.000
cdf_fbcoco,eps_ecmp,10,0.000,0.000
cdf_fbcoco,pure_ocs_ksp_greedy,10,0.154,0.019
cdf_fbcoco,ocs_eps_preset_dynamic_greedy,10,0.272,0.022
cdf_fbcoco,pure_ocs_pruned,10,0.494,0.152
cdf_fbcoco,ocs_eps_pruned,10,0.334,0.041
cdf_fbcoco,ocs_eps_large_small,10,0.000,0.000
cdf_fbcoco,ocs_eps_preset_greedy,10,0.419,0.619
cdf_fbcoco,pure_ocs_3hop_preset,10,0.489,0.211
cdf_fbcoco_february_2024,ocs_eps_global_ksp,10,0.000,0.000
cdf_fbcoco_february_2024,pure_ocs_ksp,10,0.000,0.000
cdf_fbcoco_february_2024,eps_ecmp,10,0.000,0.000
cdf_fbcoco_february_2024,pure_ocs_ksp_greedy,10,0.168,0.069
cdf_fbcoco_february_2024,ocs_eps_preset_dynamic_greedy,10,0.303,0.156
cdf_fbcoco_february_2024,pure_ocs_pruned,10,0.388,0.163
cdf_fbcoco_february_2024,ocs_eps_pruned,10,0.548,0.533
cdf_fbcoco_february_2024,ocs_eps_large_small,10,0.000,0.000
cdf_fbcoco_february_2024,ocs_eps_preset_greedy,10,0.159,0.021
cdf_fbcoco_february_2024,pure_ocs_3hop_preset,10,0.453,0.239
cdf_fbcoco_january_2024,ocs_eps_global_ksp,10,0.000,0.000
cdf_fbcoco_january_2024,pure_ocs_ksp,10,0.000,0.000
cdf_fbcoco_january_2024,eps_ecmp,10,0.000,0.000
cdf_fbcoco_january_2024,pure_ocs_ksp_greedy,10,0.147,0.016
cdf_fbcoco_january_2024,ocs_eps_preset_dynamic_greedy,10,0.627,0.927
cdf_fbcoco_january_2024,pure_ocs_pruned,10,0.351,0.026
cdf_fbcoco_january_2024,ocs_eps_pruned,10,0.343,0.028
cdf_fbcoco_january_2024,ocs_eps_large_small,10,0.000,0.000
cdf_fbcoco_january_2024,ocs_eps_preset_greedy,10,0.188,0.056
cdf_fbcoco_january_2024,pure_ocs_3hop_preset,10,0.367,0.120
cdf_fbcoco_march_2024,ocs_eps_global_ksp,10,0.000,0.000
cdf_fbcoco_march_2024,pure_ocs_ksp,10,0.000,0.000
cdf_fbcoco_march_2024,eps_ecmp,10,0.000,0.000
cdf_fbcoco_march_2024,pure_ocs_ksp_greedy,10,0.142,0.016
cdf_fbcoco_march_2024,ocs_eps_preset_dynamic_greedy,10,0.243,0.048
cdf_fbcoco_march_2024,pure_ocs_pruned,10,0.377,0.137
cdf_fbcoco_march_2024,ocs_eps_pruned,10,0.569,0.704
cdf_fbcoco_march_2024,ocs_eps_large_small,10,0.000,0.000
cdf_fbcoco_march_2024,ocs_eps_preset_greedy,10,0.149,0.017
cdf_fbcoco_march_2024,pure_ocs_3hop_preset,10,0.329,0.070
