seed,scheduler,avg_relative_cct_vs_dynamic
42,ocs_eps_global_ksp,1.598
42,pure_ocs_ksp,1.125
42,eps_ecmp,1.190
42,pure_ocs_ksp_greedy,1.131
42,ocs_eps_preset_dynamic_greedy,1.000
42,pure_ocs_pruned,1.085
42,ocs_eps_pruned,1.114
42,ocs_eps_large_small,1.119
42,ocs_eps_preset_greedy,1.219
42,pure_ocs_3hop_preset,1.085
43,ocs_eps_global_ksp,1.636
43,pure_ocs_ksp,1.072
43,eps_ecmp,1.166
43,pure_ocs_ksp_greedy,1.125
43,ocs_eps_preset_dynamic_greedy,1.000
43,pure_ocs_pruned,1.091
43,ocs_eps_pruned,1.006
43,ocs_eps_large_small,1.003
43,ocs_eps_preset_greedy,1.064
43,pure_ocs_3hop_preset,1.091
44,ocs_eps_global_ksp,1.678
44,pure_ocs_ksp,1.655
44,eps_ecmp,1.257
44,pure_ocs_ksp_greedy,1.172
44,ocs_eps_preset_dynamic_greedy,1.000
44,pure_ocs_pruned,1.052
44,ocs_eps_pruned,1.236
44,ocs_eps_large_small,1.234
44,ocs_eps_preset_greedy,1.123
44,pure_ocs_3hop_preset,1.052
45,ocs_eps_global_ksp,2.140
45,pure_ocs_ksp,1.101
45,eps_ecmp,0.976
45,pure_ocs_ksp_greedy,1.165
45,ocs_eps_preset_dynamic_greedy,1.000
45,pure_ocs_pruned,1.042
45,ocs_eps_pruned,1.191
45,ocs_eps_large_small,1.153
45,ocs_eps_preset_greedy,0.969
45,pure_ocs_3hop_preset,1.042
46,ocs_eps_global_ksp,1.098
46,pure_ocs_ksp,0.931
46,eps_ecmp,0.956
46,pure_ocs_ksp_greedy,0.822
46,ocs_eps_preset_dynamic_greedy,1.000
46,pure_ocs_pruned,0.895
46,ocs_eps_pruned,0.895
46,ocs_eps_large_small,0.761
46,ocs_eps_preset_greedy,0.868
46,pure_ocs_3hop_preset,0.895
47,ocs_eps_global_ksp,1.676
47,pure_ocs_ksp,1.183
47,eps_ecmp,1.172
47,pure_ocs_ksp_greedy,1.037
47,ocs_eps_preset_dynamic_greedy,1.000
47,pure_ocs_pruned,0.927
47,ocs_eps_pruned,1.176
47,ocs_eps_large_small,1.011
47,ocs_eps_preset_greedy,0.994
47,pure_ocs_3hop_preset,0.927
48,ocs_eps_global_ksp,1.905
48,pure_ocs_ksp,1.452
48,eps_ecmp,1.071
48,pure_ocs_ksp_greedy,1.161
48,ocs_eps_preset_dynamic_greedy,1.000
48,pure_ocs_pruned,1.063
48,ocs_eps_pruned,0.972
48,ocs_eps_large_small,1.015
48,ocs_eps_preset_greedy,1.086
48,pure_ocs_3hop_preset,1.063
49,ocs_eps_global_ksp,1.530
49,pure_ocs_ksp,0.957
49,eps_ecmp,1.237
49,pure_ocs_ksp_greedy,1.170
49,ocs_eps_preset_dynamic_greedy,1.000
49,pure_ocs_pruned,1.032
49,ocs_eps_pruned,1.044
49,ocs_eps_large_small,0.991
49,ocs_eps_preset_greedy,1.038
49,pure_ocs_3hop_preset,1.032
50,ocs_eps_global_ksp,1.967
50,pure_ocs_ksp,1.471
50,eps_ecmp,1.162
50,pure_ocs_ksp_greedy,1.100
50,ocs_eps_preset_dynamic_greedy,1.000
50,pure_ocs_pruned,1.038
50,ocs_eps_pruned,1.022
50,ocs_eps_large_small,1.137
50,ocs_eps_preset_greedy,1.333
50,pure_ocs_3hop_preset,1.038
51,ocs_eps_global_ksp,1.726
51,pure_ocs_ksp,1.282
51,eps_ecmp,1.037
51,pure_ocs_ksp_greedy,1.004
51,ocs_eps_preset_dynamic_greedy,1.000
51,pure_ocs_pruned,0.978
51,ocs_eps_pruned,0.997
51,ocs_eps_large_small,0.962
51,ocs_eps_preset_greedy,1.160
51,pure_ocs_3hop_preset,0.978
