model_id,model_type,num_hosts,t_min,t_max,t_used,frag_model,tors_used,pp_groups_hosts
L1,L,64,8,64,47,0.696429,"[1,2,4,5,6,11,13,15,17,20,21,22,25,27,28,32,37,38,39,41,42,43,44,46,48,49,50,51,52,55,56,58,59,60,62,63,64,65,67,68,69,72,73,74,75,76,77]","[263,95,39,598,375,351,391,231]|[407,486,207,38,519,591,167,423]|[503,206,47,359,37,350,399,230]|[141,542,527,415,455,303,478,487]|[623,479,559,471,142,223,615,36]|[319,550,143,447,607,551,46,175]|[343,127,614,599,335,23,583,111]|[543,183,582,311,14,511,55,15]"
L2,L,64,8,64,47,0.696429,"[0,4,5,6,11,12,15,16,17,19,20,22,24,25,27,30,31,32,33,34,35,36,37,38,39,41,43,44,45,46,49,50,51,52,54,55,56,57,59,62,63,64,67,68,72,74,75]","[93,103,597,438,509,422,295,349]|[439,549,373,606,222,510,333,310]|[182,205,287,54,367,302,398,166]|[199,53,270,159,221,454,446,286]|[318,517,94,140,477,134,502,334]|[45,518,358,262,247,198,139,246]|[181,279,414,374,463,406,271,255]|[541,309,581,35,126,278,135,7]"
L3,L,64,8,64,47,0.696429,"[0,1,3,4,9,10,11,12,14,18,19,20,21,25,26,27,28,32,35,36,38,39,41,42,43,44,46,47,48,49,50,51,52,53,54,55,56,59,60,62,65,66,68,69,72,73,75]","[215,78,341,558,92,445,87,501]|[316,77,557,485,420,174,347,165]|[476,229,397,76,285,484,157,119]|[308,413,34,421,260,431,348,453]|[317,535,444,580,332,214,437,390]|[605,158,548,405,13,357,383,79]|[294,86,31,589,534,372,102,220]|[590,204,342,261,293,6,526,151]"
L4,L,64,8,64,47,0.696429,"[6,8,10,11,12,14,15,17,18,20,21,22,25,26,27,28,32,33,35,36,38,41,43,44,46,47,48,49,50,51,52,54,55,56,60,61,62,63,64,67,68,69,72,74,76,77,79]","[500,638,516,546,637,85,331,411]|[150,345,389,382,219,508,269,307]|[622,412,419,355,596,227,180,101]|[213,442,356,443,258,52,404,371]|[547,91,435,556,259,71,613,346]|[100,173,388,579,203,228,292,452]|[451,396,164,540,482,138,284,498]|[202,436,639,483,118,125,495,499]"
M1,M,40,5,40,30,0.714286,"[2,4,7,8,9,10,12,13,16,20,21,24,26,30,31,32,34,36,39,42,46,49,54,59,61,62,65,69,70,74]","[494,244,315,212,525]|[22,340,110,254,63]|[497,277,109,171,394]|[75,211,291,108,163]|[172,245,314,555,70]|[370,133,84,595,257]|[99,197,62,474,395]|[434,475,33,253,567]"
M2,M,40,5,40,30,0.714286,"[0,1,9,12,13,15,17,20,23,24,26,27,29,32,33,34,38,42,43,46,49,50,52,56,57,61,71,75,76,78]","[98,210,256,268,604]|[574,462,123,267,107]|[369,217,403,339,493]|[575,137,218,191,344]|[74,4,393,612,630]|[122,5,338,492,450]|[631,162,239,276,418]|[195,12,124,306,196]"
M3,M,40,6,40,30,0.705882,"[0,2,3,9,13,20,21,23,24,26,27,28,29,33,34,39,41,45,47,48,49,53,54,56,58,59,60,62,73,75]","[449,381,432,30,19]|[481,392,170,366,194]|[448,387,216,275,496]|[106,226,433,21,161]|[3,73,470,189,473]|[430,588,209,587,365]|[169,190,29,266,20]|[603,238,330,105,313]"
S1,S,32,5,32,24,0.703704,"[0,2,9,11,12,15,25,26,28,31,34,38,39,40,45,47,48,53,69,71,74,76,77,79]","[620,97,573,201]|[385,72,274,593]|[326,208,386,594]|[364,1,121,252]|[2,225,327,18]|[305,90,611,619]|[312,429,380,636]|[554,325,572,621]"
S2,S,32,6,32,24,0.692308,"[0,2,5,6,10,11,13,14,16,21,22,23,25,29,34,35,37,41,44,51,71,73,74,76]","[43,42,610,570]|[410,179,283,586]|[17,354,409,569]|[592,273,51,301]|[41,89,117,0]|[104,329,50,571]|[187,44,200,83]|[188,132,237,168]"
S3,S,32,6,32,24,0.692308,"[2,5,6,11,14,20,23,24,29,31,33,36,37,42,44,45,46,47,50,53,55,58,70,75]","[236,290,602,441]|[379,116,265,363]|[601,368,402,566]|[565,428,186,362]|[401,378,193,49]|[160,88,337,251]|[353,469,400,40]|[115,352,16,300]"
