case_base,scheduler,seed_count,mean_avg_relative_cct_vs_dynamic,std_avg_relative_cct_vs_dynamic
frag0p1,ocs_eps_global_ksp,10,1.627,0.332
frag0p1,pure_ocs_ksp,10,1.139,0.358
frag0p1,eps_ecmp,10,1.072,0.229
frag0p1,pure_ocs_ksp_greedy,10,1.028,0.177
frag0p1,ocs_eps_preset_dynamic_greedy,10,1.000,0.000
frag0p1,pure_ocs_pruned,10,1.024,0.187
frag0p1,ocs_eps_pruned,10,1.136,0.269
frag0p1,ocs_eps_large_small,10,1.032,0.217
frag0p1,ocs_eps_preset_greedy,10,1.088,0.272
frag0p1,pure_ocs_3hop_preset,10,1.024,0.187
frag0p3,ocs_eps_global_ksp,10,1.567,0.435
frag0p3,pure_ocs_ksp,10,1.100,0.246
frag0p3,eps_ecmp,10,1.261,0.410
frag0p3,pure_ocs_ksp_greedy,10,1.166,0.555
frag0p3,ocs_eps_preset_dynamic_greedy,10,1.000,0.000
frag0p3,pure_ocs_pruned,10,0.958,0.149
frag0p3,ocs_eps_pruned,10,0.996,0.172
frag0p3,ocs_eps_large_small,10,1.039,0.221
frag0p3,ocs_eps_preset_greedy,10,1.040,0.178
frag0p3,pure_ocs_3hop_preset,10,0.958,0.149
frag0p5,ocs_eps_global_ksp,10,1.584,0.325
frag0p5,pure_ocs_ksp,10,1.110,0.288
frag0p5,eps_ecmp,10,1.140,0.237
frag0p5,pure_ocs_ksp_greedy,10,1.037,0.200
frag0p5,ocs_eps_preset_dynamic_greedy,10,1.000,0.000
frag0p5,pure_ocs_pruned,10,1.078,0.266
frag0p5,ocs_eps_pruned,10,1.042,0.170
frag0p5,ocs_eps_large_small,10,1.051,0.251
frag0p5,ocs_eps_preset_greedy,10,1.044,0.259
frag0p5,pure_ocs_3hop_preset,10,1.078,0.266
frag0p7,ocs_eps_global_ksp,10,1.319,0.343
frag0p7,pure_ocs_ksp,10,0.930,0.123
frag0p7,eps_ecmp,10,1.047,0.315
frag0p7,pure_ocs_ksp_greedy,10,0.904,0.241
frag0p7,ocs_eps_preset_dynamic_greedy,10,1.000,0.000
frag0p7,pure_ocs_pruned,10,0.986,0.279
frag0p7,ocs_eps_pruned,10,1.012,0.142
frag0p7,ocs_eps_large_small,10,0.980,0.265
frag0p7,ocs_eps_preset_greedy,10,0.867,0.193
frag0p7,pure_ocs_3hop_preset,10,0.986,0.279
frag0p9,ocs_eps_global_ksp,10,1.651,0.297
frag0p9,pure_ocs_ksp,10,1.062,0.307
frag0p9,eps_ecmp,10,1.221,0.455
frag0p9,pure_ocs_ksp_greedy,10,1.002,0.103
frag0p9,ocs_eps_preset_dynamic_greedy,10,1.000,0.000
frag0p9,pure_ocs_pruned,10,1.006,0.213
frag0p9,ocs_eps_pruned,10,1.046,0.229
frag0p9,ocs_eps_large_small,10,1.013,0.355
frag0p9,ocs_eps_preset_greedy,10,1.019,0.316
frag0p9,pure_ocs_3hop_preset,10,1.006,0.213
