scheduler,percentile,cct_percentile_ms,relative_cct_percentile_vs_dynamic,avg_cct_ms,avg_relative_cct_vs_dynamic,num_coflows,unknown_group_flows
ocs_eps_global_ksp,100.000000,4193.488318,2.033134,4193.488318,2.033134,80,0
pure_ocs_ksp,100.000000,2433.849213,1.180006,2433.849213,1.180006,80,0
eps_ecmp,100.000000,2403.009175,1.165054,2403.009175,1.165054,80,0
ocs_eps_large_small,100.000000,2138.686611,1.036902,2138.686611,1.036902,80,0
pure_ocs_ksp_greedy,100.000000,4613.275588,2.236660,4613.275588,2.236660,80,0
ocs_eps_preset_greedy,100.000000,2279.001087,1.104931,2279.001087,1.104931,80,0
ocs_eps_preset_dynamic_greedy,100.000000,2062.573245,1.000000,2062.573245,1.000000,80,0
pure_ocs_3hop_preset,100.000000,2775.259125,1.345532,2775.259125,1.345532,80,0
pure_ocs_pruned,100.000000,2775.259125,1.345532,2775.259125,1.345532,80,0
ocs_eps_pruned,100.000000,1829.252220,0.886879,1829.252220,0.886879,80,0
