seed,scheduler,avg_relative_cct_vs_dynamic
42,ocs_eps_global_ksp,2.108
42,pure_ocs_ksp,0.983
42,eps_ecmp,1.037
42,pure_ocs_ksp_greedy,1.079
42,ocs_eps_preset_dynamic_greedy,1.000
42,pure_ocs_pruned,0.890
42,ocs_eps_pruned,1.171
42,ocs_eps_large_small,1.033
42,ocs_eps_preset_greedy,1.059
42,pure_ocs_3hop_preset,0.890
43,ocs_eps_global_ksp,2.076
43,pure_ocs_ksp,1.355
43,eps_ecmp,1.356
43,pure_ocs_ksp_greedy,1.020
43,ocs_eps_preset_dynamic_greedy,1.000
43,pure_ocs_pruned,0.983
43,ocs_eps_pruned,1.137
43,ocs_eps_large_small,1.349
43,ocs_eps_preset_greedy,1.333
43,pure_ocs_3hop_preset,0.983
44,ocs_eps_global_ksp,1.256
44,pure_ocs_ksp,1.206
44,eps_ecmp,1.041
44,pure_ocs_ksp_greedy,0.835
44,ocs_eps_preset_dynamic_greedy,1.000
44,pure_ocs_pruned,0.846
44,ocs_eps_pruned,0.786
44,ocs_eps_large_small,0.727
44,ocs_eps_preset_greedy,0.918
44,pure_ocs_3hop_preset,0.846
45,ocs_eps_global_ksp,2.076
45,pure_ocs_ksp,1.059
45,eps_ecmp,1.182
45,pure_ocs_ksp_greedy,0.962
45,ocs_eps_preset_dynamic_greedy,1.000
45,pure_ocs_pruned,0.899
45,ocs_eps_pruned,1.044
45,ocs_eps_large_small,1.001
45,ocs_eps_preset_greedy,1.054
45,pure_ocs_3hop_preset,0.899
46,ocs_eps_global_ksp,2.201
46,pure_ocs_ksp,1.034
46,eps_ecmp,1.137
46,pure_ocs_ksp_greedy,1.217
46,ocs_eps_preset_dynamic_greedy,1.000
46,pure_ocs_pruned,1.115
46,ocs_eps_pruned,1.246
46,ocs_eps_large_small,1.011
46,ocs_eps_preset_greedy,0.986
46,pure_ocs_3hop_preset,1.115
47,ocs_eps_global_ksp,1.679
47,pure_ocs_ksp,0.940
47,eps_ecmp,1.121
47,pure_ocs_ksp_greedy,1.127
47,ocs_eps_preset_dynamic_greedy,1.000
47,pure_ocs_pruned,1.165
47,ocs_eps_pruned,0.997
47,ocs_eps_large_small,1.087
47,ocs_eps_preset_greedy,1.177
47,pure_ocs_3hop_preset,1.165
48,ocs_eps_global_ksp,2.212
48,pure_ocs_ksp,1.147
48,eps_ecmp,1.318
48,pure_ocs_ksp_greedy,1.337
48,ocs_eps_preset_dynamic_greedy,1.000
48,pure_ocs_pruned,1.210
48,ocs_eps_pruned,1.052
48,ocs_eps_large_small,1.108
48,ocs_eps_preset_greedy,1.064
48,pure_ocs_3hop_preset,1.210
49,ocs_eps_global_ksp,1.998
49,pure_ocs_ksp,1.151
49,eps_ecmp,1.179
49,pure_ocs_ksp_greedy,1.574
49,ocs_eps_preset_dynamic_greedy,1.000
49,pure_ocs_pruned,1.386
49,ocs_eps_pruned,0.943
49,ocs_eps_large_small,1.060
49,ocs_eps_preset_greedy,1.206
49,pure_ocs_3hop_preset,1.386
50,ocs_eps_global_ksp,1.893
50,pure_ocs_ksp,1.184
50,eps_ecmp,1.062
50,pure_ocs_ksp_greedy,1.017
50,ocs_eps_preset_dynamic_greedy,1.000
50,pure_ocs_pruned,1.003
50,ocs_eps_pruned,0.885
50,ocs_eps_large_small,1.065
50,ocs_eps_preset_greedy,0.836
50,pure_ocs_3hop_preset,1.003
51,ocs_eps_global_ksp,1.863
51,pure_ocs_ksp,1.080
51,eps_ecmp,0.982
51,pure_ocs_ksp_greedy,0.865
51,ocs_eps_preset_dynamic_greedy,1.000
51,pure_ocs_pruned,0.872
51,ocs_eps_pruned,1.216
51,ocs_eps_large_small,1.085
51,ocs_eps_preset_greedy,0.996
51,pure_ocs_3hop_preset,0.872
