model_id,model_type,num_hosts,t_min,t_max,t_used,frag_model,tors_used,pp_groups_hosts
S1,S,32,4,32,18,0.500000,"[1,6,7,11,12,17,26,27,31,37,42,44,53,54,63,67,72,76]","[543,94,439,343]|[102,511,542,438]|[614,583,303,615]|[143,55,430,431]|[141,359,342,15]|[101,63,223,613]|[255,103,214,142]|[95,254,215,429]"
S2,S,32,4,32,18,0.500000,"[8,10,14,21,23,24,28,29,30,31,37,42,48,49,58,61,62,75]","[174,495,399,251]|[606,494,247,71]|[391,231,118,607]|[398,87,86,341]|[390,239,302,340]|[175,191,470,252]|[471,119,199,85]|[389,503,253,173]"
S3,S,32,4,32,18,0.500000,"[4,5,9,13,15,21,24,36,37,47,50,51,53,61,62,69,71,72]","[407,126,111,301]|[502,127,78,558]|[581,172,39,79]|[382,575,171,295]|[406,383,557,198]|[77,574,428,493]|[415,46,582,573]|[38,47,414,559]"
S4,S,32,4,32,18,0.500000,"[2,6,7,14,18,19,25,26,34,43,55,57,60,62,69,71,75,77]","[54,150,350,499]|[447,622,351,277]|[623,572,207,278]|[621,151,556,500]|[279,117,62,213]|[159,487,486,149]|[23,61,463,554]|[53,555,501,605]"
S5,S,32,4,32,18,0.500000,"[4,10,16,21,23,32,34,35,43,44,50,56,62,66,67,71,76,79]","[190,276,263,612]|[170,348,498,347]|[455,404,639,349]|[287,356,541,540]|[358,638,571,454]|[37,189,84,405]|[36,135,611,357]|[453,534,535,497]"
S6,S,32,4,32,18,0.500000,"[3,16,18,20,24,26,27,32,37,40,42,61,64,65,68,69,71,79]","[516,570,327,338]|[197,527,491,526]|[339,519,262,489]|[134,167,261,550]|[147,166,637,222]|[518,490,551,31]|[553,148,492,326]|[517,300,212,196]"
S7,S,32,4,32,18,0.500000,"[1,2,3,26,31,32,39,40,43,45,49,50,53,66,71,72,75,79]","[636,427,14,396]|[579,604,578,249]|[30,318,403,395]|[259,211,346,13]|[21,603,366,317]|[210,260,569,580]|[397,325,12,533]|[250,367,319,22]"
S8,S,32,4,32,18,0.500000,"[2,9,22,26,28,31,39,43,44,45,55,59,61,63,69,72,75,78]","[316,182,479,510]|[445,631,229,248]|[602,552,446,365]|[183,630,345,209]|[208,74,509,508]|[19,75,477,76]|[577,230,228,488]|[20,355,478,18]"
S9,S,32,4,32,18,0.500000,"[1,4,14,19,21,22,25,30,36,40,44,48,53,59,60,72,77,79]","[388,116,206,386]|[11,179,635,204]|[324,180,169,354]|[157,181,246,387]|[205,294,476,634]|[35,620,426,158]|[576,293,619,323]|[168,485,156,245]"
S10,S,32,4,32,18,0.500000,"[0,9,12,15,23,25,29,30,33,43,45,52,55,59,63,64,73,79]","[633,124,507,271]|[422,243,123,423]|[244,591,187,590]|[7,270,125,421]|[188,475,73,632]|[515,344,364,203]|[186,237,236,589]|[443,444,238,100]"
S11,S,32,4,32,18,0.500000,"[0,3,7,10,11,14,16,24,28,30,32,47,51,52,53,58,64,77]","[6,618,92,514]|[59,3,29,28]|[425,381,5,195]|[413,4,114,412]|[420,132,133,469]|[60,226,468,424]|[83,115,93,419]|[242,91,258,227]"
S12,S,32,4,32,18,0.500000,"[2,6,12,13,18,22,25,35,37,42,58,62,66,68,71,73,77,78]","[177,284,549,337]|[299,17,52,467]|[286,532,283,109]|[568,336,587,617]|[178,146,202,629]|[176,496,106,628]|[298,285,107,548]|[110,99,588,108]"
S13,S,32,4,32,18,0.500000,"[0,3,7,9,14,19,37,38,44,55,57,59,63,64,68,74,77,78]","[547,311,441,474]|[297,473,113,513]|[309,625,353,310]|[26,155,296,461]|[546,57,460,616]|[58,2,72,599]|[626,506,27,442]|[112,462,154,627]"
S14,S,32,5,32,18,0.481481,"[5,7,10,12,16,17,20,30,39,46,54,57,59,60,63,65,67,68]","[538,129,82,484]|[374,472,458,524]|[505,140,525,164]|[241,165,81,139]|[459,45,44,98]|[56,315,483,436]|[130,523,545,539]|[375,373,131,437]"
