scheduler,percentile,cct_percentile_ms,relative_cct_percentile_vs_dynamic,avg_cct_ms,avg_relative_cct_vs_dynamic,num_coflows,unknown_group_flows
ocs_eps_global_ksp,99.0,3714.360,2.118,3714.360,2.118,160,0
pure_ocs_ksp,99.0,2079.628,1.186,2079.628,1.186,160,0
eps_ecmp,99.0,2383.325,1.359,2383.325,1.359,160,0
ocs_eps_large_small,99.0,2237.705,1.276,2237.705,1.276,160,0
pure_ocs_ksp_greedy,99.0,2340.402,1.334,2340.402,1.334,160,0
ocs_eps_preset_greedy,99.0,2072.181,1.181,2072.181,1.181,160,0
ocs_eps_preset_dynamic_greedy,99.0,1754.006,1.000,1754.006,1.000,160,0
pure_ocs_3hop_preset,99.0,1770.805,1.010,1770.805,1.010,160,0
pure_ocs_pruned,99.0,1770.805,1.010,1770.805,1.010,160,0
ocs_eps_pruned,99.0,1648.426,0.940,1648.426,0.940,160,0
