seed,scheduler,avg_relative_cct_vs_dynamic
42,ocs_eps_global_ksp,1.688
42,pure_ocs_ksp,1.100
42,eps_ecmp,1.002
42,pure_ocs_ksp_greedy,1.017
42,ocs_eps_preset_dynamic_greedy,1.000
42,pure_ocs_pruned,0.939
42,ocs_eps_pruned,0.915
42,ocs_eps_large_small,0.929
42,ocs_eps_preset_greedy,0.993
42,pure_ocs_3hop_preset,0.939
43,ocs_eps_global_ksp,1.575
43,pure_ocs_ksp,1.037
43,eps_ecmp,1.028
43,pure_ocs_ksp_greedy,0.986
43,ocs_eps_preset_dynamic_greedy,1.000
43,pure_ocs_pruned,0.872
43,ocs_eps_pruned,0.878
43,ocs_eps_large_small,0.985
43,ocs_eps_preset_greedy,0.945
43,pure_ocs_3hop_preset,0.872
44,ocs_eps_global_ksp,2.168
44,pure_ocs_ksp,1.331
44,eps_ecmp,1.212
44,pure_ocs_ksp_greedy,1.094
44,ocs_eps_preset_dynamic_greedy,1.000
44,pure_ocs_pruned,1.197
44,ocs_eps_pruned,1.311
44,ocs_eps_large_small,1.136
44,ocs_eps_preset_greedy,1.228
44,pure_ocs_3hop_preset,1.197
45,ocs_eps_global_ksp,1.980
45,pure_ocs_ksp,1.064
45,eps_ecmp,1.053
45,pure_ocs_ksp_greedy,1.055
45,ocs_eps_preset_dynamic_greedy,1.000
45,pure_ocs_pruned,1.024
45,ocs_eps_pruned,0.971
45,ocs_eps_large_small,1.138
45,ocs_eps_preset_greedy,1.086
45,pure_ocs_3hop_preset,1.024
46,ocs_eps_global_ksp,1.542
46,pure_ocs_ksp,1.084
46,eps_ecmp,1.080
46,pure_ocs_ksp_greedy,0.997
46,ocs_eps_preset_dynamic_greedy,1.000
46,pure_ocs_pruned,0.980
46,ocs_eps_pruned,1.030
46,ocs_eps_large_small,1.011
46,ocs_eps_preset_greedy,0.972
46,pure_ocs_3hop_preset,0.980
47,ocs_eps_global_ksp,1.810
47,pure_ocs_ksp,1.081
47,eps_ecmp,1.048
47,pure_ocs_ksp_greedy,1.043
47,ocs_eps_preset_dynamic_greedy,1.000
47,pure_ocs_pruned,1.041
47,ocs_eps_pruned,0.975
47,ocs_eps_large_small,1.241
47,ocs_eps_preset_greedy,0.931
47,pure_ocs_3hop_preset,1.041
48,ocs_eps_global_ksp,1.902
48,pure_ocs_ksp,1.168
48,eps_ecmp,1.426
48,pure_ocs_ksp_greedy,1.143
48,ocs_eps_preset_dynamic_greedy,1.000
48,pure_ocs_pruned,0.989
48,ocs_eps_pruned,0.952
48,ocs_eps_large_small,1.223
48,ocs_eps_preset_greedy,1.170
48,pure_ocs_3hop_preset,0.989
49,ocs_eps_global_ksp,1.795
49,pure_ocs_ksp,1.107
49,eps_ecmp,1.163
49,pure_ocs_ksp_greedy,1.061
49,ocs_eps_preset_dynamic_greedy,1.000
49,pure_ocs_pruned,1.037
49,ocs_eps_pruned,0.973
49,ocs_eps_large_small,1.173
49,ocs_eps_preset_greedy,1.084
49,pure_ocs_3hop_preset,1.037
50,ocs_eps_global_ksp,1.858
50,pure_ocs_ksp,1.210
50,eps_ecmp,1.021
50,pure_ocs_ksp_greedy,1.144
50,ocs_eps_preset_dynamic_greedy,1.000
50,pure_ocs_pruned,1.125
50,ocs_eps_pruned,0.975
50,ocs_eps_large_small,1.236
50,ocs_eps_preset_greedy,0.913
50,pure_ocs_3hop_preset,1.125
51,ocs_eps_global_ksp,1.578
51,pure_ocs_ksp,1.088
51,eps_ecmp,1.171
51,pure_ocs_ksp_greedy,1.061
51,ocs_eps_preset_dynamic_greedy,1.000
51,pure_ocs_pruned,1.038
51,ocs_eps_pruned,1.044
51,ocs_eps_large_small,1.114
51,ocs_eps_preset_greedy,1.024
51,pure_ocs_3hop_preset,1.038
