seed,scheduler,avg_relative_fct_vs_dynamic
42,ocs_eps_global_ksp,1.308
42,pure_ocs_ksp,1.041
42,eps_ecmp,0.956
42,pure_ocs_ksp_greedy,1.018
42,ocs_eps_preset_dynamic_greedy,1.000
42,pure_ocs_pruned,0.990
42,ocs_eps_pruned,0.990
42,ocs_eps_large_small,1.149
42,ocs_eps_preset_greedy,0.996
42,pure_ocs_3hop_preset,0.990
43,ocs_eps_global_ksp,1.332
43,pure_ocs_ksp,1.055
43,eps_ecmp,0.935
43,pure_ocs_ksp_greedy,1.013
43,ocs_eps_preset_dynamic_greedy,1.000
43,pure_ocs_pruned,1.052
43,ocs_eps_pruned,0.988
43,ocs_eps_large_small,1.247
43,ocs_eps_preset_greedy,1.075
43,pure_ocs_3hop_preset,1.052
44,ocs_eps_global_ksp,1.307
44,pure_ocs_ksp,1.044
44,eps_ecmp,0.934
44,pure_ocs_ksp_greedy,1.041
44,ocs_eps_preset_dynamic_greedy,1.000
44,pure_ocs_pruned,1.017
44,ocs_eps_pruned,1.008
44,ocs_eps_large_small,1.273
44,ocs_eps_preset_greedy,1.027
44,pure_ocs_3hop_preset,1.017
45,ocs_eps_global_ksp,1.261
45,pure_ocs_ksp,1.043
45,eps_ecmp,0.949
45,pure_ocs_ksp_greedy,1.023
45,ocs_eps_preset_dynamic_greedy,1.000
45,pure_ocs_pruned,1.028
45,ocs_eps_pruned,0.973
45,ocs_eps_large_small,1.620
45,ocs_eps_preset_greedy,1.004
45,pure_ocs_3hop_preset,1.028
46,ocs_eps_global_ksp,1.238
46,pure_ocs_ksp,1.037
46,eps_ecmp,0.959
46,pure_ocs_ksp_greedy,1.047
46,ocs_eps_preset_dynamic_greedy,1.000
46,pure_ocs_pruned,1.007
46,ocs_eps_pruned,1.002
46,ocs_eps_large_small,1.787
46,ocs_eps_preset_greedy,1.003
46,pure_ocs_3hop_preset,1.007
47,ocs_eps_global_ksp,1.311
47,pure_ocs_ksp,1.053
47,eps_ecmp,0.942
47,pure_ocs_ksp_greedy,1.039
47,ocs_eps_preset_dynamic_greedy,1.000
47,pure_ocs_pruned,1.016
47,ocs_eps_pruned,0.973
47,ocs_eps_large_small,1.872
47,ocs_eps_preset_greedy,1.029
47,pure_ocs_3hop_preset,1.016
48,ocs_eps_global_ksp,1.357
48,pure_ocs_ksp,1.020
48,eps_ecmp,0.966
48,pure_ocs_ksp_greedy,1.015
48,ocs_eps_preset_dynamic_greedy,1.000
48,pure_ocs_pruned,1.037
48,ocs_eps_pruned,0.974
48,ocs_eps_large_small,1.347
48,ocs_eps_preset_greedy,1.064
48,pure_ocs_3hop_preset,1.037
49,ocs_eps_global_ksp,1.221
49,pure_ocs_ksp,1.009
49,eps_ecmp,0.917
49,pure_ocs_ksp_greedy,1.005
49,ocs_eps_preset_dynamic_greedy,1.000
49,pure_ocs_pruned,0.995
49,ocs_eps_pruned,0.961
49,ocs_eps_large_small,1.191
49,ocs_eps_preset_greedy,1.004
49,pure_ocs_3hop_preset,0.995
50,ocs_eps_global_ksp,1.524
50,pure_ocs_ksp,1.084
50,eps_ecmp,0.953
50,pure_ocs_ksp_greedy,1.066
50,ocs_eps_preset_dynamic_greedy,1.000
50,pure_ocs_pruned,1.045
50,ocs_eps_pruned,0.986
50,ocs_eps_large_small,1.821
50,ocs_eps_preset_greedy,1.041
50,pure_ocs_3hop_preset,1.045
51,ocs_eps_global_ksp,1.270
51,pure_ocs_ksp,1.033
51,eps_ecmp,0.953
51,pure_ocs_ksp_greedy,0.987
51,ocs_eps_preset_dynamic_greedy,1.000
51,pure_ocs_pruned,1.007
51,ocs_eps_pruned,0.968
51,ocs_eps_large_small,1.396
51,ocs_eps_preset_greedy,0.992
51,pure_ocs_3hop_preset,1.007
