seed,scheduler,avg_solve_time_ms
42,ocs_eps_global_ksp,0.000
42,pure_ocs_ksp,0.000
42,eps_ecmp,0.000
42,pure_ocs_ksp_greedy,0.055
42,ocs_eps_preset_dynamic_greedy,0.116
42,pure_ocs_pruned,0.470
42,ocs_eps_pruned,0.354
42,ocs_eps_large_small,0.000
42,ocs_eps_preset_greedy,0.060
42,pure_ocs_3hop_preset,0.283
43,ocs_eps_global_ksp,0.000
43,pure_ocs_ksp,0.000
43,eps_ecmp,0.000
43,pure_ocs_ksp_greedy,0.070
43,ocs_eps_preset_dynamic_greedy,0.106
43,pure_ocs_pruned,0.435
43,ocs_eps_pruned,0.236
43,ocs_eps_large_small,0.000
43,ocs_eps_preset_greedy,0.060
43,pure_ocs_3hop_preset,0.286
44,ocs_eps_global_ksp,0.000
44,pure_ocs_ksp,0.000
44,eps_ecmp,0.000
44,pure_ocs_ksp_greedy,0.073
44,ocs_eps_preset_dynamic_greedy,0.107
44,pure_ocs_pruned,0.494
44,ocs_eps_pruned,0.382
44,ocs_eps_large_small,0.000
44,ocs_eps_preset_greedy,0.062
44,pure_ocs_3hop_preset,0.291
45,ocs_eps_global_ksp,0.000
45,pure_ocs_ksp,0.000
45,eps_ecmp,0.000
45,pure_ocs_ksp_greedy,0.056
45,ocs_eps_preset_dynamic_greedy,0.117
45,pure_ocs_pruned,0.274
45,ocs_eps_pruned,0.413
45,ocs_eps_large_small,0.000
45,ocs_eps_preset_greedy,0.062
45,pure_ocs_3hop_preset,0.293
46,ocs_eps_global_ksp,0.000
46,pure_ocs_ksp,0.000
46,eps_ecmp,0.000
46,pure_ocs_ksp_greedy,0.070
46,ocs_eps_preset_dynamic_greedy,0.113
46,pure_ocs_pruned,0.484
46,ocs_eps_pruned,0.238
46,ocs_eps_large_small,0.000
46,ocs_eps_preset_greedy,0.062
46,pure_ocs_3hop_preset,0.286
47,ocs_eps_global_ksp,0.000
47,pure_ocs_ksp,0.000
47,eps_ecmp,0.000
47,pure_ocs_ksp_greedy,0.058
47,ocs_eps_preset_dynamic_greedy,0.121
47,pure_ocs_pruned,0.277
47,ocs_eps_pruned,0.425
47,ocs_eps_large_small,0.000
47,ocs_eps_preset_greedy,0.063
47,pure_ocs_3hop_preset,0.290
48,ocs_eps_global_ksp,0.000
48,pure_ocs_ksp,0.000
48,eps_ecmp,0.000
48,pure_ocs_ksp_greedy,0.065
48,ocs_eps_preset_dynamic_greedy,0.105
48,pure_ocs_pruned,0.476
48,ocs_eps_pruned,0.239
48,ocs_eps_large_small,0.000
48,ocs_eps_preset_greedy,0.060
48,pure_ocs_3hop_preset,0.288
49,ocs_eps_global_ksp,0.000
49,pure_ocs_ksp,0.000
49,eps_ecmp,0.000
49,pure_ocs_ksp_greedy,0.073
49,ocs_eps_preset_dynamic_greedy,0.109
49,pure_ocs_pruned,0.277
49,ocs_eps_pruned,0.372
49,ocs_eps_large_small,0.000
49,ocs_eps_preset_greedy,0.061
49,pure_ocs_3hop_preset,0.287
50,ocs_eps_global_ksp,0.000
50,pure_ocs_ksp,0.000
50,eps_ecmp,0.000
50,pure_ocs_ksp_greedy,0.057
50,ocs_eps_preset_dynamic_greedy,0.108
50,pure_ocs_pruned,0.285
50,ocs_eps_pruned,0.419
50,ocs_eps_large_small,0.000
50,ocs_eps_preset_greedy,0.058
50,pure_ocs_3hop_preset,0.292
51,ocs_eps_global_ksp,0.000
51,pure_ocs_ksp,0.000
51,eps_ecmp,0.000
51,pure_ocs_ksp_greedy,0.054
51,ocs_eps_preset_dynamic_greedy,0.117
51,pure_ocs_pruned,0.268
51,ocs_eps_pruned,0.408
51,ocs_eps_large_small,0.000
51,ocs_eps_preset_greedy,0.059
51,pure_ocs_3hop_preset,0.285
