model_id,model_type,num_hosts,t_min,t_max,t_used,frag_model,tors_used,pp_groups_hosts
L1,L,64,8,64,36,0.500000,"[0,1,2,3,7,10,11,16,17,18,19,22,26,27,28,31,32,35,40,42,43,45,47,51,54,58,59,60,63,64,68,69,70,73,77,78]","[15,223,487,255,383,518,93,550]|[325,158,438,14,94,327,23,326]|[231,591,478,551,519,222,159,366]|[439,623,590,469,254,382,567,143]|[343,486,63,151,470,437,485,7]|[31,95,87,149,150,471,631,262]|[479,135,415,287,6,367,351,215]|[263,183,559,182,511,566,86,414]"
L2,L,64,8,64,36,0.500000,"[0,1,4,6,7,13,14,22,23,27,28,29,30,35,38,41,44,45,47,48,49,52,53,55,57,58,59,61,64,65,67,68,69,70,73,78]","[380,334,13,588,565,111,517,526]|[494,422,390,541,399,181,548,230]|[564,463,310,587,55,446,119,630]|[364,247,363,462,62,110,284,244]|[381,549,180,311,431,39,447,246]|[12,468,359,589,239,495,221,542]|[286,365,391,527,5,477,493,423]|[525,558,245,335,543,285,190,191]"
L3,L,64,8,64,36,0.500000,"[5,7,8,10,13,18,19,21,26,31,33,40,41,42,43,45,46,47,48,50,52,55,57,59,60,61,62,65,68,69,70,71,72,74,76,79]","[492,333,557,350,599,214,269,175]|[406,157,324,598,342,444,61,362]|[109,476,174,615,270,374,148,502]|[389,461,69,349,46,563,253,375]|[503,583,421,85,491,581,47,484]|[252,84,574,407,572,575,556,582]|[70,341,501,45,379,639,547,71]|[573,614,271,613,388,524,445,332]"
L4,L,64,8,64,36,0.500000,"[1,4,5,9,10,12,16,17,19,20,24,28,29,32,34,36,40,41,43,44,49,51,52,53,54,60,62,63,67,68,70,73,74,75,77,79]","[133,562,483,102,35,156,134,37]|[323,607,294,44,142,277,412,199]|[638,279,238,83,436,38,167,293]|[357,500,295,622,261,79,348,429]|[331,561,198,419,155,358,586,76]|[411,77,78,11,229,540,410,36]|[398,430,596,103,510,546,420,227]|[397,560,597,413,621,278,10,228]"
M1,M,40,5,40,22,0.485714,"[1,5,6,9,11,15,19,20,26,35,36,38,40,44,46,53,54,64,66,71,73,78]","[213,42,166,154,516]|[309,535,428,515,75]|[532,53,629,91,9]|[533,571,321,427,322]|[569,127,212,534,585]|[125,92,292,165,570]|[435,126,164,54,308]|[373,283,355,356,43]"
M2,M,40,6,40,23,0.500000,"[0,1,2,8,10,11,12,13,15,17,25,27,28,32,40,41,56,61,65,71,72,74,78]","[320,20,522,330,68]|[205,454,22,580,108]|[206,568,226,225,4]|[259,260,101,88,18]|[220,19,140,523,8]|[21,82,89,455,90]|[204,203,124,490,628]|[207,123,100,141,595]"
M3,M,40,6,40,23,0.500000,"[4,5,7,9,10,19,21,28,31,34,43,45,46,47,53,55,57,69,73,74,76,78,79]","[34,251,346,460,593]|[555,59,153,74,636]|[344,275,276,378,224]|[584,173,345,41,426]|[372,377,424,443,626]|[60,361,594,371,612]|[610,73,635,81,172]|[627,425,637,611,347]"
S1,S,32,5,32,18,0.481481,"[2,6,9,12,13,16,19,25,26,30,44,47,48,51,61,65,75,77]","[243,606,620,617]|[202,489,51,488]|[131,50,72,201]|[210,353,354,17]|[521,409,619,99]|[605,387,132,211]|[52,106,130,376]|[618,107,98,152]"
S2,S,32,5,32,18,0.481481,"[0,2,7,14,23,27,30,31,36,38,42,56,58,60,63,69,77,78]","[616,2,625,451]|[450,189,242,3]|[219,340,188,118]|[16,291,452,338]|[249,337,453,482]|[58,1,218,117]|[339,509,554,467]|[307,250,553,508]"
S3,S,32,5,32,18,0.481481,"[5,6,7,10,12,20,30,31,32,33,34,35,38,41,56,60,78,79]","[329,80,281,162]|[97,258,267,634]|[280,305,633,306]|[48,624,96,268]|[49,449,40,273]|[282,265,266,248]|[481,57,241,163]|[257,632,274,304]"
