scheduler,percentile,cct_percentile_ms,relative_cct_percentile_vs_dynamic,avg_cct_ms,avg_relative_cct_vs_dynamic,num_coflows,unknown_group_flows
ocs_eps_global_ksp,100.000000,1571.740136,2.240287,1571.740136,2.240287,80,0
pure_ocs_ksp,100.000000,883.337213,1.259069,883.337213,1.259069,80,0
eps_ecmp,100.000000,749.607305,1.068456,749.607305,1.068456,80,0
ocs_eps_large_small,100.000000,851.300742,1.213406,851.300742,1.213406,80,0
pure_ocs_ksp_greedy,100.000000,822.103184,1.171789,822.103184,1.171789,80,0
ocs_eps_preset_greedy,100.000000,779.121755,1.110525,779.121755,1.110525,80,0
ocs_eps_preset_dynamic_greedy,100.000000,701.579761,1.000000,701.579761,1.000000,80,0
pure_ocs_3hop_preset,100.000000,764.103755,1.089119,764.103755,1.089119,80,0
pure_ocs_pruned,100.000000,764.103755,1.089119,764.103755,1.089119,80,0
ocs_eps_pruned,100.000000,766.378441,1.092361,766.378441,1.092361,80,0
