case_base,seed,scheduler,avg_relative_fct_vs_dynamic
mix10L,42,ocs_eps_global_ksp,1.694
mix10L,42,pure_ocs_ksp,1.064
mix10L,42,eps_ecmp,0.967
mix10L,42,pure_ocs_ksp_greedy,0.986
mix10L,42,ocs_eps_preset_dynamic_greedy,1.000
mix10L,42,pure_ocs_pruned,0.991
mix10L,42,ocs_eps_pruned,0.988
mix10L,42,ocs_eps_large_small,1.857
mix10L,42,ocs_eps_preset_greedy,1.028
mix10L,42,pure_ocs_3hop_preset,0.991
mix10L,43,ocs_eps_global_ksp,1.226
mix10L,43,pure_ocs_ksp,1.031
mix10L,43,eps_ecmp,0.953
mix10L,43,pure_ocs_ksp_greedy,1.002
mix10L,43,ocs_eps_preset_dynamic_greedy,1.000
mix10L,43,pure_ocs_pruned,1.006
mix10L,43,ocs_eps_pruned,0.997
mix10L,43,ocs_eps_large_small,1.218
mix10L,43,ocs_eps_preset_greedy,1.007
mix10L,43,pure_ocs_3hop_preset,1.006
mix10L,44,ocs_eps_global_ksp,1.390
mix10L,44,pure_ocs_ksp,1.036
mix10L,44,eps_ecmp,0.957
mix10L,44,pure_ocs_ksp_greedy,1.029
mix10L,44,ocs_eps_preset_dynamic_greedy,1.000
mix10L,44,pure_ocs_pruned,0.990
mix10L,44,ocs_eps_pruned,1.010
mix10L,44,ocs_eps_large_small,1.162
mix10L,44,ocs_eps_preset_greedy,0.999
mix10L,44,pure_ocs_3hop_preset,0.990
mix10L,45,ocs_eps_global_ksp,1.512
mix10L,45,pure_ocs_ksp,1.026
mix10L,45,eps_ecmp,0.961
mix10L,45,pure_ocs_ksp_greedy,1.000
mix10L,45,ocs_eps_preset_dynamic_greedy,1.000
mix10L,45,pure_ocs_pruned,1.008
mix10L,45,ocs_eps_pruned,0.985
mix10L,45,ocs_eps_large_small,1.521
mix10L,45,ocs_eps_preset_greedy,1.003
mix10L,45,pure_ocs_3hop_preset,1.008
mix10L,46,ocs_eps_global_ksp,1.646
mix10L,46,pure_ocs_ksp,1.061
mix10L,46,eps_ecmp,0.954
mix10L,46,pure_ocs_ksp_greedy,1.021
mix10L,46,ocs_eps_preset_dynamic_greedy,1.000
mix10L,46,pure_ocs_pruned,1.001
mix10L,46,ocs_eps_pruned,0.984
mix10L,46,ocs_eps_large_small,1.624
mix10L,46,ocs_eps_preset_greedy,1.046
mix10L,46,pure_ocs_3hop_preset,1.001
mix10L,47,ocs_eps_global_ksp,1.263
mix10L,47,pure_ocs_ksp,1.055
mix10L,47,eps_ecmp,0.944
mix10L,47,pure_ocs_ksp_greedy,1.011
