case_base,scheduler,seed_count,mean_avg_solve_time_ms,std_avg_solve_time_ms
mix10L,ocs_eps_global_ksp,10,0.000,0.000
mix10L,pure_ocs_ksp,10,0.000,0.000
mix10L,eps_ecmp,10,0.000,0.000
mix10L,pure_ocs_ksp_greedy,10,0.170,0.017
mix10L,ocs_eps_preset_dynamic_greedy,10,0.333,0.040
mix10L,pure_ocs_pruned,10,0.762,0.170
mix10L,ocs_eps_pruned,10,0.988,0.195
mix10L,ocs_eps_large_small,10,0.000,0.000
mix10L,ocs_eps_preset_greedy,10,0.192,0.017
mix10L,pure_ocs_3hop_preset,10,0.824,0.206
mix20S,ocs_eps_global_ksp,10,0.000,0.000
mix20S,pure_ocs_ksp,10,0.000,0.000
mix20S,eps_ecmp,10,0.000,0.000
mix20S,pure_ocs_ksp_greedy,10,0.063,0.008
mix20S,ocs_eps_preset_dynamic_greedy,10,0.112,0.005
mix20S,pure_ocs_pruned,10,0.374,0.099
mix20S,ocs_eps_pruned,10,0.349,0.076
mix20S,ocs_eps_large_small,10,0.000,0.000
mix20S,ocs_eps_preset_greedy,10,0.061,0.001
mix20S,pure_ocs_3hop_preset,10,0.288,0.003
mix4L3M3S,ocs_eps_global_ksp,10,0.000,0.000
mix4L3M3S,pure_ocs_ksp,10,0.000,0.000
mix4L3M3S,eps_ecmp,10,0.000,0.000
mix4L3M3S,pure_ocs_ksp_greedy,10,0.119,0.011
mix4L3M3S,ocs_eps_preset_dynamic_greedy,10,0.257,0.038
mix4L3M3S,pure_ocs_pruned,10,0.684,0.095
mix4L3M3S,ocs_eps_pruned,10,0.621,0.114
mix4L3M3S,ocs_eps_large_small,10,0.000,0.000
mix4L3M3S,ocs_eps_preset_greedy,10,0.137,0.014
mix4L3M3S,pure_ocs_3hop_preset,10,0.596,0.148
