case_base,seed,scheduler,avg_relative_cct_vs_dynamic
spread0ms,42,ocs_eps_global_ksp,2.771
spread0ms,42,pure_ocs_ksp,1.138
spread0ms,42,eps_ecmp,0.549
spread0ms,42,pure_ocs_ksp_greedy,1.104
spread0ms,42,ocs_eps_preset_dynamic_greedy,1.000
spread0ms,42,pure_ocs_pruned,1.017
spread0ms,42,ocs_eps_pruned,0.940
spread0ms,42,ocs_eps_large_small,1.253
spread0ms,42,ocs_eps_preset_greedy,1.061
spread0ms,42,pure_ocs_3hop_preset,1.017
spread0ms,43,ocs_eps_global_ksp,2.871
spread0ms,43,pure_ocs_ksp,1.384
spread0ms,43,eps_ecmp,0.575
spread0ms,43,pure_ocs_ksp_greedy,1.203
spread0ms,43,ocs_eps_preset_dynamic_greedy,1.000
spread0ms,43,pure_ocs_pruned,1.151
spread0ms,43,ocs_eps_pruned,1.021
spread0ms,43,ocs_eps_large_small,1.229
spread0ms,43,ocs_eps_preset_greedy,1.130
spread0ms,43,pure_ocs_3hop_preset,1.151
spread0ms,44,ocs_eps_global_ksp,2.529
spread0ms,44,pure_ocs_ksp,1.268
spread0ms,44,eps_ecmp,0.542
spread0ms,44,pure_ocs_ksp_greedy,1.129
spread0ms,44,ocs_eps_preset_dynamic_greedy,1.000
spread0ms,44,pure_ocs_pruned,1.031
spread0ms,44,ocs_eps_pruned,0.966
spread0ms,44,ocs_eps_large_small,1.190
spread0ms,44,ocs_eps_preset_greedy,1.043
spread0ms,44,pure_ocs_3hop_preset,1.031
spread0ms,45,ocs_eps_global_ksp,2.752
spread0ms,45,pure_ocs_ksp,1.388
spread0ms,45,eps_ecmp,0.575
spread0ms,45,pure_ocs_ksp_greedy,1.294
spread0ms,45,ocs_eps_preset_dynamic_greedy,1.000
spread0ms,45,pure_ocs_pruned,1.160
spread0ms,45,ocs_eps_pruned,0.992
spread0ms,45,ocs_eps_large_small,1.334
spread0ms,45,ocs_eps_preset_greedy,1.091
spread0ms,45,pure_ocs_3hop_preset,1.160
spread0ms,46,ocs_eps_global_ksp,2.731
spread0ms,46,pure_ocs_ksp,1.253
spread0ms,46,eps_ecmp,0.570
spread0ms,46,pure_ocs_ksp_greedy,1.143
spread0ms,46,ocs_eps_preset_dynamic_greedy,1.000
spread0ms,46,pure_ocs_pruned,1.106
spread0ms,46,ocs_eps_pruned,0.950
spread0ms,46,ocs_eps_large_small,1.138
spread0ms,46,ocs_eps_preset_greedy,1.083
spread0ms,46,pure_ocs_3hop_preset,1.106
spread0ms,47,ocs_eps_global_ksp,3.029
spread0ms,47,pure_ocs_ksp,1.407
spread0ms,47,eps_ecmp,0.608
spread0ms,47,pure_ocs_ksp_greedy,1.186
spread0ms,47,ocs_eps_preset_dynamic_greedy,1.000
spread0ms,47,pure_ocs_pruned,1.121
spread0ms,47,ocs_eps_pruned,1.074
