case_base,scheduler,seed_count,mean_avg_relative_cct_vs_dynamic,std_avg_relative_cct_vs_dynamic
spread0ms,ocs_eps_global_ksp,10,2.715,0.146
spread0ms,pure_ocs_ksp,10,1.291,0.080
spread0ms,eps_ecmp,10,0.572,0.027
spread0ms,pure_ocs_ksp_greedy,10,1.164,0.058
spread0ms,ocs_eps_preset_dynamic_greedy,10,1.000,0.000
spread0ms,pure_ocs_pruned,10,1.091,0.049
spread0ms,ocs_eps_pruned,10,0.995,0.038
spread0ms,ocs_eps_large_small,10,1.219,0.060
spread0ms,ocs_eps_preset_greedy,10,1.087,0.046
spread0ms,pure_ocs_3hop_preset,10,1.091,0.049
spread100ms,ocs_eps_global_ksp,10,1.941,0.199
spread100ms,pure_ocs_ksp,10,1.171,0.045
spread100ms,eps_ecmp,10,1.005,0.057
spread100ms,pure_ocs_ksp_greedy,10,1.087,0.053
spread100ms,ocs_eps_preset_dynamic_greedy,10,1.000,0.000
spread100ms,pure_ocs_pruned,10,1.023,0.043
spread100ms,ocs_eps_pruned,10,1.001,0.051
spread100ms,ocs_eps_large_small,10,1.097,0.059
spread100ms,ocs_eps_preset_greedy,10,1.049,0.039
spread100ms,pure_ocs_3hop_preset,10,1.023,0.043
spread25ms,ocs_eps_global_ksp,10,2.506,0.176
spread25ms,pure_ocs_ksp,10,1.237,0.053
spread25ms,eps_ecmp,10,0.764,0.050
spread25ms,pure_ocs_ksp_greedy,10,1.156,0.057
spread25ms,ocs_eps_preset_dynamic_greedy,10,1.000,0.000
spread25ms,pure_ocs_pruned,10,1.076,0.068
spread25ms,ocs_eps_pruned,10,1.026,0.028
spread25ms,ocs_eps_large_small,10,1.227,0.061
spread25ms,ocs_eps_preset_greedy,10,1.082,0.049
spread25ms,pure_ocs_3hop_preset,10,1.076,0.068
spread50ms,ocs_eps_global_ksp,10,2.266,0.202
spread50ms,pure_ocs_ksp,10,1.227,0.067
spread50ms,eps_ecmp,10,0.897,0.064
spread50ms,pure_ocs_ksp_greedy,10,1.124,0.056
spread50ms,ocs_eps_preset_dynamic_greedy,10,1.000,0.000
spread50ms,pure_ocs_pruned,10,1.037,0.047
spread50ms,ocs_eps_pruned,10,1.006,0.044
spread50ms,ocs_eps_large_small,10,1.186,0.062
spread50ms,ocs_eps_preset_greedy,10,1.071,0.057
spread50ms,pure_ocs_3hop_preset,10,1.037,0.047
spread75ms,ocs_eps_global_ksp,10,2.058,0.151
spread75ms,pure_ocs_ksp,10,1.213,0.063
spread75ms,eps_ecmp,10,0.954,0.047
spread75ms,pure_ocs_ksp_greedy,10,1.117,0.068
spread75ms,ocs_eps_preset_dynamic_greedy,10,1.000,0.000
spread75ms,pure_ocs_pruned,10,1.013,0.039
spread75ms,ocs_eps_pruned,10,0.995,0.054
spread75ms,ocs_eps_large_small,10,1.126,0.080
spread75ms,ocs_eps_preset_greedy,10,1.021,0.040
spread75ms,pure_ocs_3hop_preset,10,1.013,0.039
