case_base,seed,scheduler,avg_relative_fct_vs_dynamic
spread0ms,42,ocs_eps_global_ksp,1.443
spread0ms,42,pure_ocs_ksp,1.061
spread0ms,42,eps_ecmp,0.749
spread0ms,42,pure_ocs_ksp_greedy,1.029
spread0ms,42,ocs_eps_preset_dynamic_greedy,1.000
spread0ms,42,pure_ocs_pruned,1.005
spread0ms,42,ocs_eps_pruned,0.952
spread0ms,42,ocs_eps_large_small,2.043
spread0ms,42,ocs_eps_preset_greedy,1.047
spread0ms,42,pure_ocs_3hop_preset,1.005
spread0ms,43,ocs_eps_global_ksp,1.482
spread0ms,43,pure_ocs_ksp,1.083
spread0ms,43,eps_ecmp,0.781
spread0ms,43,pure_ocs_ksp_greedy,1.090
spread0ms,43,ocs_eps_preset_dynamic_greedy,1.000
spread0ms,43,pure_ocs_pruned,1.052
spread0ms,43,ocs_eps_pruned,0.984
spread0ms,43,ocs_eps_large_small,7.294
spread0ms,43,ocs_eps_preset_greedy,1.063
spread0ms,43,pure_ocs_3hop_preset,1.052
spread0ms,44,ocs_eps_global_ksp,1.431
spread0ms,44,pure_ocs_ksp,1.077
spread0ms,44,eps_ecmp,0.765
spread0ms,44,pure_ocs_ksp_greedy,1.053
spread0ms,44,ocs_eps_preset_dynamic_greedy,1.000
spread0ms,44,pure_ocs_pruned,1.062
spread0ms,44,ocs_eps_pruned,0.970
spread0ms,44,ocs_eps_large_small,2.201
spread0ms,44,ocs_eps_preset_greedy,1.092
spread0ms,44,pure_ocs_3hop_preset,1.062
spread0ms,45,ocs_eps_global_ksp,1.533
spread0ms,45,pure_ocs_ksp,1.137
spread0ms,45,eps_ecmp,0.766
spread0ms,45,pure_ocs_ksp_greedy,1.098
spread0ms,45,ocs_eps_preset_dynamic_greedy,1.000
spread0ms,45,pure_ocs_pruned,1.083
spread0ms,45,ocs_eps_pruned,1.011
spread0ms,45,ocs_eps_large_small,2.032
spread0ms,45,ocs_eps_preset_greedy,1.227
spread0ms,45,pure_ocs_3hop_preset,1.083
spread0ms,46,ocs_eps_global_ksp,1.475
spread0ms,46,pure_ocs_ksp,1.097
spread0ms,46,eps_ecmp,0.773
spread0ms,46,pure_ocs_ksp_greedy,1.118
spread0ms,46,ocs_eps_preset_dynamic_greedy,1.000
spread0ms,46,pure_ocs_pruned,1.061
spread0ms,46,ocs_eps_pruned,0.985
spread0ms,46,ocs_eps_large_small,4.648
spread0ms,46,ocs_eps_preset_greedy,1.132
spread0ms,46,pure_ocs_3hop_preset,1.061
spread0ms,47,ocs_eps_global_ksp,1.379
spread0ms,47,pure_ocs_ksp,1.025
spread0ms,47,eps_ecmp,0.754
spread0ms,47,pure_ocs_ksp_greedy,1.050
spread0ms,47,ocs_eps_preset_dynamic_greedy,1.000
spread0ms,47,pure_ocs_pruned,0.983
spread0ms,47,ocs_eps_pruned,0.971
spread0ms,47,ocs_eps_large_small,2.074
spread0ms,47,ocs_eps_preset_greedy,1.065
spread0ms,47,pure_ocs_3hop_preset,0.983
spread0ms,48,ocs_eps_global_ksp,1.477
spread0ms,48,pure_ocs_ksp,1.094
spread0ms,48,eps_ecmp,0.793
spread0ms,48,pure_ocs_ksp_greedy,1.033
spread0ms,48,ocs_eps_preset_dynamic_greedy,1.000
spread0ms,48,pure_ocs_pruned,1.058
spread0ms,48,ocs_eps_pruned,0.957
spread0ms,48,ocs_eps_large_small,1.957
spread0ms,48,ocs_eps_preset_greedy,1.076
spread0ms,48,pure_ocs_3hop_preset,1.058
spread0ms,49,ocs_eps_global_ksp,1.531
spread0ms,49,pure_ocs_ksp,1.074
spread0ms,49,eps_ecmp,0.829
spread0ms,49,pure_ocs_ksp_greedy,1.027
spread0ms,49,ocs_eps_preset_dynamic_greedy,1.000
spread0ms,49,pure_ocs_pruned,1.036
spread0ms,49,ocs_eps_pruned,0.979
spread0ms,49,ocs_eps_large_small,1.920
spread0ms,49,ocs_eps_preset_greedy,1.082
spread0ms,49,pure_ocs_3hop_preset,1.036
spread0ms,50,ocs_eps_global_ksp,1.496
spread0ms,50,pure_ocs_ksp,1.143
spread0ms,50,eps_ecmp,0.782
spread0ms,50,pure_ocs_ksp_greedy,1.033
spread0ms,50,ocs_eps_preset_dynamic_greedy,1.000
spread0ms,50,pure_ocs_pruned,1.084
spread0ms,50,ocs_eps_pruned,0.971
spread0ms,50,ocs_eps_large_small,1.980
spread0ms,50,ocs_eps_preset_greedy,1.135
spread0ms,50,pure_ocs_3hop_preset,1.084
spread0ms,51,ocs_eps_global_ksp,1.510
spread0ms,51,pure_ocs_ksp,1.112
spread0ms,51,eps_ecmp,0.768
spread0ms,51,pure_ocs_ksp_greedy,1.055
spread0ms,51,ocs_eps_preset_dynamic_greedy,1.000
spread0ms,51,pure_ocs_pruned,1.052
spread0ms,51,ocs_eps_pruned,1.008
spread0ms,51,ocs_eps_large_small,2.316
spread0ms,51,ocs_eps_preset_greedy,1.163
spread0ms,51,pure_ocs_3hop_preset,1.052
spread100ms,42,ocs_eps_global_ksp,1.174
spread100ms,42,pure_ocs_ksp,1.032
spread100ms,42,eps_ecmp,1.003
spread100ms,42,pure_ocs_ksp_greedy,1.019
spread100ms,42,ocs_eps_preset_dynamic_greedy,1.000
spread100ms,42,pure_ocs_pruned,0.999
spread100ms,42,ocs_eps_pruned,0.999
spread100ms,42,ocs_eps_large_small,1.079
spread100ms,42,ocs_eps_preset_greedy,0.999
spread100ms,42,pure_ocs_3hop_preset,0.999
spread100ms,43,ocs_eps_global_ksp,1.239
spread100ms,43,pure_ocs_ksp,1.061
spread100ms,43,eps_ecmp,1.000
spread100ms,43,pure_ocs_ksp_greedy,1.037
spread100ms,43,ocs_eps_preset_dynamic_greedy,1.000
spread100ms,43,pure_ocs_pruned,0.994
spread100ms,43,ocs_eps_pruned,1.015
spread100ms,43,ocs_eps_large_small,1.126
spread100ms,43,ocs_eps_preset_greedy,1.015
spread100ms,43,pure_ocs_3hop_preset,0.994
spread100ms,44,ocs_eps_global_ksp,1.324
spread100ms,44,pure_ocs_ksp,1.034
spread100ms,44,eps_ecmp,0.948
spread100ms,44,pure_ocs_ksp_greedy,1.003
spread100ms,44,ocs_eps_preset_dynamic_greedy,1.000
spread100ms,44,pure_ocs_pruned,1.020
spread100ms,44,ocs_eps_pruned,0.969
spread100ms,44,ocs_eps_large_small,1.441
spread100ms,44,ocs_eps_preset_greedy,1.039
spread100ms,44,pure_ocs_3hop_preset,1.020
spread100ms,45,ocs_eps_global_ksp,1.207
spread100ms,45,pure_ocs_ksp,1.055
spread100ms,45,eps_ecmp,0.980
spread100ms,45,pure_ocs_ksp_greedy,1.012
spread100ms,45,ocs_eps_preset_dynamic_greedy,1.000
spread100ms,45,pure_ocs_pruned,0.986
spread100ms,45,ocs_eps_pruned,0.972
spread100ms,45,ocs_eps_large_small,1.082
spread100ms,45,ocs_eps_preset_greedy,1.001
spread100ms,45,pure_ocs_3hop_preset,0.986
spread100ms,46,ocs_eps_global_ksp,1.360
spread100ms,46,pure_ocs_ksp,1.066
spread100ms,46,eps_ecmp,1.029
spread100ms,46,pure_ocs_ksp_greedy,1.032
spread100ms,46,ocs_eps_preset_dynamic_greedy,1.000
spread100ms,46,pure_ocs_pruned,1.043
spread100ms,46,ocs_eps_pruned,1.029
spread100ms,46,ocs_eps_large_small,1.206
spread100ms,46,ocs_eps_preset_greedy,1.021
spread100ms,46,pure_ocs_3hop_preset,1.043
spread100ms,47,ocs_eps_global_ksp,1.277
spread100ms,47,pure_ocs_ksp,1.064
spread100ms,47,eps_ecmp,0.986
spread100ms,47,pure_ocs_ksp_greedy,1.064
spread100ms,47,ocs_eps_preset_dynamic_greedy,1.000
spread100ms,47,pure_ocs_pruned,1.009
spread100ms,47,ocs_eps_pruned,1.001
spread100ms,47,ocs_eps_large_small,1.179
spread100ms,47,ocs_eps_preset_greedy,1.034
spread100ms,47,pure_ocs_3hop_preset,1.009
spread100ms,48,ocs_eps_global_ksp,1.329
spread100ms,48,pure_ocs_ksp,1.047
spread100ms,48,eps_ecmp,1.006
spread100ms,48,pure_ocs_ksp_greedy,0.965
spread100ms,48,ocs_eps_preset_dynamic_greedy,1.000
spread100ms,48,pure_ocs_pruned,0.980
spread100ms,48,ocs_eps_pruned,0.983
spread100ms,48,ocs_eps_large_small,1.153
spread100ms,48,ocs_eps_preset_greedy,1.005
spread100ms,48,pure_ocs_3hop_preset,0.980
spread100ms,49,ocs_eps_global_ksp,1.232
spread100ms,49,pure_ocs_ksp,1.026
spread100ms,49,eps_ecmp,1.010
spread100ms,49,pure_ocs_ksp_greedy,0.993
spread100ms,49,ocs_eps_preset_dynamic_greedy,1.000
spread100ms,49,pure_ocs_pruned,1.013
spread100ms,49,ocs_eps_pruned,1.037
spread100ms,49,ocs_eps_large_small,1.040
spread100ms,49,ocs_eps_preset_greedy,0.994
spread100ms,49,pure_ocs_3hop_preset,1.013
spread100ms,50,ocs_eps_global_ksp,1.305
spread100ms,50,pure_ocs_ksp,1.075
spread100ms,50,eps_ecmp,0.968
spread100ms,50,pure_ocs_ksp_greedy,1.026
spread100ms,50,ocs_eps_preset_dynamic_greedy,1.000
spread100ms,50,pure_ocs_pruned,1.043
spread100ms,50,ocs_eps_pruned,1.002
spread100ms,50,ocs_eps_large_small,1.455
spread100ms,50,ocs_eps_preset_greedy,1.032
spread100ms,50,pure_ocs_3hop_preset,1.043
spread100ms,51,ocs_eps_global_ksp,1.327
spread100ms,51,pure_ocs_ksp,1.050
spread100ms,51,eps_ecmp,1.000
spread100ms,51,pure_ocs_ksp_greedy,1.002
spread100ms,51,ocs_eps_preset_dynamic_greedy,1.000
spread100ms,51,pure_ocs_pruned,1.012
spread100ms,51,ocs_eps_pruned,1.006
spread100ms,51,ocs_eps_large_small,1.980
spread100ms,51,ocs_eps_preset_greedy,1.030
spread100ms,51,pure_ocs_3hop_preset,1.012
spread25ms,42,ocs_eps_global_ksp,1.625
spread25ms,42,pure_ocs_ksp,1.028
spread25ms,42,eps_ecmp,0.898
spread25ms,42,pure_ocs_ksp_greedy,1.033
spread25ms,42,ocs_eps_preset_dynamic_greedy,1.000
spread25ms,42,pure_ocs_pruned,1.009
spread25ms,42,ocs_eps_pruned,0.994
spread25ms,42,ocs_eps_large_small,2.969
spread25ms,42,ocs_eps_preset_greedy,1.019
spread25ms,42,pure_ocs_3hop_preset,1.009
spread25ms,43,ocs_eps_global_ksp,1.423
spread25ms,43,pure_ocs_ksp,1.038
spread25ms,43,eps_ecmp,0.863
spread25ms,43,pure_ocs_ksp_greedy,1.024
spread25ms,43,ocs_eps_preset_dynamic_greedy,1.000
spread25ms,43,pure_ocs_pruned,0.997
spread25ms,43,ocs_eps_pruned,1.000
spread25ms,43,ocs_eps_large_small,2.135
spread25ms,43,ocs_eps_preset_greedy,1.085
spread25ms,43,pure_ocs_3hop_preset,0.997
spread25ms,44,ocs_eps_global_ksp,1.585
spread25ms,44,pure_ocs_ksp,1.087
spread25ms,44,eps_ecmp,0.837
spread25ms,44,pure_ocs_ksp_greedy,1.057
spread25ms,44,ocs_eps_preset_dynamic_greedy,1.000
spread25ms,44,pure_ocs_pruned,1.060
spread25ms,44,ocs_eps_pruned,1.027
spread25ms,44,ocs_eps_large_small,3.311
spread25ms,44,ocs_eps_preset_greedy,1.081
spread25ms,44,pure_ocs_3hop_preset,1.060
spread25ms,45,ocs_eps_global_ksp,1.516
spread25ms,45,pure_ocs_ksp,1.037
spread25ms,45,eps_ecmp,0.860
spread25ms,45,pure_ocs_ksp_greedy,1.001
spread25ms,45,ocs_eps_preset_dynamic_greedy,1.000
spread25ms,45,pure_ocs_pruned,1.023
spread25ms,45,ocs_eps_pruned,0.964
spread25ms,45,ocs_eps_large_small,1.669
spread25ms,45,ocs_eps_preset_greedy,1.026
spread25ms,45,pure_ocs_3hop_preset,1.023
spread25ms,46,ocs_eps_global_ksp,1.364
spread25ms,46,pure_ocs_ksp,1.053
spread25ms,46,eps_ecmp,0.852
spread25ms,46,pure_ocs_ksp_greedy,1.014
spread25ms,46,ocs_eps_preset_dynamic_greedy,1.000
spread25ms,46,pure_ocs_pruned,0.965
spread25ms,46,ocs_eps_pruned,0.965
spread25ms,46,ocs_eps_large_small,1.553
spread25ms,46,ocs_eps_preset_greedy,1.027
spread25ms,46,pure_ocs_3hop_preset,0.965
spread25ms,47,ocs_eps_global_ksp,1.302
spread25ms,47,pure_ocs_ksp,1.040
spread25ms,47,eps_ecmp,0.850
spread25ms,47,pure_ocs_ksp_greedy,1.087
spread25ms,47,ocs_eps_preset_dynamic_greedy,1.000
spread25ms,47,pure_ocs_pruned,1.011
spread25ms,47,ocs_eps_pruned,1.027
spread25ms,47,ocs_eps_large_small,2.402
spread25ms,47,ocs_eps_preset_greedy,1.096
spread25ms,47,pure_ocs_3hop_preset,1.011
spread25ms,48,ocs_eps_global_ksp,1.385
spread25ms,48,pure_ocs_ksp,1.089
spread25ms,48,eps_ecmp,0.883
spread25ms,48,pure_ocs_ksp_greedy,1.029
spread25ms,48,ocs_eps_preset_dynamic_greedy,1.000
spread25ms,48,pure_ocs_pruned,1.089
spread25ms,48,ocs_eps_pruned,1.007
spread25ms,48,ocs_eps_large_small,1.669
spread25ms,48,ocs_eps_preset_greedy,1.040
spread25ms,48,pure_ocs_3hop_preset,1.089
spread25ms,49,ocs_eps_global_ksp,1.453
spread25ms,49,pure_ocs_ksp,1.043
spread25ms,49,eps_ecmp,0.902
spread25ms,49,pure_ocs_ksp_greedy,1.005
spread25ms,49,ocs_eps_preset_dynamic_greedy,1.000
spread25ms,49,pure_ocs_pruned,1.035
spread25ms,49,ocs_eps_pruned,0.990
spread25ms,49,ocs_eps_large_small,1.868
spread25ms,49,ocs_eps_preset_greedy,1.017
spread25ms,49,pure_ocs_3hop_preset,1.035
spread25ms,50,ocs_eps_global_ksp,1.356
spread25ms,50,pure_ocs_ksp,1.042
spread25ms,50,eps_ecmp,0.814
spread25ms,50,pure_ocs_ksp_greedy,0.988
spread25ms,50,ocs_eps_preset_dynamic_greedy,1.000
spread25ms,50,pure_ocs_pruned,1.023
spread25ms,50,ocs_eps_pruned,0.983
spread25ms,50,ocs_eps_large_small,2.169
spread25ms,50,ocs_eps_preset_greedy,1.059
spread25ms,50,pure_ocs_3hop_preset,1.023
spread25ms,51,ocs_eps_global_ksp,1.522
spread25ms,51,pure_ocs_ksp,1.079
spread25ms,51,eps_ecmp,0.857
spread25ms,51,pure_ocs_ksp_greedy,1.042
spread25ms,51,ocs_eps_preset_dynamic_greedy,1.000
spread25ms,51,pure_ocs_pruned,1.039
spread25ms,51,ocs_eps_pruned,1.016
spread25ms,51,ocs_eps_large_small,2.069
spread25ms,51,ocs_eps_preset_greedy,1.062
spread25ms,51,pure_ocs_3hop_preset,1.039
spread50ms,42,ocs_eps_global_ksp,1.273
spread50ms,42,pure_ocs_ksp,1.073
spread50ms,42,eps_ecmp,0.972
spread50ms,42,pure_ocs_ksp_greedy,1.026
spread50ms,42,ocs_eps_preset_dynamic_greedy,1.000
spread50ms,42,pure_ocs_pruned,1.016
spread50ms,42,ocs_eps_pruned,1.031
spread50ms,42,ocs_eps_large_small,1.660
spread50ms,42,ocs_eps_preset_greedy,1.051
spread50ms,42,pure_ocs_3hop_preset,1.016
spread50ms,43,ocs_eps_global_ksp,1.309
spread50ms,43,pure_ocs_ksp,1.071
spread50ms,43,eps_ecmp,0.928
spread50ms,43,pure_ocs_ksp_greedy,1.061
spread50ms,43,ocs_eps_preset_dynamic_greedy,1.000
spread50ms,43,pure_ocs_pruned,1.005
spread50ms,43,ocs_eps_pruned,1.042
spread50ms,43,ocs_eps_large_small,1.753
spread50ms,43,ocs_eps_preset_greedy,1.034
spread50ms,43,pure_ocs_3hop_preset,1.005
spread50ms,44,ocs_eps_global_ksp,1.335
spread50ms,44,pure_ocs_ksp,1.072
spread50ms,44,eps_ecmp,0.873
spread50ms,44,pure_ocs_ksp_greedy,1.023
spread50ms,44,ocs_eps_preset_dynamic_greedy,1.000
spread50ms,44,pure_ocs_pruned,1.023
spread50ms,44,ocs_eps_pruned,0.954
spread50ms,44,ocs_eps_large_small,2.241
spread50ms,44,ocs_eps_preset_greedy,1.039
spread50ms,44,pure_ocs_3hop_preset,1.023
spread50ms,45,ocs_eps_global_ksp,1.248
spread50ms,45,pure_ocs_ksp,1.003
spread50ms,45,eps_ecmp,0.933
spread50ms,45,pure_ocs_ksp_greedy,0.979
spread50ms,45,ocs_eps_preset_dynamic_greedy,1.000
spread50ms,45,pure_ocs_pruned,1.003
spread50ms,45,ocs_eps_pruned,0.969
spread50ms,45,ocs_eps_large_small,1.378
spread50ms,45,ocs_eps_preset_greedy,1.022
spread50ms,45,pure_ocs_3hop_preset,1.003
spread50ms,46,ocs_eps_global_ksp,1.606
spread50ms,46,pure_ocs_ksp,1.078
spread50ms,46,eps_ecmp,0.958
spread50ms,46,pure_ocs_ksp_greedy,1.039
spread50ms,46,ocs_eps_preset_dynamic_greedy,1.000
spread50ms,46,pure_ocs_pruned,1.049
spread50ms,46,ocs_eps_pruned,0.995
spread50ms,46,ocs_eps_large_small,1.276
spread50ms,46,ocs_eps_preset_greedy,1.071
spread50ms,46,pure_ocs_3hop_preset,1.049
spread50ms,47,ocs_eps_global_ksp,1.309
spread50ms,47,pure_ocs_ksp,1.055
spread50ms,47,eps_ecmp,0.924
spread50ms,47,pure_ocs_ksp_greedy,1.042
spread50ms,47,ocs_eps_preset_dynamic_greedy,1.000
spread50ms,47,pure_ocs_pruned,1.004
spread50ms,47,ocs_eps_pruned,0.976
spread50ms,47,ocs_eps_large_small,1.783
spread50ms,47,ocs_eps_preset_greedy,1.044
spread50ms,47,pure_ocs_3hop_preset,1.004
spread50ms,48,ocs_eps_global_ksp,1.277
spread50ms,48,pure_ocs_ksp,1.076
spread50ms,48,eps_ecmp,0.929
spread50ms,48,pure_ocs_ksp_greedy,1.015
spread50ms,48,ocs_eps_preset_dynamic_greedy,1.000
spread50ms,48,pure_ocs_pruned,1.059
spread50ms,48,ocs_eps_pruned,1.000
spread50ms,48,ocs_eps_large_small,1.711
spread50ms,48,ocs_eps_preset_greedy,1.021
spread50ms,48,pure_ocs_3hop_preset,1.059
spread50ms,49,ocs_eps_global_ksp,1.246
spread50ms,49,pure_ocs_ksp,1.031
spread50ms,49,eps_ecmp,0.951
spread50ms,49,pure_ocs_ksp_greedy,0.997
spread50ms,49,ocs_eps_preset_dynamic_greedy,1.000
spread50ms,49,pure_ocs_pruned,1.006
spread50ms,49,ocs_eps_pruned,0.973
spread50ms,49,ocs_eps_large_small,1.131
spread50ms,49,ocs_eps_preset_greedy,1.002
spread50ms,49,pure_ocs_3hop_preset,1.006
spread50ms,50,ocs_eps_global_ksp,1.463
spread50ms,50,pure_ocs_ksp,1.082
spread50ms,50,eps_ecmp,0.897
spread50ms,50,pure_ocs_ksp_greedy,1.004
spread50ms,50,ocs_eps_preset_dynamic_greedy,1.000
spread50ms,50,pure_ocs_pruned,1.019
spread50ms,50,ocs_eps_pruned,1.059
spread50ms,50,ocs_eps_large_small,1.684
spread50ms,50,ocs_eps_preset_greedy,1.105
spread50ms,50,pure_ocs_3hop_preset,1.019
spread50ms,51,ocs_eps_global_ksp,1.303
spread50ms,51,pure_ocs_ksp,1.053
spread50ms,51,eps_ecmp,0.919
spread50ms,51,pure_ocs_ksp_greedy,1.003
spread50ms,51,ocs_eps_preset_dynamic_greedy,1.000
spread50ms,51,pure_ocs_pruned,1.039
spread50ms,51,ocs_eps_pruned,0.990
spread50ms,51,ocs_eps_large_small,1.603
spread50ms,51,ocs_eps_preset_greedy,1.057
spread50ms,51,pure_ocs_3hop_preset,1.039
spread75ms,42,ocs_eps_global_ksp,1.911
spread75ms,42,pure_ocs_ksp,1.010
spread75ms,42,eps_ecmp,0.990
spread75ms,42,pure_ocs_ksp_greedy,0.999
spread75ms,42,ocs_eps_preset_dynamic_greedy,1.000
spread75ms,42,pure_ocs_pruned,0.978
spread75ms,42,ocs_eps_pruned,0.990
spread75ms,42,ocs_eps_large_small,1.066
spread75ms,42,ocs_eps_preset_greedy,0.987
spread75ms,42,pure_ocs_3hop_preset,0.978
spread75ms,43,ocs_eps_global_ksp,1.277
spread75ms,43,pure_ocs_ksp,1.080
spread75ms,43,eps_ecmp,0.975
spread75ms,43,pure_ocs_ksp_greedy,1.066
spread75ms,43,ocs_eps_preset_dynamic_greedy,1.000
spread75ms,43,pure_ocs_pruned,1.055
spread75ms,43,ocs_eps_pruned,1.051
