case_base,scheduler,seed_count,mean_avg_relative_fct_vs_dynamic,std_avg_relative_fct_vs_dynamic
spread0ms,ocs_eps_global_ksp,10,1.476,0.045
spread0ms,pure_ocs_ksp,10,1.090,0.033
spread0ms,eps_ecmp,10,0.776,0.022
spread0ms,pure_ocs_ksp_greedy,10,1.059,0.030
spread0ms,ocs_eps_preset_dynamic_greedy,10,1.000,0.000
spread0ms,pure_ocs_pruned,10,1.048,0.031
spread0ms,ocs_eps_pruned,10,0.979,0.018
spread0ms,ocs_eps_large_small,10,2.846,1.674
spread0ms,ocs_eps_preset_greedy,10,1.108,0.053
spread0ms,pure_ocs_3hop_preset,10,1.048,0.031
spread100ms,ocs_eps_global_ksp,10,1.277,0.058
spread100ms,pure_ocs_ksp,10,1.051,0.015
spread100ms,eps_ecmp,10,0.993,0.022
spread100ms,pure_ocs_ksp_greedy,10,1.015,0.026
spread100ms,ocs_eps_preset_dynamic_greedy,10,1.000,0.000
spread100ms,pure_ocs_pruned,10,1.010,0.020
spread100ms,ocs_eps_pruned,10,1.001,0.021
spread100ms,ocs_eps_large_small,10,1.274,0.272
spread100ms,ocs_eps_preset_greedy,10,1.017,0.016
spread100ms,pure_ocs_3hop_preset,10,1.010,0.020
spread25ms,ocs_eps_global_ksp,10,1.453,0.101
spread25ms,pure_ocs_ksp,10,1.053,0.021
spread25ms,eps_ecmp,10,0.862,0.026
spread25ms,pure_ocs_ksp_greedy,10,1.028,0.028
spread25ms,ocs_eps_preset_dynamic_greedy,10,1.000,0.000
spread25ms,pure_ocs_pruned,10,1.025,0.032
spread25ms,ocs_eps_pruned,10,0.997,0.022
spread25ms,ocs_eps_large_small,10,2.181,0.546
spread25ms,ocs_eps_preset_greedy,10,1.051,0.028
spread25ms,pure_ocs_3hop_preset,10,1.025,0.032
spread50ms,ocs_eps_global_ksp,10,1.337,0.107
spread50ms,pure_ocs_ksp,10,1.059,0.024
spread50ms,eps_ecmp,10,0.928,0.027
spread50ms,pure_ocs_ksp_greedy,10,1.019,0.023
spread50ms,ocs_eps_preset_dynamic_greedy,10,1.000,0.000
spread50ms,pure_ocs_pruned,10,1.022,0.019
spread50ms,ocs_eps_pruned,10,0.999,0.033
spread50ms,ocs_eps_large_small,10,1.622,0.293
spread50ms,ocs_eps_preset_greedy,10,1.045,0.028
spread50ms,pure_ocs_3hop_preset,10,1.022,0.019
spread75ms,ocs_eps_global_ksp,10,1.443,0.198
spread75ms,pure_ocs_ksp,10,1.053,0.024
spread75ms,eps_ecmp,10,0.974,0.031
spread75ms,pure_ocs_ksp_greedy,10,1.029,0.031
spread75ms,ocs_eps_preset_dynamic_greedy,10,1.000,0.000
spread75ms,pure_ocs_pruned,10,1.019,0.027
spread75ms,ocs_eps_pruned,10,1.007,0.025
spread75ms,ocs_eps_large_small,10,1.388,0.246
spread75ms,ocs_eps_preset_greedy,10,1.031,0.021
spread75ms,pure_ocs_3hop_preset,10,1.019,0.027
