scheduler,bytes,fct_ms,num_flows_in_bin
eps_ecmp,100.000000,0.007193,168
eps_ecmp,1000.000000,0.005999,88
eps_ecmp,10000.000000,0.063743,96
eps_ecmp,20000.000000,0.124672,256
eps_ecmp,30000.000000,0.143315,40
eps_ecmp,100000.000000,0.667359,520
eps_ecmp,200000.000000,1.421498,560
eps_ecmp,300000.000000,2.261627,728
eps_ecmp,400000.000000,2.829361,840
eps_ecmp,800000.000000,11.133868,2912
eps_ecmp,1000000.000000,13.735851,1648
eps_ecmp,2000000.000000,18.430208,5336
eps_ecmp,3000000.000000,22.600113,3592
eps_ecmp,10000000.000000,42.724484,6184
eps_ecmp,20000000.000000,59.542138,4352
eps_ecmp,30000000.000000,71.076802,1904
eps_ecmp,100000000.000000,118.908380,984
ocs_eps_global_ksp,100.000000,0.014402,168
ocs_eps_global_ksp,1000.000000,0.017233,88
ocs_eps_global_ksp,10000.000000,0.112113,96
ocs_eps_global_ksp,20000.000000,0.206334,256
ocs_eps_global_ksp,30000.000000,0.293106,40
ocs_eps_global_ksp,100000.000000,1.007556,520
ocs_eps_global_ksp,200000.000000,2.147888,560
ocs_eps_global_ksp,300000.000000,4.968598,728
ocs_eps_global_ksp,400000.000000,6.695227,840
ocs_eps_global_ksp,800000.000000,15.131870,2912
ocs_eps_global_ksp,1000000.000000,18.101045,1648
ocs_eps_global_ksp,2000000.000000,34.122916,5336
ocs_eps_global_ksp,3000000.000000,48.480703,3592
ocs_eps_global_ksp,10000000.000000,104.137535,6184
ocs_eps_global_ksp,20000000.000000,139.599005,4352
ocs_eps_global_ksp,30000000.000000,163.514224,1904
ocs_eps_global_ksp,100000000.000000,283.654031,984
ocs_eps_large_small,100.000000,0.018121,168
ocs_eps_large_small,1000.000000,0.016399,88
ocs_eps_large_small,10000.000000,0.140605,96
ocs_eps_large_small,20000.000000,0.309384,256
ocs_eps_large_small,30000.000000,0.578312,40
ocs_eps_large_small,100000.000000,1.347914,520
ocs_eps_large_small,200000.000000,8.408447,560
ocs_eps_large_small,300000.000000,9.600960,728
ocs_eps_large_small,400000.000000,12.230321,840
ocs_eps_large_small,800000.000000,20.703043,2912
ocs_eps_large_small,1000000.000000,23.407771,1648
ocs_eps_large_small,2000000.000000,37.741033,5336
ocs_eps_large_small,3000000.000000,47.850414,3592
ocs_eps_large_small,10000000.000000,79.551523,6184
ocs_eps_large_small,20000000.000000,100.233843,4352
ocs_eps_large_small,30000000.000000,126.150463,1904
ocs_eps_large_small,100000000.000000,211.962980,984
ocs_eps_preset_dynamic_greedy,100.000000,0.014848,168
ocs_eps_preset_dynamic_greedy,1000.000000,0.012240,88
ocs_eps_preset_dynamic_greedy,10000.000000,0.111781,96
ocs_eps_preset_dynamic_greedy,20000.000000,0.171609,256
ocs_eps_preset_dynamic_greedy,30000.000000,0.202045,40
ocs_eps_preset_dynamic_greedy,100000.000000,0.761244,520
ocs_eps_preset_dynamic_greedy,200000.000000,1.466381,560
ocs_eps_preset_dynamic_greedy,300000.000000,2.490059,728
ocs_eps_preset_dynamic_greedy,400000.000000,3.691347,840
ocs_eps_preset_dynamic_greedy,800000.000000,9.555331,2912
ocs_eps_preset_dynamic_greedy,1000000.000000,13.417977,1648
ocs_eps_preset_dynamic_greedy,2000000.000000,21.766575,5336
ocs_eps_preset_dynamic_greedy,3000000.000000,30.961283,3592
ocs_eps_preset_dynamic_greedy,10000000.000000,70.360899,6184
ocs_eps_preset_dynamic_greedy,20000000.000000,99.143349,4352
ocs_eps_preset_dynamic_greedy,30000000.000000,119.920610,1904
ocs_eps_preset_dynamic_greedy,100000000.000000,179.064414,984
ocs_eps_preset_greedy,100.000000,0.010665,168
ocs_eps_preset_greedy,1000.000000,0.010476,88
ocs_eps_preset_greedy,10000.000000,0.107786,96
ocs_eps_preset_greedy,20000.000000,0.215019,256
ocs_eps_preset_greedy,30000.000000,0.206832,40
ocs_eps_preset_greedy,100000.000000,0.893475,520
ocs_eps_preset_greedy,200000.000000,1.675441,560
ocs_eps_preset_greedy,300000.000000,2.575703,728
ocs_eps_preset_greedy,400000.000000,3.425509,840
ocs_eps_preset_greedy,800000.000000,10.862924,2912
ocs_eps_preset_greedy,1000000.000000,14.407882,1648
ocs_eps_preset_greedy,2000000.000000,25.845255,5336
ocs_eps_preset_greedy,3000000.000000,35.936894,3592
ocs_eps_preset_greedy,10000000.000000,79.782640,6184
ocs_eps_preset_greedy,20000000.000000,111.735848,4352
ocs_eps_preset_greedy,30000000.000000,117.794003,1904
ocs_eps_preset_greedy,100000000.000000,160.632300,984
ocs_eps_pruned,100.000000,0.011214,168
ocs_eps_pruned,1000.000000,0.009350,88
ocs_eps_pruned,10000.000000,0.096209,96
ocs_eps_pruned,20000.000000,0.159958,256
ocs_eps_pruned,30000.000000,0.168881,40
ocs_eps_pruned,100000.000000,0.814783,520
ocs_eps_pruned,200000.000000,1.690724,560
ocs_eps_pruned,300000.000000,2.536421,728
ocs_eps_pruned,400000.000000,3.608991,840
ocs_eps_pruned,800000.000000,9.841334,2912
ocs_eps_pruned,1000000.000000,13.412446,1648
ocs_eps_pruned,2000000.000000,22.301267,5336
ocs_eps_pruned,3000000.000000,30.758323,3592
ocs_eps_pruned,10000000.000000,71.375720,6184
ocs_eps_pruned,20000000.000000,95.472621,4352
ocs_eps_pruned,30000000.000000,105.250624,1904
ocs_eps_pruned,100000000.000000,165.026542,984
pure_ocs_3hop_preset,100.000000,0.011102,168
pure_ocs_3hop_preset,1000.000000,0.011335,88
pure_ocs_3hop_preset,10000.000000,0.108341,96
pure_ocs_3hop_preset,20000.000000,0.166307,256
pure_ocs_3hop_preset,30000.000000,0.191332,40
pure_ocs_3hop_preset,100000.000000,0.785801,520
pure_ocs_3hop_preset,200000.000000,1.598628,560
pure_ocs_3hop_preset,300000.000000,2.647019,728
pure_ocs_3hop_preset,400000.000000,3.170305,840
pure_ocs_3hop_preset,800000.000000,10.736208,2912
pure_ocs_3hop_preset,1000000.000000,13.223423,1648
pure_ocs_3hop_preset,2000000.000000,23.490811,5336
pure_ocs_3hop_preset,3000000.000000,32.534718,3592
pure_ocs_3hop_preset,10000000.000000,73.541496,6184
pure_ocs_3hop_preset,20000000.000000,108.600819,4352
pure_ocs_3hop_preset,30000000.000000,128.888286,1904
pure_ocs_3hop_preset,100000000.000000,183.799562,984
pure_ocs_ksp,100.000000,0.017150,168
pure_ocs_ksp,1000.000000,0.011357,88
pure_ocs_ksp,10000.000000,0.097144,96
pure_ocs_ksp,20000.000000,0.179730,256
pure_ocs_ksp,30000.000000,0.196494,40
pure_ocs_ksp,100000.000000,0.828145,520
pure_ocs_ksp,200000.000000,1.518271,560
pure_ocs_ksp,300000.000000,2.674091,728
pure_ocs_ksp,400000.000000,4.052656,840
pure_ocs_ksp,800000.000000,10.120244,2912
pure_ocs_ksp,1000000.000000,13.722250,1648
pure_ocs_ksp,2000000.000000,23.213348,5336
pure_ocs_ksp,3000000.000000,33.321074,3592
pure_ocs_ksp,10000000.000000,77.165432,6184
pure_ocs_ksp,20000000.000000,112.185269,4352
pure_ocs_ksp,30000000.000000,135.720463,1904
pure_ocs_ksp,100000000.000000,212.964461,984
pure_ocs_ksp_greedy,100.000000,0.010983,168
pure_ocs_ksp_greedy,1000.000000,0.011343,88
pure_ocs_ksp_greedy,10000.000000,0.092751,96
pure_ocs_ksp_greedy,20000.000000,0.161635,256
pure_ocs_ksp_greedy,30000.000000,0.174548,40
pure_ocs_ksp_greedy,100000.000000,0.800160,520
pure_ocs_ksp_greedy,200000.000000,1.515802,560
pure_ocs_ksp_greedy,300000.000000,2.626277,728
pure_ocs_ksp_greedy,400000.000000,5.198269,840
pure_ocs_ksp_greedy,800000.000000,10.725682,2912
pure_ocs_ksp_greedy,1000000.000000,13.341952,1648
pure_ocs_ksp_greedy,2000000.000000,23.681817,5336
pure_ocs_ksp_greedy,3000000.000000,34.024084,3592
pure_ocs_ksp_greedy,10000000.000000,75.896940,6184
pure_ocs_ksp_greedy,20000000.000000,105.974328,4352
pure_ocs_ksp_greedy,30000000.000000,128.297604,1904
pure_ocs_ksp_greedy,100000000.000000,200.045986,984
pure_ocs_pruned,100.000000,0.011102,168
pure_ocs_pruned,1000.000000,0.011335,88
pure_ocs_pruned,10000.000000,0.108341,96
pure_ocs_pruned,20000.000000,0.166307,256
pure_ocs_pruned,30000.000000,0.191332,40
pure_ocs_pruned,100000.000000,0.785801,520
pure_ocs_pruned,200000.000000,1.598628,560
pure_ocs_pruned,300000.000000,2.647019,728
pure_ocs_pruned,400000.000000,3.170305,840
pure_ocs_pruned,800000.000000,10.736208,2912
pure_ocs_pruned,1000000.000000,13.223423,1648
pure_ocs_pruned,2000000.000000,23.490811,5336
pure_ocs_pruned,3000000.000000,32.534718,3592
pure_ocs_pruned,10000000.000000,73.541496,6184
pure_ocs_pruned,20000000.000000,108.600819,4352
pure_ocs_pruned,30000000.000000,128.888286,1904
pure_ocs_pruned,100000000.000000,183.799562,984
