model_id,model_type,num_hosts,t_min,t_max,t_used,frag_model,tors_used,pp_groups_hosts
L1,L,64,8,64,36,0.500000,"[2,5,6,8,13,17,23,24,25,26,27,28,31,33,34,35,36,47,48,49,50,52,56,57,59,60,61,67,68,69,70,72,73,76,77,78]","[591,111,230,390,223,254,615,543]|[46,71,463,406,583,567,207,630]|[255,631,142,550,271,215,486,381]|[398,399,423,382,455,53,214,191]|[55,495,279,391,478,479,559,383]|[143,582,623,231,476,47,295,294]|[54,477,551,542,198,487,407,287]|[110,475,581,199,541,23,109,558]"
L2,L,64,8,64,36,0.500000,"[0,2,5,6,8,10,17,22,25,26,27,31,33,35,38,43,44,46,48,49,52,53,54,58,59,60,62,63,64,65,68,69,72,74,76,79]","[526,286,422,350,183,213,599,358]|[501,470,351,437,222,269,359,357]|[310,52,397,270,580,285,212,484]|[614,21,557,511,45,639,87,22]|[141,7,436,431,502,388,420,389]|[421,268,51,485,549,519,206,311]|[503,86,438,70,375,439,253,527]|[613,525,556,474,267,471,638,182]"
L3,L,64,8,64,36,0.500000,"[3,7,8,10,11,12,14,15,16,17,19,20,26,31,32,36,42,43,44,49,50,56,57,58,59,62,65,66,67,68,69,71,72,74,75,77]","[555,118,135,342,293,167,292,524]|[211,95,262,597,539,453,607,103]|[348,395,462,356,578,532,579,159]|[469,347,396,127,574,548,473,622]|[540,69,454,31,102,140,166,573]|[30,263,252,404,534,405,28,84]|[533,158,606,63,598,261,499,343]|[260,85,29,500,119,349,575,535]"
L4,L,64,8,64,36,0.500000,"[0,4,5,7,11,13,14,16,17,18,20,23,24,28,31,36,39,40,43,49,51,52,54,56,57,60,61,62,63,66,68,70,72,75,78,79]","[228,116,461,508,139,317,93,628]|[494,165,629,188,319,394,327,546]|[318,415,164,452,151,250,419,190]|[637,197,451,435,39,114,498,291]|[108,6,60,189,577,434,117,564]|[483,62,316,547,44,5,61,251]|[94,326,346,510,604,229,133,566]|[115,531,43,414,565,605,509,134]"
M1,M,40,5,40,22,0.485714,"[16,25,29,33,34,38,39,42,43,49,52,54,55,57,60,63,64,71,72,73,78,79]","[345,517,518,482,309]|[315,417,460,636,627]|[239,446,447,590,278]|[308,238,589,635,205]|[444,445,576,633,459]|[507,433,132,588,634]|[266,341,131,626,344]|[393,130,587,418,572]"
M2,M,40,5,40,22,0.485714,"[4,8,11,13,16,19,22,24,26,27,28,31,33,34,35,37,42,62,71,75,76,77]","[157,129,38,612,283]|[302,277,227,497,68]|[226,91,92,180,156]|[195,610,220,571,340]|[249,618,221,107,284]|[155,196,611,210,181]|[603,265,620,37,209]|[178,303,179,619,621]"
M3,M,40,5,40,22,0.485714,"[4,10,12,13,15,18,28,34,35,37,39,41,47,51,53,57,58,70,71,73,74,77]","[412,467,458,299,335]|[586,333,617,596,457]|[413,429,379,297,298]|[125,301,282,570,100]|[36,150,466,276,83]|[101,563,562,35,274]|[225,334,126,430,300]|[468,275,106,314,380]"
S1,S,32,4,32,18,0.500000,"[0,4,11,14,16,17,19,23,31,37,40,42,49,56,58,60,64,66]","[186,324,465,530]|[138,4,187,90]|[449,514,529,89]|[112,34,248,323]|[450,185,516,392]|[137,515,338,325]|[464,33,296,339]|[481,113,154,128]"
S2,S,32,4,32,18,0.500000,"[6,8,20,25,28,35,41,46,48,51,57,60,62,63,65,69,70,77]","[561,50,523,204]|[409,456,203,560]|[162,374,496,331]|[371,372,67,505]|[161,373,201,506]|[224,554,387,163]|[616,49,202,281]|[410,332,411,480]"
S3,S,32,4,32,18,0.500000,"[2,4,7,8,12,13,15,20,23,30,35,36,52,53,67,68,73,75]","[538,246,19,585]|[124,428,537,104]|[427,544,20,105]|[66,244,184,160]|[245,289,280,290]|[416,32,545,243]|[98,99,602,247]|[58,242,59,57]"
