scheduler,percentile,cct_percentile_ms,relative_cct_percentile_vs_dynamic,avg_cct_ms,avg_relative_cct_vs_dynamic,num_coflows,unknown_group_flows
ocs_eps_global_ksp,99.000000,2883.822768,3.089781,2883.822768,3.089781,80,0
pure_ocs_ksp,99.000000,1426.190003,1.528046,1426.190003,1.528046,80,0
eps_ecmp,99.000000,999.420390,1.070798,999.420390,1.070798,80,0
ocs_eps_large_small,99.000000,1338.678723,1.434285,1338.678723,1.434285,80,0
pure_ocs_ksp_greedy,99.000000,1094.843393,1.173035,1094.843393,1.173035,80,0
ocs_eps_preset_greedy,99.000000,1045.914279,1.120612,1045.914279,1.120612,80,0
ocs_eps_preset_dynamic_greedy,99.000000,933.342083,1.000000,933.342083,1.000000,80,0
pure_ocs_3hop_preset,99.000000,1026.546455,1.099861,1026.546455,1.099861,80,0
pure_ocs_pruned,99.000000,1026.546455,1.099861,1026.546455,1.099861,80,0
ocs_eps_pruned,99.000000,1133.672495,1.214638,1133.672495,1.214638,80,0
