seed,scheduler,avg_relative_fct_vs_dynamic
42,ocs_eps_global_ksp,1.625
42,pure_ocs_ksp,1.028
42,eps_ecmp,0.898
42,pure_ocs_ksp_greedy,1.033
42,ocs_eps_preset_dynamic_greedy,1.000
42,pure_ocs_pruned,1.009
42,ocs_eps_pruned,0.994
42,ocs_eps_large_small,2.969
42,ocs_eps_preset_greedy,1.019
42,pure_ocs_3hop_preset,1.009
43,ocs_eps_global_ksp,1.423
43,pure_ocs_ksp,1.038
43,eps_ecmp,0.863
43,pure_ocs_ksp_greedy,1.024
43,ocs_eps_preset_dynamic_greedy,1.000
43,pure_ocs_pruned,0.997
43,ocs_eps_pruned,1.000
43,ocs_eps_large_small,2.135
43,ocs_eps_preset_greedy,1.085
43,pure_ocs_3hop_preset,0.997
44,ocs_eps_global_ksp,1.585
44,pure_ocs_ksp,1.087
44,eps_ecmp,0.837
44,pure_ocs_ksp_greedy,1.057
44,ocs_eps_preset_dynamic_greedy,1.000
44,pure_ocs_pruned,1.060
44,ocs_eps_pruned,1.027
44,ocs_eps_large_small,3.311
44,ocs_eps_preset_greedy,1.081
44,pure_ocs_3hop_preset,1.060
45,ocs_eps_global_ksp,1.516
45,pure_ocs_ksp,1.037
45,eps_ecmp,0.860
45,pure_ocs_ksp_greedy,1.001
45,ocs_eps_preset_dynamic_greedy,1.000
45,pure_ocs_pruned,1.023
45,ocs_eps_pruned,0.964
45,ocs_eps_large_small,1.669
45,ocs_eps_preset_greedy,1.026
45,pure_ocs_3hop_preset,1.023
46,ocs_eps_global_ksp,1.364
46,pure_ocs_ksp,1.053
46,eps_ecmp,0.852
46,pure_ocs_ksp_greedy,1.014
46,ocs_eps_preset_dynamic_greedy,1.000
46,pure_ocs_pruned,0.965
46,ocs_eps_pruned,0.965
46,ocs_eps_large_small,1.553
46,ocs_eps_preset_greedy,1.027
46,pure_ocs_3hop_preset,0.965
47,ocs_eps_global_ksp,1.302
47,pure_ocs_ksp,1.040
47,eps_ecmp,0.850
47,pure_ocs_ksp_greedy,1.087
47,ocs_eps_preset_dynamic_greedy,1.000
47,pure_ocs_pruned,1.011
47,ocs_eps_pruned,1.027
47,ocs_eps_large_small,2.402
47,ocs_eps_preset_greedy,1.096
47,pure_ocs_3hop_preset,1.011
48,ocs_eps_global_ksp,1.385
48,pure_ocs_ksp,1.089
48,eps_ecmp,0.883
48,pure_ocs_ksp_greedy,1.029
48,ocs_eps_preset_dynamic_greedy,1.000
48,pure_ocs_pruned,1.089
48,ocs_eps_pruned,1.007
48,ocs_eps_large_small,1.669
48,ocs_eps_preset_greedy,1.040
48,pure_ocs_3hop_preset,1.089
49,ocs_eps_global_ksp,1.453
49,pure_ocs_ksp,1.043
49,eps_ecmp,0.902
49,pure_ocs_ksp_greedy,1.005
49,ocs_eps_preset_dynamic_greedy,1.000
49,pure_ocs_pruned,1.035
49,ocs_eps_pruned,0.990
49,ocs_eps_large_small,1.868
49,ocs_eps_preset_greedy,1.017
49,pure_ocs_3hop_preset,1.035
50,ocs_eps_global_ksp,1.356
50,pure_ocs_ksp,1.042
50,eps_ecmp,0.814
50,pure_ocs_ksp_greedy,0.988
50,ocs_eps_preset_dynamic_greedy,1.000
50,pure_ocs_pruned,1.023
50,ocs_eps_pruned,0.983
50,ocs_eps_large_small,2.169
50,ocs_eps_preset_greedy,1.059
50,pure_ocs_3hop_preset,1.023
51,ocs_eps_global_ksp,1.522
51,pure_ocs_ksp,1.079
51,eps_ecmp,0.857
51,pure_ocs_ksp_greedy,1.042
51,ocs_eps_preset_dynamic_greedy,1.000
51,pure_ocs_pruned,1.039
51,ocs_eps_pruned,1.016
51,ocs_eps_large_small,2.069
51,ocs_eps_preset_greedy,1.062
51,pure_ocs_3hop_preset,1.039
