scheduler,percentile,cct_percentile_ms,relative_cct_percentile_vs_dynamic,avg_cct_ms,avg_relative_cct_vs_dynamic,num_coflows,unknown_group_flows
ocs_eps_global_ksp,100.000000,1656.608222,1.097547,1656.608222,1.097547,24,0
pure_ocs_ksp,100.000000,1519.573003,1.006758,1519.573003,1.006758,24,0
eps_ecmp,100.000000,925.835324,0.613391,925.835324,0.613391,24,0
ocs_eps_large_small,100.000000,2748.482973,1.820943,2748.482973,1.820943,24,0
pure_ocs_ksp_greedy,100.000000,1739.518378,1.152477,1739.518378,1.152477,24,0
ocs_eps_preset_greedy,100.000000,2213.471544,1.466484,2213.471544,1.466484,24,0
ocs_eps_preset_dynamic_greedy,100.000000,1509.373296,1.000000,1509.373296,1.000000,24,0
pure_ocs_3hop_preset,100.000000,1448.928587,0.959954,1448.928587,0.959954,24,0
pure_ocs_pruned,100.000000,1448.928587,0.959954,1448.928587,0.959954,24,0
ocs_eps_pruned,100.000000,1223.685942,0.810725,1223.685942,0.810725,24,0
