scheduler,percentile,cct_percentile_ms,relative_cct_percentile_vs_dynamic,avg_cct_ms,avg_relative_cct_vs_dynamic,num_coflows,unknown_group_flows
ocs_eps_global_ksp,99.000000,4030.055479,1.390358,4030.055479,1.390358,24,0
pure_ocs_ksp,99.000000,3025.263477,1.043708,3025.263477,1.043708,24,0
eps_ecmp,99.000000,1656.479018,0.571481,1656.479018,0.571481,24,0
ocs_eps_large_small,99.000000,5323.387806,1.836554,5323.387806,1.836554,24,0
pure_ocs_ksp_greedy,99.000000,3041.548730,1.049326,3041.548730,1.049326,24,0
ocs_eps_preset_greedy,99.000000,2986.516509,1.030340,2986.516509,1.030340,24,0
ocs_eps_preset_dynamic_greedy,99.000000,2898.573632,1.000000,2898.573632,1.000000,24,0
pure_ocs_3hop_preset,99.000000,3634.082585,1.253749,3634.082585,1.253749,24,0
pure_ocs_pruned,99.000000,3634.082585,1.253749,3634.082585,1.253749,24,0
ocs_eps_pruned,99.000000,2800.254025,0.966080,2800.254025,0.966080,24,0
