seed,scheduler,avg_relative_cct_vs_dynamic
42,ocs_eps_global_ksp,1.015
42,pure_ocs_ksp,1.038
42,eps_ecmp,0.632
42,pure_ocs_ksp_greedy,1.056
42,ocs_eps_preset_dynamic_greedy,1.000
42,pure_ocs_pruned,0.794
42,ocs_eps_pruned,0.729
42,ocs_eps_large_small,1.223
42,ocs_eps_preset_greedy,1.085
42,pure_ocs_3hop_preset,0.794
43,ocs_eps_global_ksp,0.931
43,pure_ocs_ksp,0.855
43,eps_ecmp,0.691
43,pure_ocs_ksp_greedy,0.888
43,ocs_eps_preset_dynamic_greedy,1.000
43,pure_ocs_pruned,0.892
43,ocs_eps_pruned,0.846
43,ocs_eps_large_small,1.635
43,ocs_eps_preset_greedy,1.291
43,pure_ocs_3hop_preset,0.892
44,ocs_eps_global_ksp,1.410
44,pure_ocs_ksp,1.437
44,eps_ecmp,0.835
44,pure_ocs_ksp_greedy,1.412
44,ocs_eps_preset_dynamic_greedy,1.000
44,pure_ocs_pruned,1.494
44,ocs_eps_pruned,0.975
44,ocs_eps_large_small,2.483
44,ocs_eps_preset_greedy,1.677
44,pure_ocs_3hop_preset,1.494
45,ocs_eps_global_ksp,1.077
45,pure_ocs_ksp,1.487
45,eps_ecmp,0.755
45,pure_ocs_ksp_greedy,1.411
45,ocs_eps_preset_dynamic_greedy,1.000
45,pure_ocs_pruned,1.158
45,ocs_eps_pruned,1.527
45,ocs_eps_large_small,2.334
45,ocs_eps_preset_greedy,1.514
45,pure_ocs_3hop_preset,1.158
46,ocs_eps_global_ksp,1.412
46,pure_ocs_ksp,0.994
46,eps_ecmp,0.978
46,pure_ocs_ksp_greedy,0.969
46,ocs_eps_preset_dynamic_greedy,1.000
46,pure_ocs_pruned,0.983
46,ocs_eps_pruned,0.961
46,ocs_eps_large_small,1.515
46,ocs_eps_preset_greedy,1.030
46,pure_ocs_3hop_preset,0.983
47,ocs_eps_global_ksp,1.372
47,pure_ocs_ksp,1.456
47,eps_ecmp,0.715
47,pure_ocs_ksp_greedy,1.052
47,ocs_eps_preset_dynamic_greedy,1.000
47,pure_ocs_pruned,0.946
47,ocs_eps_pruned,0.867
47,ocs_eps_large_small,1.917
47,ocs_eps_preset_greedy,1.500
47,pure_ocs_3hop_preset,0.946
48,ocs_eps_global_ksp,1.087
48,pure_ocs_ksp,1.102
48,eps_ecmp,0.562
48,pure_ocs_ksp_greedy,1.069
48,ocs_eps_preset_dynamic_greedy,1.000
48,pure_ocs_pruned,1.162
48,ocs_eps_pruned,0.880
48,ocs_eps_large_small,1.941
48,ocs_eps_preset_greedy,1.090
48,pure_ocs_3hop_preset,1.162
49,ocs_eps_global_ksp,1.484
49,pure_ocs_ksp,1.525
49,eps_ecmp,1.088
49,pure_ocs_ksp_greedy,1.095
49,ocs_eps_preset_dynamic_greedy,1.000
49,pure_ocs_pruned,1.517
49,ocs_eps_pruned,1.163
49,ocs_eps_large_small,2.104
49,ocs_eps_preset_greedy,1.672
49,pure_ocs_3hop_preset,1.517
50,ocs_eps_global_ksp,1.078
50,pure_ocs_ksp,0.812
50,eps_ecmp,0.602
50,pure_ocs_ksp_greedy,0.685
50,ocs_eps_preset_dynamic_greedy,1.000
50,pure_ocs_pruned,0.633
50,ocs_eps_pruned,0.601
50,ocs_eps_large_small,1.517
50,ocs_eps_preset_greedy,1.100
50,pure_ocs_3hop_preset,0.633
51,ocs_eps_global_ksp,0.800
51,pure_ocs_ksp,0.769
51,eps_ecmp,0.686
51,pure_ocs_ksp_greedy,1.066
51,ocs_eps_preset_dynamic_greedy,1.000
51,pure_ocs_pruned,0.769
51,ocs_eps_pruned,0.728
51,ocs_eps_large_small,1.565
51,ocs_eps_preset_greedy,1.321
51,pure_ocs_3hop_preset,0.769
