case_base,seed,scheduler,avg_relative_cct_vs_dynamic
n20_mix1L1M1S,42,ocs_eps_global_ksp,0.975
n20_mix1L1M1S,42,pure_ocs_ksp,1.006
n20_mix1L1M1S,42,eps_ecmp,0.619
n20_mix1L1M1S,42,pure_ocs_ksp_greedy,1.034
n20_mix1L1M1S,42,ocs_eps_preset_dynamic_greedy,1.000
n20_mix1L1M1S,42,pure_ocs_pruned,0.919
n20_mix1L1M1S,42,ocs_eps_pruned,0.841
n20_mix1L1M1S,42,ocs_eps_large_small,1.432
n20_mix1L1M1S,42,ocs_eps_preset_greedy,1.246
n20_mix1L1M1S,42,pure_ocs_3hop_preset,0.919
n20_mix1L1M1S,43,ocs_eps_global_ksp,0.990
n20_mix1L1M1S,43,pure_ocs_ksp,1.014
n20_mix1L1M1S,43,eps_ecmp,0.570
n20_mix1L1M1S,43,pure_ocs_ksp_greedy,0.928
n20_mix1L1M1S,43,ocs_eps_preset_dynamic_greedy,1.000
n20_mix1L1M1S,43,pure_ocs_pruned,0.961
n20_mix1L1M1S,43,ocs_eps_pruned,0.846
n20_mix1L1M1S,43,ocs_eps_large_small,1.503
n20_mix1L1M1S,43,ocs_eps_preset_greedy,1.236
n20_mix1L1M1S,43,pure_ocs_3hop_preset,0.961
n20_mix1L1M1S,44,ocs_eps_global_ksp,1.098
n20_mix1L1M1S,44,pure_ocs_ksp,1.007
n20_mix1L1M1S,44,eps_ecmp,0.613
n20_mix1L1M1S,44,pure_ocs_ksp_greedy,1.152
n20_mix1L1M1S,44,ocs_eps_preset_dynamic_greedy,1.000
n20_mix1L1M1S,44,pure_ocs_pruned,0.960
n20_mix1L1M1S,44,ocs_eps_pruned,0.811
n20_mix1L1M1S,44,ocs_eps_large_small,1.821
n20_mix1L1M1S,44,ocs_eps_preset_greedy,1.466
n20_mix1L1M1S,44,pure_ocs_3hop_preset,0.960
n20_mix1L1M1S,45,ocs_eps_global_ksp,1.108
n20_mix1L1M1S,45,pure_ocs_ksp,1.370
n20_mix1L1M1S,45,eps_ecmp,0.567
n20_mix1L1M1S,45,pure_ocs_ksp_greedy,1.119
n20_mix1L1M1S,45,ocs_eps_preset_dynamic_greedy,1.000
n20_mix1L1M1S,45,pure_ocs_pruned,1.042
n20_mix1L1M1S,45,ocs_eps_pruned,1.079
n20_mix1L1M1S,45,ocs_eps_large_small,2.127
n20_mix1L1M1S,45,ocs_eps_preset_greedy,1.395
n20_mix1L1M1S,45,pure_ocs_3hop_preset,1.042
n20_mix1L1M1S,46,ocs_eps_global_ksp,1.219
n20_mix1L1M1S,46,pure_ocs_ksp,1.095
n20_mix1L1M1S,46,eps_ecmp,0.637
n20_mix1L1M1S,46,pure_ocs_ksp_greedy,1.073
n20_mix1L1M1S,46,ocs_eps_preset_dynamic_greedy,1.000
n20_mix1L1M1S,46,pure_ocs_pruned,0.851
n20_mix1L1M1S,46,ocs_eps_pruned,0.814
n20_mix1L1M1S,46,ocs_eps_large_small,1.607
n20_mix1L1M1S,46,ocs_eps_preset_greedy,1.226
n20_mix1L1M1S,46,pure_ocs_3hop_preset,0.851
n20_mix1L1M1S,47,ocs_eps_global_ksp,1.100
n20_mix1L1M1S,47,pure_ocs_ksp,1.262
n20_mix1L1M1S,47,eps_ecmp,0.568
n20_mix1L1M1S,47,pure_ocs_ksp_greedy,1.048
n20_mix1L1M1S,47,ocs_eps_preset_dynamic_greedy,1.000
n20_mix1L1M1S,47,pure_ocs_pruned,0.971
n20_mix1L1M1S,47,ocs_eps_pruned,0.841
n20_mix1L1M1S,47,ocs_eps_large_small,1.531
n20_mix1L1M1S,47,ocs_eps_preset_greedy,1.301
n20_mix1L1M1S,47,pure_ocs_3hop_preset,0.971
n20_mix1L1M1S,48,ocs_eps_global_ksp,1.122
n20_mix1L1M1S,48,pure_ocs_ksp,1.241
n20_mix1L1M1S,48,eps_ecmp,0.675
n20_mix1L1M1S,48,pure_ocs_ksp_greedy,1.074
n20_mix1L1M1S,48,ocs_eps_preset_dynamic_greedy,1.000
n20_mix1L1M1S,48,pure_ocs_pruned,1.075
n20_mix1L1M1S,48,ocs_eps_pruned,1.019
n20_mix1L1M1S,48,ocs_eps_large_small,1.752
n20_mix1L1M1S,48,ocs_eps_preset_greedy,1.201
n20_mix1L1M1S,48,pure_ocs_3hop_preset,1.075
n20_mix1L1M1S,49,ocs_eps_global_ksp,1.253
n20_mix1L1M1S,49,pure_ocs_ksp,1.223
n20_mix1L1M1S,49,eps_ecmp,0.637
n20_mix1L1M1S,49,pure_ocs_ksp_greedy,1.028
n20_mix1L1M1S,49,ocs_eps_preset_dynamic_greedy,1.000
n20_mix1L1M1S,49,pure_ocs_pruned,1.087
n20_mix1L1M1S,49,ocs_eps_pruned,0.940
n20_mix1L1M1S,49,ocs_eps_large_small,1.868
n20_mix1L1M1S,49,ocs_eps_preset_greedy,1.334
n20_mix1L1M1S,49,pure_ocs_3hop_preset,1.087
n20_mix1L1M1S,50,ocs_eps_global_ksp,1.203
n20_mix1L1M1S,50,pure_ocs_ksp,1.036
n20_mix1L1M1S,50,eps_ecmp,0.536
n20_mix1L1M1S,50,pure_ocs_ksp_greedy,1.015
n20_mix1L1M1S,50,ocs_eps_preset_dynamic_greedy,1.000
n20_mix1L1M1S,50,pure_ocs_pruned,0.900
n20_mix1L1M1S,50,ocs_eps_pruned,0.765
n20_mix1L1M1S,50,ocs_eps_large_small,1.747
n20_mix1L1M1S,50,ocs_eps_preset_greedy,1.378
n20_mix1L1M1S,50,pure_ocs_3hop_preset,0.900
n20_mix1L1M1S,51,ocs_eps_global_ksp,1.010
n20_mix1L1M1S,51,pure_ocs_ksp,1.045
n20_mix1L1M1S,51,eps_ecmp,0.664
n20_mix1L1M1S,51,pure_ocs_ksp_greedy,1.061
n20_mix1L1M1S,51,ocs_eps_preset_dynamic_greedy,1.000
n20_mix1L1M1S,51,pure_ocs_pruned,0.958
n20_mix1L1M1S,51,ocs_eps_pruned,0.878
n20_mix1L1M1S,51,ocs_eps_large_small,1.574
n20_mix1L1M1S,51,ocs_eps_preset_greedy,1.283
n20_mix1L1M1S,51,pure_ocs_3hop_preset,0.958
n40_mix3L2M1S,42,ocs_eps_global_ksp,1.208
n40_mix3L2M1S,42,pure_ocs_ksp,1.327
n40_mix3L2M1S,42,eps_ecmp,0.583
n40_mix3L2M1S,42,pure_ocs_ksp_greedy,1.142
n40_mix3L2M1S,42,ocs_eps_preset_dynamic_greedy,1.000
n40_mix3L2M1S,42,pure_ocs_pruned,1.147
n40_mix3L2M1S,42,ocs_eps_pruned,0.807
n40_mix3L2M1S,42,ocs_eps_large_small,1.753
n40_mix3L2M1S,42,ocs_eps_preset_greedy,1.635
n40_mix3L2M1S,42,pure_ocs_3hop_preset,1.147
n40_mix3L2M1S,43,ocs_eps_global_ksp,1.156
n40_mix3L2M1S,43,pure_ocs_ksp,1.324
n40_mix3L2M1S,43,eps_ecmp,0.550
n40_mix3L2M1S,43,pure_ocs_ksp_greedy,1.366
n40_mix3L2M1S,43,ocs_eps_preset_dynamic_greedy,1.000
n40_mix3L2M1S,43,pure_ocs_pruned,1.294
n40_mix3L2M1S,43,ocs_eps_pruned,1.029
n40_mix3L2M1S,43,ocs_eps_large_small,1.873
n40_mix3L2M1S,43,ocs_eps_preset_greedy,1.698
n40_mix3L2M1S,43,pure_ocs_3hop_preset,1.294
n40_mix3L2M1S,44,ocs_eps_global_ksp,1.080
n40_mix3L2M1S,44,pure_ocs_ksp,1.085
n40_mix3L2M1S,44,eps_ecmp,0.532
n40_mix3L2M1S,44,pure_ocs_ksp_greedy,1.077
n40_mix3L2M1S,44,ocs_eps_preset_dynamic_greedy,1.000
n40_mix3L2M1S,44,pure_ocs_pruned,1.020
n40_mix3L2M1S,44,ocs_eps_pruned,0.874
n40_mix3L2M1S,44,ocs_eps_large_small,1.631
n40_mix3L2M1S,44,ocs_eps_preset_greedy,1.349
n40_mix3L2M1S,44,pure_ocs_3hop_preset,1.020
n40_mix3L2M1S,45,ocs_eps_global_ksp,1.144
n40_mix3L2M1S,45,pure_ocs_ksp,1.335
n40_mix3L2M1S,45,eps_ecmp,0.640
n40_mix3L2M1S,45,pure_ocs_ksp_greedy,1.244
n40_mix3L2M1S,45,ocs_eps_preset_dynamic_greedy,1.000
n40_mix3L2M1S,45,pure_ocs_pruned,1.151
n40_mix3L2M1S,45,ocs_eps_pruned,0.909
n40_mix3L2M1S,45,ocs_eps_large_small,1.707
n40_mix3L2M1S,45,ocs_eps_preset_greedy,1.512
n40_mix3L2M1S,45,pure_ocs_3hop_preset,1.151
n40_mix3L2M1S,46,ocs_eps_global_ksp,1.160
n40_mix3L2M1S,46,pure_ocs_ksp,1.143
n40_mix3L2M1S,46,eps_ecmp,0.620
n40_mix3L2M1S,46,pure_ocs_ksp_greedy,1.038
n40_mix3L2M1S,46,ocs_eps_preset_dynamic_greedy,1.000
n40_mix3L2M1S,46,pure_ocs_pruned,1.096
n40_mix3L2M1S,46,ocs_eps_pruned,0.862
n40_mix3L2M1S,46,ocs_eps_large_small,1.425
n40_mix3L2M1S,46,ocs_eps_preset_greedy,1.248
n40_mix3L2M1S,46,pure_ocs_3hop_preset,1.096
n40_mix3L2M1S,47,ocs_eps_global_ksp,1.155
n40_mix3L2M1S,47,pure_ocs_ksp,1.290
n40_mix3L2M1S,47,eps_ecmp,0.702
n40_mix3L2M1S,47,pure_ocs_ksp_greedy,1.168
n40_mix3L2M1S,47,ocs_eps_preset_dynamic_greedy,1.000
n40_mix3L2M1S,47,pure_ocs_pruned,1.145
n40_mix3L2M1S,47,ocs_eps_pruned,1.011
n40_mix3L2M1S,47,ocs_eps_large_small,1.679
n40_mix3L2M1S,47,ocs_eps_preset_greedy,1.468
n40_mix3L2M1S,47,pure_ocs_3hop_preset,1.145
n40_mix3L2M1S,48,ocs_eps_global_ksp,1.061
n40_mix3L2M1S,48,pure_ocs_ksp,1.408
n40_mix3L2M1S,48,eps_ecmp,0.532
n40_mix3L2M1S,48,pure_ocs_ksp_greedy,1.119
n40_mix3L2M1S,48,ocs_eps_preset_dynamic_greedy,1.000
n40_mix3L2M1S,48,pure_ocs_pruned,1.172
n40_mix3L2M1S,48,ocs_eps_pruned,0.994
n40_mix3L2M1S,48,ocs_eps_large_small,1.708
n40_mix3L2M1S,48,ocs_eps_preset_greedy,1.501
n40_mix3L2M1S,48,pure_ocs_3hop_preset,1.172
n40_mix3L2M1S,49,ocs_eps_global_ksp,1.134
n40_mix3L2M1S,49,pure_ocs_ksp,1.247
n40_mix3L2M1S,49,eps_ecmp,0.576
n40_mix3L2M1S,49,pure_ocs_ksp_greedy,1.205
n40_mix3L2M1S,49,ocs_eps_preset_dynamic_greedy,1.000
n40_mix3L2M1S,49,pure_ocs_pruned,1.150
n40_mix3L2M1S,49,ocs_eps_pruned,0.957
n40_mix3L2M1S,49,ocs_eps_large_small,1.659
n40_mix3L2M1S,49,ocs_eps_preset_greedy,1.464
n40_mix3L2M1S,49,pure_ocs_3hop_preset,1.150
n40_mix3L2M1S,50,ocs_eps_global_ksp,1.129
n40_mix3L2M1S,50,pure_ocs_ksp,1.371
n40_mix3L2M1S,50,eps_ecmp,0.553
n40_mix3L2M1S,50,pure_ocs_ksp_greedy,1.215
n40_mix3L2M1S,50,ocs_eps_preset_dynamic_greedy,1.000
n40_mix3L2M1S,50,pure_ocs_pruned,1.157
n40_mix3L2M1S,50,ocs_eps_pruned,0.847
n40_mix3L2M1S,50,ocs_eps_large_small,1.711
n40_mix3L2M1S,50,ocs_eps_preset_greedy,1.535
n40_mix3L2M1S,50,pure_ocs_3hop_preset,1.157
n40_mix3L2M1S,51,ocs_eps_global_ksp,1.126
n40_mix3L2M1S,51,pure_ocs_ksp,1.237
n40_mix3L2M1S,51,eps_ecmp,0.518
n40_mix3L2M1S,51,pure_ocs_ksp_greedy,1.170
n40_mix3L2M1S,51,ocs_eps_preset_dynamic_greedy,1.000
n40_mix3L2M1S,51,pure_ocs_pruned,1.123
n40_mix3L2M1S,51,ocs_eps_pruned,0.898
n40_mix3L2M1S,51,ocs_eps_large_small,1.773
n40_mix3L2M1S,51,ocs_eps_preset_greedy,1.373
n40_mix3L2M1S,51,pure_ocs_3hop_preset,1.123
n80_mix4L3M3S,42,ocs_eps_global_ksp,1.746
n80_mix4L3M3S,42,pure_ocs_ksp,1.138
n80_mix4L3M3S,42,eps_ecmp,1.022
n80_mix4L3M3S,42,pure_ocs_ksp_greedy,1.170
n80_mix4L3M3S,42,ocs_eps_preset_dynamic_greedy,1.000
n80_mix4L3M3S,42,pure_ocs_pruned,0.994
n80_mix4L3M3S,42,ocs_eps_pruned,1.003
n80_mix4L3M3S,42,ocs_eps_large_small,1.074
n80_mix4L3M3S,42,ocs_eps_preset_greedy,1.056
n80_mix4L3M3S,42,pure_ocs_3hop_preset,0.994
n80_mix4L3M3S,43,ocs_eps_global_ksp,1.917
n80_mix4L3M3S,43,pure_ocs_ksp,1.176
n80_mix4L3M3S,43,eps_ecmp,1.083
n80_mix4L3M3S,43,pure_ocs_ksp_greedy,1.047
n80_mix4L3M3S,43,ocs_eps_preset_dynamic_greedy,1.000
n80_mix4L3M3S,43,pure_ocs_pruned,1.046
n80_mix4L3M3S,43,ocs_eps_pruned,1.061
n80_mix4L3M3S,43,ocs_eps_large_small,1.056
n80_mix4L3M3S,43,ocs_eps_preset_greedy,1.064
n80_mix4L3M3S,43,pure_ocs_3hop_preset,1.046
n80_mix4L3M3S,44,ocs_eps_global_ksp,2.013
n80_mix4L3M3S,44,pure_ocs_ksp,1.192
n80_mix4L3M3S,44,eps_ecmp,0.900
n80_mix4L3M3S,44,pure_ocs_ksp_greedy,1.084
n80_mix4L3M3S,44,ocs_eps_preset_dynamic_greedy,1.000
n80_mix4L3M3S,44,pure_ocs_pruned,0.998
n80_mix4L3M3S,44,ocs_eps_pruned,0.958
