case_base,scheduler,seed_count,mean_avg_relative_fct_vs_dynamic,std_avg_relative_fct_vs_dynamic
n20_mix1L1M1S,ocs_eps_global_ksp,10,1.399,0.295
n20_mix1L1M1S,pure_ocs_ksp,10,1.283,0.263
n20_mix1L1M1S,eps_ecmp,10,0.694,0.060
n20_mix1L1M1S,pure_ocs_ksp_greedy,10,1.177,0.243
n20_mix1L1M1S,ocs_eps_preset_dynamic_greedy,10,1.000,0.000
n20_mix1L1M1S,pure_ocs_pruned,10,1.945,2.578
n20_mix1L1M1S,ocs_eps_pruned,10,0.981,0.149
n20_mix1L1M1S,ocs_eps_large_small,10,1.883,0.727
n20_mix1L1M1S,ocs_eps_preset_greedy,10,1.851,0.561
n20_mix1L1M1S,pure_ocs_3hop_preset,10,1.945,2.578
n40_mix3L2M1S,ocs_eps_global_ksp,10,2.306,0.991
n40_mix3L2M1S,pure_ocs_ksp,10,1.368,0.238
n40_mix3L2M1S,eps_ecmp,10,0.669,0.071
n40_mix3L2M1S,pure_ocs_ksp_greedy,10,1.152,0.086
n40_mix3L2M1S,ocs_eps_preset_dynamic_greedy,10,1.000,0.000
n40_mix3L2M1S,pure_ocs_pruned,10,1.118,0.129
n40_mix3L2M1S,ocs_eps_pruned,10,1.028,0.185
n40_mix3L2M1S,ocs_eps_large_small,10,5.646,8.769
n40_mix3L2M1S,ocs_eps_preset_greedy,10,3.197,3.032
n40_mix3L2M1S,pure_ocs_3hop_preset,10,1.118,0.129
n80_mix4L3M3S,ocs_eps_global_ksp,10,1.277,0.058
n80_mix4L3M3S,pure_ocs_ksp,10,1.051,0.015
n80_mix4L3M3S,eps_ecmp,10,0.993,0.022
n80_mix4L3M3S,pure_ocs_ksp_greedy,10,1.015,0.026
n80_mix4L3M3S,ocs_eps_preset_dynamic_greedy,10,1.000,0.000
n80_mix4L3M3S,pure_ocs_pruned,10,1.010,0.020
n80_mix4L3M3S,ocs_eps_pruned,10,1.001,0.021
n80_mix4L3M3S,ocs_eps_large_small,10,1.274,0.272
n80_mix4L3M3S,ocs_eps_preset_greedy,10,1.017,0.016
n80_mix4L3M3S,pure_ocs_3hop_preset,10,1.010,0.020
