case_base,scheduler,seed_count,mean_avg_solve_time_ms,std_avg_solve_time_ms
n20_mix1L1M1S,ocs_eps_global_ksp,10,0.000,0.000
n20_mix1L1M1S,pure_ocs_ksp,10,0.000,0.000
n20_mix1L1M1S,eps_ecmp,10,0.000,0.000
n20_mix1L1M1S,pure_ocs_ksp_greedy,10,0.096,0.016
n20_mix1L1M1S,ocs_eps_preset_dynamic_greedy,10,0.170,0.018
n20_mix1L1M1S,pure_ocs_pruned,10,0.413,0.058
n20_mix1L1M1S,ocs_eps_pruned,10,0.882,0.959
n20_mix1L1M1S,ocs_eps_large_small,10,0.000,0.000
n20_mix1L1M1S,ocs_eps_preset_greedy,10,0.107,0.011
n20_mix1L1M1S,pure_ocs_3hop_preset,10,0.295,0.064
n40_mix3L2M1S,ocs_eps_global_ksp,10,0.000,0.000
n40_mix3L2M1S,pure_ocs_ksp,10,0.000,0.000
n40_mix3L2M1S,eps_ecmp,10,0.000,0.000
n40_mix3L2M1S,pure_ocs_ksp_greedy,10,0.119,0.012
n40_mix3L2M1S,ocs_eps_preset_dynamic_greedy,10,0.235,0.030
n40_mix3L2M1S,pure_ocs_pruned,10,0.261,0.052
n40_mix3L2M1S,ocs_eps_pruned,10,0.308,0.048
n40_mix3L2M1S,ocs_eps_large_small,10,0.000,0.000
n40_mix3L2M1S,ocs_eps_preset_greedy,10,0.149,0.016
n40_mix3L2M1S,pure_ocs_3hop_preset,10,0.251,0.053
n80_mix4L3M3S,ocs_eps_global_ksp,10,0.000,0.000
n80_mix4L3M3S,pure_ocs_ksp,10,0.000,0.000
n80_mix4L3M3S,eps_ecmp,10,0.000,0.000
n80_mix4L3M3S,pure_ocs_ksp_greedy,10,0.118,0.011
n80_mix4L3M3S,ocs_eps_preset_dynamic_greedy,10,0.238,0.030
n80_mix4L3M3S,pure_ocs_pruned,10,0.527,0.126
n80_mix4L3M3S,ocs_eps_pruned,10,0.589,0.079
n80_mix4L3M3S,ocs_eps_large_small,10,0.000,0.000
n80_mix4L3M3S,ocs_eps_preset_greedy,10,0.136,0.015
n80_mix4L3M3S,pure_ocs_3hop_preset,10,0.625,0.150
