scheduler,percentile,cct_percentile_ms,relative_cct_percentile_vs_dynamic,avg_cct_ms,avg_relative_cct_vs_dynamic,num_coflows,unknown_group_flows
ocs_eps_global_ksp,95.000000,2610.784537,1.248841,2610.784537,1.248841,80,0
pure_ocs_ksp,95.000000,1894.278474,0.906108,1894.278474,0.906108,80,0
eps_ecmp,95.000000,2122.621188,1.015333,2122.621188,1.015333,80,0
ocs_eps_large_small,95.000000,2117.369441,1.012821,2117.369441,1.012821,80,0
pure_ocs_ksp_greedy,95.000000,1799.245870,0.860650,1799.245870,0.860650,80,0
ocs_eps_preset_greedy,95.000000,2033.072074,0.972499,2033.072074,0.972499,80,0
ocs_eps_preset_dynamic_greedy,95.000000,2090.565743,1.000000,2090.565743,1.000000,80,0
pure_ocs_3hop_preset,95.000000,1773.578154,0.848372,1773.578154,0.848372,80,0
pure_ocs_pruned,95.000000,1773.578154,0.848372,1773.578154,0.848372,80,0
ocs_eps_pruned,95.000000,1750.321942,0.837248,1750.321942,0.837248,80,0
