scheduler,percentile,cct_percentile_ms,relative_cct_percentile_vs_dynamic,avg_cct_ms,avg_relative_cct_vs_dynamic,num_coflows,unknown_group_flows
ocs_eps_global_ksp,100.000000,1841.123236,1.936969,1841.123236,1.936969,80,0
pure_ocs_ksp,100.000000,1112.245847,1.170147,1112.245847,1.170147,80,0
eps_ecmp,100.000000,942.368564,0.991427,942.368564,0.991427,80,0
ocs_eps_large_small,100.000000,1078.409406,1.134549,1078.409406,1.134549,80,0
pure_ocs_ksp_greedy,100.000000,1042.539138,1.096812,1042.539138,1.096812,80,0
ocs_eps_preset_greedy,100.000000,978.218382,1.029143,978.218382,1.029143,80,0
ocs_eps_preset_dynamic_greedy,100.000000,950.517738,1.000000,950.517738,1.000000,80,0
pure_ocs_3hop_preset,100.000000,937.423487,0.986224,937.423487,0.986224,80,0
pure_ocs_pruned,100.000000,937.423487,0.986224,937.423487,0.986224,80,0
ocs_eps_pruned,100.000000,963.965333,1.014148,963.965333,1.014148,80,0
