seed,scheduler,avg_relative_cct_vs_dynamic
42,ocs_eps_global_ksp,1.746
42,pure_ocs_ksp,1.138
42,eps_ecmp,1.022
42,pure_ocs_ksp_greedy,1.170
42,ocs_eps_preset_dynamic_greedy,1.000
42,pure_ocs_pruned,0.994
42,ocs_eps_pruned,1.003
42,ocs_eps_large_small,1.074
42,ocs_eps_preset_greedy,1.056
42,pure_ocs_3hop_preset,0.994
43,ocs_eps_global_ksp,1.917
43,pure_ocs_ksp,1.176
43,eps_ecmp,1.083
43,pure_ocs_ksp_greedy,1.047
43,ocs_eps_preset_dynamic_greedy,1.000
43,pure_ocs_pruned,1.046
43,ocs_eps_pruned,1.061
43,ocs_eps_large_small,1.056
43,ocs_eps_preset_greedy,1.064
43,pure_ocs_3hop_preset,1.046
44,ocs_eps_global_ksp,2.013
44,pure_ocs_ksp,1.192
44,eps_ecmp,0.900
44,pure_ocs_ksp_greedy,1.084
44,ocs_eps_preset_dynamic_greedy,1.000
44,pure_ocs_pruned,0.998
44,ocs_eps_pruned,0.958
44,ocs_eps_large_small,1.189
44,ocs_eps_preset_greedy,1.019
44,pure_ocs_3hop_preset,0.998
45,ocs_eps_global_ksp,1.782
45,pure_ocs_ksp,1.100
45,eps_ecmp,0.948
45,pure_ocs_ksp_greedy,1.057
45,ocs_eps_preset_dynamic_greedy,1.000
45,pure_ocs_pruned,0.974
45,ocs_eps_pruned,0.902
45,ocs_eps_large_small,1.043
45,ocs_eps_preset_greedy,1.035
45,pure_ocs_3hop_preset,0.974
46,ocs_eps_global_ksp,2.024
46,pure_ocs_ksp,1.151
46,eps_ecmp,1.072
46,pure_ocs_ksp_greedy,1.042
46,ocs_eps_preset_dynamic_greedy,1.000
46,pure_ocs_pruned,1.100
46,ocs_eps_pruned,0.981
46,ocs_eps_large_small,1.061
46,ocs_eps_preset_greedy,1.126
46,pure_ocs_3hop_preset,1.100
47,ocs_eps_global_ksp,2.213
47,pure_ocs_ksp,1.231
47,eps_ecmp,1.026
47,pure_ocs_ksp_greedy,1.137
47,ocs_eps_preset_dynamic_greedy,1.000
47,pure_ocs_pruned,1.054
47,ocs_eps_pruned,1.037
47,ocs_eps_large_small,1.057
47,ocs_eps_preset_greedy,1.039
47,pure_ocs_3hop_preset,1.054
48,ocs_eps_global_ksp,1.937
48,pure_ocs_ksp,1.170
48,eps_ecmp,0.991
48,pure_ocs_ksp_greedy,1.097
48,ocs_eps_preset_dynamic_greedy,1.000
48,pure_ocs_pruned,0.986
48,ocs_eps_pruned,1.014
48,ocs_eps_large_small,1.135
48,ocs_eps_preset_greedy,1.029
48,pure_ocs_3hop_preset,0.986
49,ocs_eps_global_ksp,1.547
49,pure_ocs_ksp,1.124
49,eps_ecmp,0.958
49,pure_ocs_ksp_greedy,1.014
49,ocs_eps_preset_dynamic_greedy,1.000
49,pure_ocs_pruned,0.993
49,ocs_eps_pruned,0.973
49,ocs_eps_large_small,1.037
49,ocs_eps_preset_greedy,1.007
49,pure_ocs_3hop_preset,0.993
50,ocs_eps_global_ksp,2.240
50,pure_ocs_ksp,1.259
50,eps_ecmp,1.068
50,pure_ocs_ksp_greedy,1.172
50,ocs_eps_preset_dynamic_greedy,1.000
50,pure_ocs_pruned,1.089
50,ocs_eps_pruned,1.092
50,ocs_eps_large_small,1.213
50,ocs_eps_preset_greedy,1.111
50,pure_ocs_3hop_preset,1.089
51,ocs_eps_global_ksp,1.992
51,pure_ocs_ksp,1.166
51,eps_ecmp,0.979
51,pure_ocs_ksp_greedy,1.045
51,ocs_eps_preset_dynamic_greedy,1.000
51,pure_ocs_pruned,0.994
51,ocs_eps_pruned,0.991
51,ocs_eps_large_small,1.100
51,ocs_eps_preset_greedy,1.007
51,pure_ocs_3hop_preset,0.994
