seed,scheduler,avg_relative_fct_vs_dynamic
42,ocs_eps_global_ksp,1.174
42,pure_ocs_ksp,1.032
42,eps_ecmp,1.003
42,pure_ocs_ksp_greedy,1.019
42,ocs_eps_preset_dynamic_greedy,1.000
42,pure_ocs_pruned,0.999
42,ocs_eps_pruned,0.999
42,ocs_eps_large_small,1.079
42,ocs_eps_preset_greedy,0.999
42,pure_ocs_3hop_preset,0.999
43,ocs_eps_global_ksp,1.239
43,pure_ocs_ksp,1.061
43,eps_ecmp,1.000
43,pure_ocs_ksp_greedy,1.037
43,ocs_eps_preset_dynamic_greedy,1.000
43,pure_ocs_pruned,0.994
43,ocs_eps_pruned,1.015
43,ocs_eps_large_small,1.126
43,ocs_eps_preset_greedy,1.015
43,pure_ocs_3hop_preset,0.994
44,ocs_eps_global_ksp,1.324
44,pure_ocs_ksp,1.034
44,eps_ecmp,0.948
44,pure_ocs_ksp_greedy,1.003
44,ocs_eps_preset_dynamic_greedy,1.000
44,pure_ocs_pruned,1.020
44,ocs_eps_pruned,0.969
44,ocs_eps_large_small,1.441
44,ocs_eps_preset_greedy,1.039
44,pure_ocs_3hop_preset,1.020
45,ocs_eps_global_ksp,1.207
45,pure_ocs_ksp,1.055
45,eps_ecmp,0.980
45,pure_ocs_ksp_greedy,1.012
45,ocs_eps_preset_dynamic_greedy,1.000
45,pure_ocs_pruned,0.986
45,ocs_eps_pruned,0.972
45,ocs_eps_large_small,1.082
45,ocs_eps_preset_greedy,1.001
45,pure_ocs_3hop_preset,0.986
46,ocs_eps_global_ksp,1.360
46,pure_ocs_ksp,1.066
46,eps_ecmp,1.029
46,pure_ocs_ksp_greedy,1.032
46,ocs_eps_preset_dynamic_greedy,1.000
46,pure_ocs_pruned,1.043
46,ocs_eps_pruned,1.029
46,ocs_eps_large_small,1.206
46,ocs_eps_preset_greedy,1.021
46,pure_ocs_3hop_preset,1.043
47,ocs_eps_global_ksp,1.277
47,pure_ocs_ksp,1.064
47,eps_ecmp,0.986
47,pure_ocs_ksp_greedy,1.064
47,ocs_eps_preset_dynamic_greedy,1.000
47,pure_ocs_pruned,1.009
47,ocs_eps_pruned,1.001
47,ocs_eps_large_small,1.179
47,ocs_eps_preset_greedy,1.034
47,pure_ocs_3hop_preset,1.009
48,ocs_eps_global_ksp,1.329
48,pure_ocs_ksp,1.047
48,eps_ecmp,1.006
48,pure_ocs_ksp_greedy,0.965
48,ocs_eps_preset_dynamic_greedy,1.000
48,pure_ocs_pruned,0.980
48,ocs_eps_pruned,0.983
48,ocs_eps_large_small,1.153
48,ocs_eps_preset_greedy,1.005
48,pure_ocs_3hop_preset,0.980
49,ocs_eps_global_ksp,1.232
49,pure_ocs_ksp,1.026
49,eps_ecmp,1.010
49,pure_ocs_ksp_greedy,0.993
49,ocs_eps_preset_dynamic_greedy,1.000
49,pure_ocs_pruned,1.013
49,ocs_eps_pruned,1.037
49,ocs_eps_large_small,1.040
49,ocs_eps_preset_greedy,0.994
49,pure_ocs_3hop_preset,1.013
50,ocs_eps_global_ksp,1.305
50,pure_ocs_ksp,1.075
50,eps_ecmp,0.968
50,pure_ocs_ksp_greedy,1.026
50,ocs_eps_preset_dynamic_greedy,1.000
50,pure_ocs_pruned,1.043
50,ocs_eps_pruned,1.002
50,ocs_eps_large_small,1.455
50,ocs_eps_preset_greedy,1.032
50,pure_ocs_3hop_preset,1.043
51,ocs_eps_global_ksp,1.327
51,pure_ocs_ksp,1.050
51,eps_ecmp,1.000
51,pure_ocs_ksp_greedy,1.002
51,ocs_eps_preset_dynamic_greedy,1.000
51,pure_ocs_pruned,1.012
51,ocs_eps_pruned,1.006
51,ocs_eps_large_small,1.980
51,ocs_eps_preset_greedy,1.030
51,pure_ocs_3hop_preset,1.012
