model_id,model_type,num_hosts,t_min,t_max,t_used,frag_model,tors_used,pp_groups_hosts
L1,L,64,8,64,36,0.500000,"[4,5,8,10,11,17,19,20,21,22,23,24,25,28,31,32,34,35,36,38,45,47,49,51,52,53,56,57,58,59,63,64,65,67,70,71]","[462,175,471,231,71,207,279,455]|[518,165,294,46,398,383,382,463]|[574,206,527,367,519,293,423,95]|[166,191,87,479,38,311,542,510]|[399,254,381,142,174,47,143,295]|[567,543,431,183,262,45,253,509]|[255,198,287,199,286,575,278,263]|[415,511,158,566,422,159,167,39]"
L2,L,64,8,64,36,0.500000,"[1,7,9,15,16,20,26,28,31,34,35,38,40,41,42,43,44,45,47,48,50,51,53,57,58,59,60,61,62,63,65,68,72,73,74,78]","[357,494,326,525,133,79,526,359]|[583,630,493,470,468,341,14,351]|[230,335,163,390,495,429,127,252]|[366,380,508,342,631,164,251,389]|[15,77,590,310,469,414,61,407]|[430,327,503,591,461,62,78,134]|[478,285,126,215,599,502,551,135]|[391,486,63,277,358,477,487,343]"
L3,L,64,8,64,36,0.500000,"[0,2,4,6,9,10,11,12,15,17,19,21,23,24,28,32,33,37,38,39,47,48,49,51,52,53,54,55,58,63,65,67,68,69,72,73]","[549,53,550,507,271,7,582,197]|[269,102,446,317,559,439,23,270]|[93,410,309,54,589,55,196,229]|[157,76,397,437,300,94,173,396]|[84,190,387,171,86,103,524,22]|[141,421,302,411,85,428,409,172]|[388,438,412,268,318,37,301,379]|[319,303,413,125,467,261,447,541]"
L4,L,64,8,64,36,0.500000,"[8,10,14,15,16,17,18,20,22,25,26,27,28,31,33,34,36,42,44,45,48,49,50,51,56,57,58,59,62,64,68,69,70,75,77,78]","[547,205,565,70,465,162,340,626]|[475,517,563,454,459,548,214,204]|[139,476,182,365,606,276,249,150]|[406,124,607,628,629,395,140,394]|[627,622,501,213,292,408,83,564]|[248,386,266,119,516,131,267,132]|[250,228,558,356,500,223,466,339]|[620,181,151,118,460,623,605,621]"
M1,M,40,5,40,22,0.485714,"[4,9,12,14,17,20,26,28,30,37,44,46,47,53,54,58,61,62,64,74,77,78]","[427,497,625,498,161]|[247,434,492,211,101]|[74,374,464,355,75]|[137,226,491,354,597]|[426,138,117,116,115]|[436,35,212,375,36]|[598,299,515,499,246]|[433,435,378,227,619]"
M2,M,40,5,40,22,0.485714,"[5,7,13,16,17,19,20,21,24,26,27,33,34,40,43,46,55,64,66,71,74,77]","[221,596,130,372,348]|[444,156,573,220,323]|[275,373,349,160,195]|[110,618,534,535,222]|[194,136,129,325,273]|[210,170,350,60,44]|[109,59,595,514,111]|[513,445,324,265,274]"
M3,M,40,6,40,23,0.500000,"[1,7,12,14,15,16,27,28,29,42,43,44,55,56,60,61,64,65,66,69,73,77,79]","[639,237,484,554,346]|[557,588,58,485,532]|[555,239,128,617,533]|[99,522,235,523,238]|[453,347,218,13,452]|[219,123,512,236,225]|[338,443,638,490,114]|[556,531,100,353,489]"
S1,S,32,5,32,18,0.481481,"[5,13,19,24,28,32,33,35,37,41,46,54,56,59,65,70,72,76]","[297,42,264,193]|[153,43,371,154]|[561,296,332,224]|[259,155,41,432]|[334,108,107,562]|[450,40,284,615]|[260,451,581,474]|[580,298,521,333]"
S2,S,32,5,32,18,0.481481,"[11,12,13,24,26,38,40,42,45,46,50,52,61,62,67,70,73,77]","[364,538,97,417]|[105,420,488,336]|[363,496,616,419]|[307,192,106,586]|[539,370,92,418]|[540,91,337,90]|[306,308,587,322]|[405,209,98,560]"
S3,S,32,5,32,18,0.481481,"[3,7,9,12,22,23,26,29,36,39,41,43,45,46,67,69,72,73]","[179,96,577,578]|[345,57,28,361]|[208,31,553,537]|[369,180,29,189]|[316,585,188,291]|[315,331,73,233]|[579,234,177,178]|[344,362,30,290]"
