scheduler,percentile,cct_percentile_ms,relative_cct_percentile_vs_dynamic,avg_cct_ms,avg_relative_cct_vs_dynamic,num_coflows,unknown_group_flows
ocs_eps_global_ksp,100.000000,827.747839,1.479637,827.747839,1.479637,80,0
pure_ocs_ksp,100.000000,546.980909,0.977753,546.980909,0.977753,80,0
eps_ecmp,100.000000,586.832959,1.048991,586.832959,1.048991,80,0
ocs_eps_large_small,100.000000,539.009835,0.963505,539.009835,0.963505,80,0
pure_ocs_ksp_greedy,100.000000,536.492800,0.959005,536.492800,0.959005,80,0
ocs_eps_preset_greedy,100.000000,560.815842,1.002484,560.815842,1.002484,80,0
ocs_eps_preset_dynamic_greedy,100.000000,559.426210,1.000000,559.426210,1.000000,80,0
pure_ocs_3hop_preset,100.000000,572.517931,1.023402,572.517931,1.023402,80,0
pure_ocs_pruned,100.000000,572.517931,1.023402,572.517931,1.023402,80,0
ocs_eps_pruned,100.000000,535.684005,0.957560,535.684005,0.957560,80,0
