scheduler,bytes,fct_ms,num_flows_in_bin
eps_ecmp,229056.000000,1.970558,448
eps_ecmp,475136.000000,16.856454,1288
eps_ecmp,605184.000000,26.848583,224
eps_ecmp,694272.000000,34.056310,1440
eps_ecmp,796672.000000,49.295426,1312
eps_ecmp,979968.000000,44.642792,1640
eps_ecmp,1335296.000000,59.174643,1312
eps_ecmp,1480704.000000,56.658158,4800
eps_ecmp,1950720.000000,62.518389,432
eps_ecmp,2569216.000000,64.257599,480
eps_ecmp,3159040.000000,65.274422,2896
eps_ecmp,4021248.000000,68.847891,1392
eps_ecmp,4307968.000000,69.870763,2728
eps_ecmp,4943872.000000,67.061157,1496
eps_ecmp,6291456.000000,73.346920,1368
eps_ecmp,6739968.000000,75.839262,1488
eps_ecmp,8287232.000000,81.351480,1432
eps_ecmp,9189376.000000,77.205609,1752
eps_ecmp,18940928.000000,81.199156,568
eps_ecmp,22019392.000000,91.287811,1712
ocs_eps_global_ksp,229056.000000,1.895856,448
ocs_eps_global_ksp,475136.000000,20.765977,1288
ocs_eps_global_ksp,605184.000000,20.853529,224
ocs_eps_global_ksp,694272.000000,30.236853,1440
ocs_eps_global_ksp,796672.000000,40.270037,1312
ocs_eps_global_ksp,979968.000000,35.612161,1640
ocs_eps_global_ksp,1335296.000000,50.909655,1312
ocs_eps_global_ksp,1480704.000000,51.669331,4800
ocs_eps_global_ksp,1950720.000000,60.655291,432
ocs_eps_global_ksp,2569216.000000,63.328956,480
ocs_eps_global_ksp,3159040.000000,66.595047,2896
ocs_eps_global_ksp,4021248.000000,70.104675,1392
ocs_eps_global_ksp,4307968.000000,70.182191,2728
ocs_eps_global_ksp,4943872.000000,72.329056,1496
ocs_eps_global_ksp,6291456.000000,83.949195,1368
ocs_eps_global_ksp,6739968.000000,77.850707,1488
ocs_eps_global_ksp,8287232.000000,86.663915,1432
ocs_eps_global_ksp,9189376.000000,90.536363,1752
ocs_eps_global_ksp,18940928.000000,114.901945,568
ocs_eps_global_ksp,22019392.000000,135.342318,1712
ocs_eps_large_small,229056.000000,1.970506,448
ocs_eps_large_small,475136.000000,7.024074,1288
ocs_eps_large_small,605184.000000,4.252095,224
ocs_eps_large_small,694272.000000,28.465538,1440
ocs_eps_large_small,796672.000000,27.865450,1312
ocs_eps_large_small,979968.000000,25.294317,1640
ocs_eps_large_small,1335296.000000,39.252145,1312
ocs_eps_large_small,1480704.000000,40.485510,4800
ocs_eps_large_small,1950720.000000,48.859723,432
ocs_eps_large_small,2569216.000000,59.357230,480
ocs_eps_large_small,3159040.000000,46.920691,2896
