model_id,model_type,num_hosts,t_min,t_max,t_used,frag_model,tors_used,pp_groups_hosts
L1,L,64,8,64,36,0.500000,"[1,2,10,11,12,14,16,17,22,26,29,31,32,34,42,43,46,48,50,52,53,55,56,57,58,59,60,62,64,66,71,72,74,75,77,78]","[471,133,622,118,454,215,253,599]|[445,87,535,575,429,238,343,134]|[503,631,478,574,119,487,428,132]|[477,95,447,534,143,446,423,263]|[431,583,486,623,255,102,375,183]|[455,103,479,630,390,607,15,519]|[391,86,279,407,262,463,239,23]|[135,621,351,389,254,533,22,430]"
L2,L,64,8,64,36,0.500000,"[3,4,7,8,19,20,21,22,23,24,27,28,30,32,33,35,37,39,41,42,43,44,45,46,52,53,56,59,61,64,65,68,70,74,78,79]","[628,182,31,517,199,527,526,350]|[287,198,596,335,427,247,567,159]|[358,597,174,230,550,476,349,422]|[189,38,374,70,63,367,373,39]|[181,319,629,598,246,420,342,518]|[639,71,191,231,175,495,359,551]|[453,494,223,173,261,565,260,190]|[452,167,421,303,566,158,302,271]"
L3,L,64,8,64,36,0.500000,"[2,4,9,10,12,14,16,17,19,20,21,25,26,29,31,33,34,35,37,40,41,42,45,48,50,54,55,56,58,63,64,68,70,71,73,74]","[36,451,172,37,334,438,333,130]|[35,79,327,285,511,439,365,595]|[205,131,443,165,590,235,563,278]|[166,564,444,516,142,591,341,77]|[21,100,164,366,406,85,101,549]|[548,270,78,237,84,572,157,171]|[236,207,573,206,286,301,252,388]|[117,450,116,214,470,99,562,364]"
L4,L,64,8,64,36,0.500000,"[0,1,4,9,11,14,17,18,19,21,23,24,26,30,31,32,33,34,41,43,44,45,47,50,52,54,60,61,63,64,66,67,69,73,74,78]","[245,267,14,437,418,559,244,356]|[626,627,383,197,277,331,276,213]|[510,543,355,507,594,75,587,188]|[532,405,484,34,557,7,141,589]|[363,76,357,269,268,155,485,170]|[94,382,115,509,150,332,556,259]|[156,169,251,588,250,508,558,151]|[530,419,348,258,515,275,531,493]"
M1,M,40,5,40,22,0.485714,"[0,4,6,7,13,16,17,18,19,22,24,25,29,35,37,39,41,51,53,61,66,69]","[415,234,154,330,528]|[329,62,138,283,196]|[299,180,61,145,426]|[203,146,300,6,318]|[529,147,195,425,55]|[328,317,111,555,33]|[284,492,129,139,149]|[148,282,140,54,204]"
M2,M,40,5,40,22,0.485714,"[0,6,7,8,9,16,17,18,24,38,43,44,52,59,60,61,63,65,69,71,75,77]","[474,354,506,3,571]|[69,489,475,620,52]|[417,554,604,137,68]|[473,491,525,74,53]|[128,144,505,524,308]|[347,605,523,311,310]|[309,59,5,67,4]|[490,606,483,194,60]"
M3,M,40,5,40,22,0.485714,"[2,10,12,13,14,20,27,28,32,34,40,47,49,51,52,53,54,55,61,65,68,77]","[436,324,521,442,222]|[257,619,83,110,273]|[326,113,416,229,522]|[19,488,424,618,114]|[20,221,414,398,381]|[220,227,441,163,274]|[547,399,413,380,325]|[435,98,109,412,228]"
S1,S,32,4,32,18,0.500000,"[0,2,6,9,14,22,29,30,33,34,38,40,43,45,48,56,60,73]","[49,73,51,1]|[18,449,385,233]|[482,386,17,112]|[16,306,362,179]|[346,480,272,266]|[2,586,242,387]|[322,323,481,50]|[345,361,243,307]"
S2,S,32,4,32,18,0.500000,"[8,9,11,12,21,29,32,33,43,50,51,55,56,59,74,76,78,79]","[625,256,611,91]|[593,448,66,92]|[404,638,613,410]|[615,265,168,612]|[472,93,72,65]|[440,90,610,344]|[637,264,614,411]|[403,592,97,232]"
S3,S,32,5,32,18,0.481481,"[0,3,7,10,17,19,20,35,36,42,46,54,57,58,72,73,76,78]","[0,579,340,581]|[153,469,461,136]|[29,58,582,28]|[466,468,460,624]|[580,81,281,372]|[162,294,82,585]|[295,609,462,434]|[371,467,293,30]"
