seed,scheduler,avg_relative_cct_vs_dynamic
42,ocs_eps_global_ksp,1.279
42,pure_ocs_ksp,0.991
42,eps_ecmp,1.076
42,pure_ocs_ksp_greedy,0.958
42,ocs_eps_preset_dynamic_greedy,1.000
42,pure_ocs_pruned,0.949
42,ocs_eps_pruned,1.017
42,ocs_eps_large_small,0.977
42,ocs_eps_preset_greedy,1.030
42,pure_ocs_3hop_preset,0.949
43,ocs_eps_global_ksp,1.362
43,pure_ocs_ksp,0.995
43,eps_ecmp,1.044
43,pure_ocs_ksp_greedy,0.985
43,ocs_eps_preset_dynamic_greedy,1.000
43,pure_ocs_pruned,1.045
43,ocs_eps_pruned,1.090
43,ocs_eps_large_small,0.956
43,ocs_eps_preset_greedy,1.071
43,pure_ocs_3hop_preset,1.045
44,ocs_eps_global_ksp,1.596
44,pure_ocs_ksp,1.126
44,eps_ecmp,1.033
44,pure_ocs_ksp_greedy,1.066
44,ocs_eps_preset_dynamic_greedy,1.000
44,pure_ocs_pruned,0.995
44,ocs_eps_pruned,0.987
44,ocs_eps_large_small,1.006
44,ocs_eps_preset_greedy,1.057
44,pure_ocs_3hop_preset,0.995
45,ocs_eps_global_ksp,1.388
45,pure_ocs_ksp,1.053
45,eps_ecmp,1.064
45,pure_ocs_ksp_greedy,1.028
45,ocs_eps_preset_dynamic_greedy,1.000
45,pure_ocs_pruned,1.035
45,ocs_eps_pruned,0.990
45,ocs_eps_large_small,0.970
45,ocs_eps_preset_greedy,1.009
45,pure_ocs_3hop_preset,1.035
46,ocs_eps_global_ksp,1.397
46,pure_ocs_ksp,1.010
46,eps_ecmp,1.026
46,pure_ocs_ksp_greedy,0.968
46,ocs_eps_preset_dynamic_greedy,1.000
46,pure_ocs_pruned,0.945
46,ocs_eps_pruned,0.983
46,ocs_eps_large_small,0.884
46,ocs_eps_preset_greedy,1.004
46,pure_ocs_3hop_preset,0.945
47,ocs_eps_global_ksp,1.480
47,pure_ocs_ksp,0.978
47,eps_ecmp,1.049
47,pure_ocs_ksp_greedy,0.959
47,ocs_eps_preset_dynamic_greedy,1.000
47,pure_ocs_pruned,1.023
47,ocs_eps_pruned,0.958
47,ocs_eps_large_small,0.964
47,ocs_eps_preset_greedy,1.002
47,pure_ocs_3hop_preset,1.023
48,ocs_eps_global_ksp,1.243
48,pure_ocs_ksp,0.969
48,eps_ecmp,0.978
48,pure_ocs_ksp_greedy,1.009
48,ocs_eps_preset_dynamic_greedy,1.000
48,pure_ocs_pruned,0.913
48,ocs_eps_pruned,0.920
48,ocs_eps_large_small,0.916
48,ocs_eps_preset_greedy,0.913
48,pure_ocs_3hop_preset,0.913
49,ocs_eps_global_ksp,1.259
49,pure_ocs_ksp,1.038
49,eps_ecmp,1.079
49,pure_ocs_ksp_greedy,0.992
49,ocs_eps_preset_dynamic_greedy,1.000
49,pure_ocs_pruned,1.001
49,ocs_eps_pruned,1.024
49,ocs_eps_large_small,0.999
49,ocs_eps_preset_greedy,0.960
49,pure_ocs_3hop_preset,1.001
50,ocs_eps_global_ksp,1.623
50,pure_ocs_ksp,1.111
50,eps_ecmp,1.109
50,pure_ocs_ksp_greedy,1.023
50,ocs_eps_preset_dynamic_greedy,1.000
50,pure_ocs_pruned,0.967
50,ocs_eps_pruned,1.002
50,ocs_eps_large_small,1.052
50,ocs_eps_preset_greedy,0.992
50,pure_ocs_3hop_preset,0.967
51,ocs_eps_global_ksp,1.399
51,pure_ocs_ksp,1.064
51,eps_ecmp,1.067
51,pure_ocs_ksp_greedy,0.954
51,ocs_eps_preset_dynamic_greedy,1.000
51,pure_ocs_pruned,0.993
51,ocs_eps_pruned,0.979
51,ocs_eps_large_small,0.973
51,ocs_eps_preset_greedy,0.934
51,pure_ocs_3hop_preset,0.993
