scheduler,percentile,cct_percentile_ms,relative_cct_percentile_vs_dynamic,avg_cct_ms,avg_relative_cct_vs_dynamic,num_coflows,unknown_group_flows
ocs_eps_global_ksp,100.0,1378.440,1.747,1378.440,1.747,80,0
pure_ocs_ksp,100.0,932.407,1.181,932.407,1.181,80,0
eps_ecmp,100.0,825.727,1.046,825.727,1.046,80,0
ocs_eps_large_small,100.0,851.991,1.080,851.991,1.080,80,0
pure_ocs_ksp_greedy,100.0,885.047,1.121,885.047,1.121,80,0
ocs_eps_preset_greedy,100.0,807.802,1.024,807.802,1.024,80,0
ocs_eps_preset_dynamic_greedy,100.0,789.210,1.000,789.210,1.000,80,0
pure_ocs_3hop_preset,100.0,780.467,0.989,780.467,0.989,80,0
pure_ocs_pruned,100.0,780.467,0.989,780.467,0.989,80,0
ocs_eps_pruned,100.0,819.028,1.038,819.028,1.038,80,0
