scheduler,percentile,cct_percentile_ms,relative_cct_percentile_vs_dynamic,avg_cct_ms,avg_relative_cct_vs_dynamic,num_coflows,unknown_group_flows
ocs_eps_global_ksp,100.0,4405.209,2.488,4405.209,2.488,80,0
pure_ocs_ksp,100.0,2290.316,1.294,2290.316,1.294,80,0
eps_ecmp,100.0,2304.767,1.302,2304.767,1.302,80,0
ocs_eps_large_small,100.0,2028.591,1.146,2028.591,1.146,80,0
pure_ocs_ksp_greedy,100.0,2429.507,1.372,2429.507,1.372,80,0
ocs_eps_preset_greedy,100.0,2174.198,1.228,2174.198,1.228,80,0
ocs_eps_preset_dynamic_greedy,100.0,1770.509,1.000,1770.509,1.000,80,0
pure_ocs_3hop_preset,100.0,2065.925,1.167,2065.925,1.167,80,0
pure_ocs_pruned,100.0,2065.925,1.167,2065.925,1.167,80,0
ocs_eps_pruned,100.0,2123.895,1.200,2123.895,1.200,80,0
