gid,start_time_s,start_ns,model_id,pp_idx,num_flows,num_src_hosts,num_dst_hosts
4,0.004503307,4503307,M1,1,320,5,5
14,0.005029693,5029693,M1,2,320,5,5
24,0.009008890,9008890,M1,3,320,5,5
9,0.010484621,10484621,S3,1,256,4,4
19,0.011631789,11631789,S3,2,256,4,4
29,0.012775289,12775289,S3,3,256,4,4
34,0.013813076,13813076,M1,4,320,5,5
44,0.015561226,15561226,M1,5,320,5,5
39,0.017140197,17140197,S3,4,256,4,4
49,0.019740144,19740144,S3,5,256,4,4
54,0.019930920,19930920,M1,6,320,5,5
2,0.020632837,20632837,L3,1,512,8,8
6,0.021844089,21844089,M3,1,320,5,5
12,0.021898577,21898577,L3,2,512,8,8
64,0.023250405,23250405,M1,7,320,5,5
59,0.023728244,23728244,S3,6,256,4,4
16,0.023825935,23825935,M3,2,320,5,5
26,0.026413590,26413590,M3,3,320,5,5
74,0.026784172,26784172,M1,8,320,5,5
22,0.026858002,26858002,L3,3,512,8,8
36,0.027341409,27341409,M3,4,320,5,5
32,0.027716146,27716146,L3,4,512,8,8
69,0.028258990,28258990,S3,7,256,4,4
46,0.028575414,28575414,M3,5,320,5,5
56,0.030296644,30296644,M3,6,320,5,5
42,0.030411314,30411314,L3,5,512,8,8
66,0.031096910,31096910,M3,7,320,5,5
79,0.031869505,31869505,S3,8,256,4,4
76,0.032050289,32050289,M3,8,320,5,5
52,0.032279732,32279732,L3,6,512,8,8
62,0.035730751,35730751,L3,7,512,8,8
72,0.037329958,37329958,L3,8,512,8,8
1,0.038723846,38723846,L2,1,512,8,8
11,0.039251322,39251322,L2,2,512,8,8
21,0.043235769,43235769,L2,3,512,8,8
0,0.043468703,43468703,L1,1,512,8,8
31,0.043941237,43941237,L2,4,512,8,8
41,0.044128562,44128562,L2,5,512,8,8
10,0.045077180,45077180,L1,2,512,8,8
8,0.045168241,45168241,S2,1,256,4,4
51,0.047420491,47420491,L2,6,512,8,8
20,0.048772763,48772763,L1,3,512,8,8
18,0.049362231,49362231,S2,2,256,4,4
61,0.049567056,49567056,L2,7,512,8,8
71,0.049907506,49907506,L2,8,512,8,8
30,0.050800167,50800167,L1,4,512,8,8
40,0.053893987,53893987,L1,5,512,8,8
28,0.054198636,54198636,S2,3,256,4,4
38,0.055226688,55226688,S2,4,256,4,4
50,0.056439695,56439695,L1,6,512,8,8
48,0.056469012,56469012,S2,5,256,4,4
3,0.056501633,56501633,L4,1,512,8,8
13,0.056822506,56822506,L4,2,512,8,8
23,0.060303799,60303799,L4,3,512,8,8
58,0.060313632,60313632,S2,6,256,4,4
60,0.061136067,61136067,L1,7,512,8,8
70,0.061665442,61665442,L1,8,512,8,8
68,0.062817928,62817928,S2,7,256,4,4
78,0.064052228,64052228,S2,8,256,4,4
33,0.065077627,65077627,L4,4,512,8,8
43,0.067704662,67704662,L4,5,512,8,8
53,0.070695916,70695916,L4,6,512,8,8
63,0.070810900,70810900,L4,7,512,8,8
73,0.074177427,74177427,L4,8,512,8,8
5,0.079861028,79861028,M2,1,320,5,5
15,0.080751973,80751973,M2,2,320,5,5
25,0.084098278,84098278,M2,3,320,5,5
35,0.084554954,84554954,M2,4,320,5,5
45,0.085439158,85439158,M2,5,320,5,5
55,0.089127157,89127157,M2,6,320,5,5
65,0.089720385,89720385,M2,7,320,5,5
7,0.094051358,94051358,S1,1,256,4,4
75,0.094633556,94633556,M2,8,320,5,5
17,0.097377704,97377704,S1,2,256,4,4
27,0.101631417,101631417,S1,3,256,4,4
37,0.103159600,103159600,S1,4,256,4,4
47,0.107196573,107196573,S1,5,256,4,4
57,0.111671665,111671665,S1,6,256,4,4
67,0.113542999,113542999,S1,7,256,4,4
77,0.115770121,115770121,S1,8,256,4,4
