case_base,scheduler,seed_count,mean_avg_relative_cct_vs_dynamic,std_avg_relative_cct_vs_dynamic
cdf_fbcoco,ocs_eps_global_ksp,10,1.581,0.190
cdf_fbcoco,pure_ocs_ksp,10,1.048,0.128
cdf_fbcoco,eps_ecmp,10,1.066,0.152
cdf_fbcoco,pure_ocs_ksp_greedy,10,1.006,0.129
cdf_fbcoco,ocs_eps_preset_dynamic_greedy,10,1.000,0.000
cdf_fbcoco,pure_ocs_pruned,10,1.016,0.167
cdf_fbcoco,ocs_eps_pruned,10,1.019,0.094
cdf_fbcoco,ocs_eps_large_small,10,1.015,0.114
cdf_fbcoco,ocs_eps_preset_greedy,10,1.012,0.180
cdf_fbcoco,pure_ocs_3hop_preset,10,1.016,0.167
cdf_fbcoco_february_2024,ocs_eps_global_ksp,10,1.487,0.153
cdf_fbcoco_february_2024,pure_ocs_ksp,10,1.097,0.126
cdf_fbcoco_february_2024,eps_ecmp,10,1.178,0.114
cdf_fbcoco_february_2024,pure_ocs_ksp_greedy,10,1.027,0.178
cdf_fbcoco_february_2024,ocs_eps_preset_dynamic_greedy,10,1.000,0.000
cdf_fbcoco_february_2024,pure_ocs_pruned,10,0.975,0.107
cdf_fbcoco_february_2024,ocs_eps_pruned,10,0.962,0.190
cdf_fbcoco_february_2024,ocs_eps_large_small,10,0.994,0.131
cdf_fbcoco_february_2024,ocs_eps_preset_greedy,10,1.025,0.138
cdf_fbcoco_february_2024,pure_ocs_3hop_preset,10,0.975,0.107
cdf_fbcoco_january_2024,ocs_eps_global_ksp,10,1.071,0.154
cdf_fbcoco_january_2024,pure_ocs_ksp,10,1.031,0.131
cdf_fbcoco_january_2024,eps_ecmp,10,1.030,0.174
cdf_fbcoco_january_2024,pure_ocs_ksp_greedy,10,0.935,0.114
cdf_fbcoco_january_2024,ocs_eps_preset_dynamic_greedy,10,1.000,0.000
cdf_fbcoco_january_2024,pure_ocs_pruned,10,1.015,0.108
cdf_fbcoco_january_2024,ocs_eps_pruned,10,0.976,0.166
cdf_fbcoco_january_2024,ocs_eps_large_small,10,0.983,0.230
cdf_fbcoco_january_2024,ocs_eps_preset_greedy,10,1.044,0.221
cdf_fbcoco_january_2024,pure_ocs_3hop_preset,10,1.015,0.108
cdf_fbcoco_march_2024,ocs_eps_global_ksp,10,1.630,0.474
cdf_fbcoco_march_2024,pure_ocs_ksp,10,1.150,0.357
cdf_fbcoco_march_2024,eps_ecmp,10,1.125,0.248
cdf_fbcoco_march_2024,pure_ocs_ksp_greedy,10,1.042,0.268
cdf_fbcoco_march_2024,ocs_eps_preset_dynamic_greedy,10,1.000,0.000
cdf_fbcoco_march_2024,pure_ocs_pruned,10,1.019,0.238
cdf_fbcoco_march_2024,ocs_eps_pruned,10,1.077,0.309
cdf_fbcoco_march_2024,ocs_eps_large_small,10,1.084,0.295
cdf_fbcoco_march_2024,ocs_eps_preset_greedy,10,1.019,0.239
cdf_fbcoco_march_2024,pure_ocs_3hop_preset,10,1.019,0.238
