scheduler,avg_relative_fct_vs_dynamic,matched_bins,self_bins,dynamic_bins
helios_t10,0.990,16,16,16
helios_t20,1.555,16,16,16
helios_t30,1.831,16,16,16
helios_t40,3.711,16,16,16
helios_t50,3.631,16,16,16
helios_t60,4.143,16,16,16
helios_t70,4.888,16,16,16
helios_t80,18.436,16,16,16
helios_t90,24.641,16,16,16
hyacinth_dynamic,1.000,16,16,16
hyacinth_preset_t10,2.786,16,16,16
hyacinth_preset_t20,1.801,16,16,16
hyacinth_preset_t30,2.076,16,16,16
hyacinth_preset_t40,1.254,16,16,16
hyacinth_preset_t50,1.092,16,16,16
hyacinth_preset_t60,0.992,16,16,16
hyacinth_preset_t70,1.002,16,16,16
hyacinth_preset_t80,0.955,16,16,16
hyacinth_preset_t90,1.015,16,16,16
