scheduler,percentile,cct_percentile_ms,relative_cct_percentile_vs_dynamic,avg_cct_ms,avg_relative_cct_vs_dynamic,num_coflows,unknown_group_flows
helios_t10,100.0,3574.348,1.988,3574.348,1.988,48,0
helios_t20,100.0,2932.537,1.631,2932.537,1.631,48,0
helios_t30,100.0,2614.723,1.454,2614.723,1.454,48,0
helios_t40,100.0,2001.213,1.113,2001.213,1.113,48,0
helios_t50,100.0,1963.438,1.092,1963.438,1.092,48,0
helios_t60,100.0,1515.248,0.843,1515.248,0.843,48,0
helios_t70,100.0,1784.354,0.992,1784.354,0.992,48,0
helios_t80,100.0,1836.669,1.022,1836.669,1.022,48,0
helios_t90,100.0,2315.854,1.288,2315.854,1.288,48,0
hyacinth_dynamic,100.0,1797.892,1.000,1797.892,1.000,48,0
hyacinth_preset_t10,100.0,2971.104,1.653,2971.104,1.653,48,0
hyacinth_preset_t20,100.0,2426.072,1.349,2426.072,1.349,48,0
hyacinth_preset_t30,100.0,2076.254,1.155,2076.254,1.155,48,0
hyacinth_preset_t40,100.0,1905.516,1.060,1905.516,1.060,48,0
hyacinth_preset_t50,100.0,1692.562,0.941,1692.562,0.941,48,0
hyacinth_preset_t60,100.0,1669.444,0.929,1669.444,0.929,48,0
hyacinth_preset_t70,100.0,1554.710,0.865,1554.710,0.865,48,0
hyacinth_preset_t80,100.0,1941.619,1.080,1941.619,1.080,48,0
hyacinth_preset_t90,100.0,1969.315,1.095,1969.315,1.095,48,0
