scheduler,percentile,cct_percentile_ms,relative_cct_percentile_vs_dynamic,avg_cct_ms,avg_relative_cct_vs_dynamic,num_coflows,unknown_group_flows
helios_t10,100.0,6627.627,2.152,6627.627,2.152,48,0
helios_t20,100.0,6209.838,2.016,6209.838,2.016,48,0
helios_t30,100.0,4133.724,1.342,4133.724,1.342,48,0
helios_t40,100.0,3921.978,1.273,3921.978,1.273,48,0
helios_t50,100.0,4120.139,1.338,4120.139,1.338,48,0
helios_t60,100.0,2903.129,0.943,2903.129,0.943,48,0
helios_t70,100.0,4059.404,1.318,4059.404,1.318,48,0
helios_t80,100.0,4134.516,1.342,4134.516,1.342,48,0
helios_t90,100.0,3933.011,1.277,3933.011,1.277,48,0
hyacinth_dynamic,100.0,3079.922,1.000,3079.922,1.000,48,0
hyacinth_preset_t10,100.0,5941.589,1.929,5941.589,1.929,48,0
hyacinth_preset_t20,100.0,6583.489,2.138,6583.489,2.138,48,0
hyacinth_preset_t30,100.0,3724.769,1.209,3724.769,1.209,48,0
hyacinth_preset_t40,100.0,3320.170,1.078,3320.170,1.078,48,0
hyacinth_preset_t50,100.0,3341.284,1.085,3341.284,1.085,48,0
hyacinth_preset_t60,100.0,2329.892,0.756,2329.892,0.756,48,0
hyacinth_preset_t70,100.0,2890.844,0.939,2890.844,0.939,48,0
hyacinth_preset_t80,100.0,3574.749,1.161,3574.749,1.161,48,0
hyacinth_preset_t90,100.0,4046.845,1.314,4046.845,1.314,48,0
