scheduler,seed_count,mean_avg_relative_cct_vs_dynamic,std_avg_relative_cct_vs_dynamic
helios_t10,10,1.913,0.118
helios_t20,10,1.692,0.110
helios_t30,10,1.518,0.079
helios_t40,10,1.237,0.069
helios_t50,10,1.057,0.030
helios_t60,10,0.983,0.072
helios_t70,10,1.061,0.084
helios_t80,10,1.159,0.089
helios_t90,10,1.260,0.084
hyacinth_dynamic,10,1.000,0.000
hyacinth_preset_t10,10,1.700,0.084
hyacinth_preset_t20,10,1.478,0.126
hyacinth_preset_t30,10,1.263,0.091
hyacinth_preset_t40,10,1.112,0.062
hyacinth_preset_t50,10,1.014,0.075
hyacinth_preset_t60,10,0.954,0.072
hyacinth_preset_t70,10,0.972,0.072
hyacinth_preset_t80,10,1.098,0.060
hyacinth_preset_t90,10,1.156,0.086
