seed,scheduler,avg_relative_cct_vs_dynamic
42,helios_t10,1.541
42,helios_t20,1.431
42,helios_t30,1.269
42,helios_t40,1.111
42,helios_t50,1.071
42,helios_t60,1.016
42,helios_t70,0.891
42,helios_t80,1.191
42,helios_t90,0.907
42,hyacinth_dynamic,1.000
42,hyacinth_preset_t10,1.234
42,hyacinth_preset_t20,1.790
42,hyacinth_preset_t30,1.203
42,hyacinth_preset_t40,1.209
42,hyacinth_preset_t50,0.950
42,hyacinth_preset_t60,1.005
42,hyacinth_preset_t70,1.025
42,hyacinth_preset_t80,0.939
42,hyacinth_preset_t90,0.991
43,helios_t10,1.938
43,helios_t20,2.359
43,helios_t30,1.832
43,helios_t40,1.432
43,helios_t50,1.267
43,helios_t60,1.273
43,helios_t70,1.518
43,helios_t80,1.493
43,helios_t90,1.522
43,hyacinth_dynamic,1.000
43,hyacinth_preset_t10,1.925
43,hyacinth_preset_t20,1.735
43,hyacinth_preset_t30,1.532
43,hyacinth_preset_t40,1.436
43,hyacinth_preset_t50,1.160
43,hyacinth_preset_t60,1.380
43,hyacinth_preset_t70,1.266
43,hyacinth_preset_t80,1.306
43,hyacinth_preset_t90,1.539
44,helios_t10,2.091
44,helios_t20,1.293
44,helios_t30,1.177
44,helios_t40,1.029
44,helios_t50,1.111
44,helios_t60,0.666
44,helios_t70,0.904
44,helios_t80,0.946
44,helios_t90,1.308
44,hyacinth_dynamic,1.000
44,hyacinth_preset_t10,1.392
44,hyacinth_preset_t20,1.086
44,hyacinth_preset_t30,1.008
44,hyacinth_preset_t40,0.943
44,hyacinth_preset_t50,0.916
44,hyacinth_preset_t60,0.921
44,hyacinth_preset_t70,0.686
44,hyacinth_preset_t80,1.169
44,hyacinth_preset_t90,0.869
45,helios_t10,1.731
45,helios_t20,1.561
45,helios_t30,1.349
45,helios_t40,1.110
45,helios_t50,1.062
45,helios_t60,1.165
45,helios_t70,0.995
45,helios_t80,1.361
45,helios_t90,1.390
45,hyacinth_dynamic,1.000
45,hyacinth_preset_t10,1.282
45,hyacinth_preset_t20,1.421
45,hyacinth_preset_t30,1.323
45,hyacinth_preset_t40,1.102
45,hyacinth_preset_t50,1.131
45,hyacinth_preset_t60,1.456
45,hyacinth_preset_t70,1.164
45,hyacinth_preset_t80,1.299
45,hyacinth_preset_t90,1.207
46,helios_t10,1.722
46,helios_t20,1.564
46,helios_t30,1.194
46,helios_t40,1.455
46,helios_t50,1.299
46,helios_t60,0.915
46,helios_t70,1.024
46,helios_t80,0.940
46,helios_t90,1.109
46,hyacinth_dynamic,1.000
46,hyacinth_preset_t10,1.612
46,hyacinth_preset_t20,1.149
46,hyacinth_preset_t30,1.052
46,hyacinth_preset_t40,0.909
46,hyacinth_preset_t50,0.836
46,hyacinth_preset_t60,1.022
46,hyacinth_preset_t70,1.109
46,hyacinth_preset_t80,0.949
46,hyacinth_preset_t90,1.057
47,helios_t10,2.126
47,helios_t20,1.719
47,helios_t30,1.966
47,helios_t40,2.299
47,helios_t50,1.205
47,helios_t60,1.209
47,helios_t70,1.410
47,helios_t80,1.436
47,helios_t90,1.700
47,hyacinth_dynamic,1.000
47,hyacinth_preset_t10,2.084
47,hyacinth_preset_t20,1.296
47,hyacinth_preset_t30,1.105
47,hyacinth_preset_t40,0.948
47,hyacinth_preset_t50,1.014
47,hyacinth_preset_t60,1.033
47,hyacinth_preset_t70,1.178
47,hyacinth_preset_t80,1.386
47,hyacinth_preset_t90,1.289
48,helios_t10,2.146
48,helios_t20,1.956
48,helios_t30,1.313
48,helios_t40,1.228
48,helios_t50,1.213
48,helios_t60,0.936
48,helios_t70,1.191
48,helios_t80,1.314
48,helios_t90,1.185
48,hyacinth_dynamic,1.000
48,hyacinth_preset_t10,1.695
48,hyacinth_preset_t20,1.714
48,hyacinth_preset_t30,1.189
48,hyacinth_preset_t40,1.039
48,hyacinth_preset_t50,1.059
48,hyacinth_preset_t60,0.728
48,hyacinth_preset_t70,0.934
48,hyacinth_preset_t80,1.114
