seed,scheduler,avg_relative_fct_vs_dynamic
42,helios_t10,0.990
42,helios_t20,1.555
42,helios_t30,1.831
42,helios_t40,3.711
42,helios_t50,3.631
42,helios_t60,4.143
42,helios_t70,4.888
42,helios_t80,18.436
42,helios_t90,24.641
42,hyacinth_dynamic,1.000
42,hyacinth_preset_t10,2.786
42,hyacinth_preset_t20,1.801
42,hyacinth_preset_t30,2.076
42,hyacinth_preset_t40,1.254
42,hyacinth_preset_t50,1.092
42,hyacinth_preset_t60,0.992
42,hyacinth_preset_t70,1.002
42,hyacinth_preset_t80,0.955
42,hyacinth_preset_t90,1.015
43,helios_t10,0.993
43,helios_t20,1.374
43,helios_t30,2.386
43,helios_t40,3.344
43,helios_t50,9.860
43,helios_t60,4.693
43,helios_t70,19.726
43,helios_t80,13.002
43,helios_t90,5.308
43,hyacinth_dynamic,1.000
43,hyacinth_preset_t10,2.220
43,hyacinth_preset_t20,1.972
43,hyacinth_preset_t30,1.572
43,hyacinth_preset_t40,1.276
43,hyacinth_preset_t50,1.194
43,hyacinth_preset_t60,1.156
43,hyacinth_preset_t70,0.975
43,hyacinth_preset_t80,1.135
43,hyacinth_preset_t90,1.233
44,helios_t10,0.955
44,helios_t20,1.750
44,helios_t30,2.086
44,helios_t40,3.880
44,helios_t50,4.541
44,helios_t60,3.727
44,helios_t70,4.706
44,helios_t80,6.500
44,helios_t90,8.289
44,hyacinth_dynamic,1.000
44,hyacinth_preset_t10,2.441
44,hyacinth_preset_t20,1.678
44,hyacinth_preset_t30,1.581
44,hyacinth_preset_t40,1.400
44,hyacinth_preset_t50,0.981
44,hyacinth_preset_t60,0.899
44,hyacinth_preset_t70,0.963
44,hyacinth_preset_t80,0.935
44,hyacinth_preset_t90,1.042
45,helios_t10,0.975
45,helios_t20,1.299
45,helios_t30,1.941
45,helios_t40,3.014
45,helios_t50,3.625
45,helios_t60,4.412
45,helios_t70,4.785
45,helios_t80,4.812
45,helios_t90,7.096
45,hyacinth_dynamic,1.000
45,hyacinth_preset_t10,2.142
45,hyacinth_preset_t20,1.862
45,hyacinth_preset_t30,1.454
45,hyacinth_preset_t40,1.200
45,hyacinth_preset_t50,1.184
45,hyacinth_preset_t60,1.024
45,hyacinth_preset_t70,1.026
45,hyacinth_preset_t80,0.987
45,hyacinth_preset_t90,1.065
46,helios_t10,1.054
46,helios_t20,30.846
46,helios_t30,27.581
46,helios_t40,34.649
46,helios_t50,143.924
46,helios_t60,30.454
46,helios_t70,37.825
46,helios_t80,49.562
46,helios_t90,29.184
46,hyacinth_dynamic,1.000
46,hyacinth_preset_t10,3.038
46,hyacinth_preset_t20,3.296
46,hyacinth_preset_t30,2.817
46,hyacinth_preset_t40,1.718
46,hyacinth_preset_t50,1.963
46,hyacinth_preset_t60,1.018
46,hyacinth_preset_t70,1.006
46,hyacinth_preset_t80,0.957
46,hyacinth_preset_t90,1.618
47,helios_t10,1.071
47,helios_t20,1.113
47,helios_t30,3.839
47,helios_t40,6.333
47,helios_t50,6.767
47,helios_t60,57.035
47,helios_t70,13.299
47,helios_t80,7.864
47,helios_t90,8.568
47,hyacinth_dynamic,1.000
47,hyacinth_preset_t10,2.770
47,hyacinth_preset_t20,2.549
47,hyacinth_preset_t30,2.234
47,hyacinth_preset_t40,2.063
47,hyacinth_preset_t50,0.997
47,hyacinth_preset_t60,0.974
47,hyacinth_preset_t70,0.991
47,hyacinth_preset_t80,1.016
47,hyacinth_preset_t90,1.065
48,helios_t10,1.000
48,helios_t20,6.159
48,helios_t30,2.090
48,helios_t40,3.129
48,helios_t50,4.682
48,helios_t60,5.308
48,helios_t70,5.066
48,helios_t80,6.097
48,helios_t90,14.743
48,hyacinth_dynamic,1.000
48,hyacinth_preset_t10,2.280
48,hyacinth_preset_t20,1.487
48,hyacinth_preset_t30,1.318
48,hyacinth_preset_t40,1.191
48,hyacinth_preset_t50,1.242
48,hyacinth_preset_t60,0.966
48,hyacinth_preset_t70,0.905
48,hyacinth_preset_t80,0.985
48,hyacinth_preset_t90,1.026
49,helios_t10,0.937
49,helios_t20,1.319
49,helios_t30,1.757
49,helios_t40,4.329
49,helios_t50,11.823
49,helios_t60,6.713
49,helios_t70,6.296
49,helios_t80,4.524
49,helios_t90,14.490
49,hyacinth_dynamic,1.000
49,hyacinth_preset_t10,2.165
49,hyacinth_preset_t20,1.992
49,hyacinth_preset_t30,1.593
49,hyacinth_preset_t40,1.096
49,hyacinth_preset_t50,1.058
49,hyacinth_preset_t60,1.014
49,hyacinth_preset_t70,1.012
49,hyacinth_preset_t80,0.998
49,hyacinth_preset_t90,1.080
50,helios_t10,1.033
50,helios_t20,9.076
50,helios_t30,2.884
50,helios_t40,3.523
50,helios_t50,3.976
50,helios_t60,16.820
50,helios_t70,7.616
50,helios_t80,4.623
50,helios_t90,9.202
50,hyacinth_dynamic,1.000
50,hyacinth_preset_t10,2.206
50,hyacinth_preset_t20,3.211
50,hyacinth_preset_t30,1.685
50,hyacinth_preset_t40,1.432
50,hyacinth_preset_t50,1.119
50,hyacinth_preset_t60,1.019
50,hyacinth_preset_t70,0.921
50,hyacinth_preset_t80,0.959
50,hyacinth_preset_t90,1.096
51,helios_t10,1.016
51,helios_t20,1.968
51,helios_t30,3.094
51,helios_t40,5.473
51,helios_t50,4.323
51,helios_t60,6.984
51,helios_t70,6.847
51,helios_t80,21.487
51,helios_t90,8.036
51,hyacinth_dynamic,1.000
51,hyacinth_preset_t10,3.049
51,hyacinth_preset_t20,12.119
51,hyacinth_preset_t30,1.982
51,hyacinth_preset_t40,1.693
51,hyacinth_preset_t50,1.032
51,hyacinth_preset_t60,0.987
51,hyacinth_preset_t70,0.934
51,hyacinth_preset_t80,1.060
51,hyacinth_preset_t90,1.045
