seed,scheduler,avg_solve_time_ms
42,helios_t10,0.000
42,helios_t20,0.000
42,helios_t30,0.000
42,helios_t40,0.000
42,helios_t50,0.000
42,helios_t60,0.000
42,helios_t70,0.000
42,helios_t80,0.000
42,helios_t90,0.000
42,hyacinth_dynamic,0.272
42,hyacinth_preset_t10,0.154
42,hyacinth_preset_t20,0.173
42,hyacinth_preset_t30,0.178
42,hyacinth_preset_t40,0.156
42,hyacinth_preset_t50,0.160
42,hyacinth_preset_t60,0.157
42,hyacinth_preset_t70,0.927
42,hyacinth_preset_t80,0.176
42,hyacinth_preset_t90,0.164
43,helios_t10,0.000
43,helios_t20,0.000
43,helios_t30,0.000
43,helios_t40,0.000
43,helios_t50,0.000
43,helios_t60,0.000
43,helios_t70,0.000
43,helios_t80,0.000
43,helios_t90,0.000
43,hyacinth_dynamic,0.287
43,hyacinth_preset_t10,0.170
43,hyacinth_preset_t20,0.177
43,hyacinth_preset_t30,0.188
43,hyacinth_preset_t40,0.195
43,hyacinth_preset_t50,0.169
43,hyacinth_preset_t60,0.168
43,hyacinth_preset_t70,0.170
43,hyacinth_preset_t80,0.173
43,hyacinth_preset_t90,0.171
44,helios_t10,0.000
44,helios_t20,0.000
44,helios_t30,0.000
44,helios_t40,0.000
44,helios_t50,0.000
44,helios_t60,0.000
44,helios_t70,0.000
44,helios_t80,0.000
44,helios_t90,0.000
44,hyacinth_dynamic,0.304
44,hyacinth_preset_t10,0.268
44,hyacinth_preset_t20,0.178
44,hyacinth_preset_t30,0.194
44,hyacinth_preset_t40,0.169
44,hyacinth_preset_t50,0.888
44,hyacinth_preset_t60,0.183
44,hyacinth_preset_t70,0.169
44,hyacinth_preset_t80,0.326
44,hyacinth_preset_t90,0.176
45,helios_t10,0.000
45,helios_t20,0.000
45,helios_t30,0.000
45,helios_t40,0.000
45,helios_t50,0.000
45,helios_t60,0.000
45,helios_t70,0.000
45,helios_t80,0.000
45,helios_t90,0.000
45,hyacinth_dynamic,0.294
45,hyacinth_preset_t10,0.157
45,hyacinth_preset_t20,0.175
45,hyacinth_preset_t30,0.182
45,hyacinth_preset_t40,0.180
45,hyacinth_preset_t50,0.171
45,hyacinth_preset_t60,0.189
45,hyacinth_preset_t70,0.168
45,hyacinth_preset_t80,0.464
45,hyacinth_preset_t90,0.168
46,helios_t10,0.000
46,helios_t20,0.000
46,helios_t30,0.000
46,helios_t40,0.000
46,helios_t50,0.000
46,helios_t60,0.000
46,helios_t70,0.000
46,helios_t80,0.000
46,helios_t90,0.000
46,hyacinth_dynamic,0.306
46,hyacinth_preset_t10,0.174
