scheduler,seed_count,mean_avg_solve_time_ms,std_avg_solve_time_ms
helios_t10,10,0.000,0.000
helios_t20,10,0.000,0.000
helios_t30,10,0.000,0.000
helios_t40,10,0.000,0.000
helios_t50,10,0.000,0.000
helios_t60,10,0.000,0.000
helios_t70,10,0.000,0.000
helios_t80,10,0.000,0.000
helios_t90,10,0.000,0.000
hyacinth_dynamic,10,0.301,0.021
hyacinth_preset_t10,10,0.194,0.034
hyacinth_preset_t20,10,0.175,0.010
hyacinth_preset_t30,10,0.262,0.248
hyacinth_preset_t40,10,0.282,0.313
hyacinth_preset_t50,10,0.252,0.216
hyacinth_preset_t60,10,0.164,0.013
hyacinth_preset_t70,10,0.408,0.518
hyacinth_preset_t80,10,0.215,0.095
hyacinth_preset_t90,10,0.190,0.059
