scheduler,percentile,cct_percentile_ms,relative_cct_percentile_vs_dynamic,avg_cct_ms,avg_relative_cct_vs_dynamic,num_coflows,unknown_group_flows
helios_t10,99.0,5425.681,1.731,5425.681,1.731,48,0
helios_t20,99.0,4892.192,1.561,4892.192,1.561,48,0
helios_t30,99.0,4228.769,1.349,4228.769,1.349,48,0
helios_t40,99.0,3478.659,1.110,3478.659,1.110,48,0
helios_t50,99.0,3329.086,1.062,3329.086,1.062,48,0
helios_t60,99.0,3650.417,1.165,3650.417,1.165,48,0
helios_t70,99.0,3117.391,0.995,3117.391,0.995,48,0
helios_t80,99.0,4265.553,1.361,4265.553,1.361,48,0
helios_t90,99.0,4355.238,1.390,4355.238,1.390,48,0
hyacinth_dynamic,99.0,3134.352,1.000,3134.352,1.000,48,0
hyacinth_preset_t10,99.0,4018.401,1.282,4018.401,1.282,48,0
hyacinth_preset_t20,99.0,4454.913,1.421,4454.913,1.421,48,0
hyacinth_preset_t30,99.0,4146.122,1.323,4146.122,1.323,48,0
hyacinth_preset_t40,99.0,3455.395,1.102,3455.395,1.102,48,0
hyacinth_preset_t50,99.0,3545.353,1.131,3545.353,1.131,48,0
hyacinth_preset_t60,99.0,4564.237,1.456,4564.237,1.456,48,0
hyacinth_preset_t70,99.0,3647.283,1.164,3647.283,1.164,48,0
hyacinth_preset_t80,99.0,4072.711,1.299,4072.711,1.299,48,0
hyacinth_preset_t90,99.0,3782.807,1.207,3782.807,1.207,48,0
