scheduler,percentile,cct_percentile_ms,relative_cct_percentile_vs_dynamic,avg_cct_ms,avg_relative_cct_vs_dynamic,num_coflows,unknown_group_flows
helios_t10,100.0,3776.146,2.088,3776.146,2.088,48,0
helios_t20,100.0,3088.788,1.708,3088.788,1.708,48,0
helios_t30,100.0,2745.533,1.518,2745.533,1.518,48,0
helios_t40,100.0,2249.156,1.244,2249.156,1.244,48,0
helios_t50,100.0,1913.227,1.058,1913.227,1.058,48,0
helios_t60,100.0,1647.201,0.911,1647.201,0.911,48,0
helios_t70,100.0,1961.921,1.085,1961.921,1.085,48,0
helios_t80,100.0,2081.667,1.151,2081.667,1.151,48,0
helios_t90,100.0,2077.673,1.149,2077.673,1.149,48,0
hyacinth_dynamic,100.0,1808.548,1.000,1808.548,1.000,48,0
hyacinth_preset_t10,100.0,3206.892,1.773,3206.892,1.773,48,0
hyacinth_preset_t20,100.0,2714.492,1.501,2714.492,1.501,48,0
hyacinth_preset_t30,100.0,2309.647,1.277,2309.647,1.277,48,0
hyacinth_preset_t40,100.0,2053.709,1.136,2053.709,1.136,48,0
hyacinth_preset_t50,100.0,1929.833,1.067,1929.833,1.067,48,0
hyacinth_preset_t60,100.0,1575.168,0.871,1575.168,0.871,48,0
hyacinth_preset_t70,100.0,1713.583,0.947,1713.583,0.947,48,0
hyacinth_preset_t80,100.0,1886.855,1.043,1886.855,1.043,48,0
hyacinth_preset_t90,100.0,2041.068,1.129,2041.068,1.129,48,0
