scheduler,bytes,fct_ms,num_flows_in_bin
helios_t10,100.000000,0.009052,64
helios_t10,10000.000000,0.058624,40
helios_t10,20000.000000,0.103259,256
helios_t10,30000.000000,0.186928,24
helios_t10,100000.000000,0.723168,280
helios_t10,200000.000000,1.210638,304
helios_t10,300000.000000,1.941709,584
helios_t10,400000.000000,2.550014,608
helios_t10,800000.000000,20.501188,1840
helios_t10,1000000.000000,22.561552,1144
helios_t10,2000000.000000,33.888670,3296
helios_t10,3000000.000000,64.256010,2384
helios_t10,10000000.000000,293.208323,3864
helios_t10,20000000.000000,599.448445,2672
helios_t10,30000000.000000,716.306626,1280
helios_t10,100000000.000000,1191.193570,800
helios_t20,100.000000,0.014481,64
helios_t20,10000.000000,0.075746,40
helios_t20,20000.000000,0.155170,256
helios_t20,30000.000000,0.206383,24
helios_t20,100000.000000,0.919302,280
helios_t20,200000.000000,1.679962,304
helios_t20,300000.000000,9.497816,584
helios_t20,400000.000000,22.064563,608
helios_t20,800000.000000,58.080517,1840
helios_t20,1000000.000000,57.299688,1144
helios_t20,2000000.000000,68.890224,3296
helios_t20,3000000.000000,76.698369,2384
helios_t20,10000000.000000,162.280425,3864
helios_t20,20000000.000000,466.518951,2672
helios_t20,30000000.000000,613.336904,1280
helios_t20,100000000.000000,1037.928860,800
helios_t30,100.000000,0.011315,64
helios_t30,10000.000000,0.097306,40
helios_t30,20000.000000,0.156989,256
helios_t30,30000.000000,0.272229,24
helios_t30,100000.000000,1.142416,280
helios_t30,200000.000000,2.061539,304
helios_t30,300000.000000,24.444270,584
helios_t30,400000.000000,35.858246,608
helios_t30,800000.000000,64.207449,1840
helios_t30,1000000.000000,66.415409,1144
helios_t30,2000000.000000,84.993437,3296
helios_t30,3000000.000000,101.423727,2384
helios_t30,10000000.000000,171.741310,3864
helios_t30,20000000.000000,302.396114,2672
helios_t30,30000000.000000,512.079126,1280
helios_t30,100000000.000000,861.178628,800
helios_t40,100.000000,0.010247,64
helios_t40,10000.000000,0.116095,40
helios_t40,20000.000000,0.255493,256
helios_t40,30000.000000,14.811806,24
helios_t40,100000.000000,1.442159,280
helios_t40,200000.000000,2.834022,304
helios_t40,300000.000000,25.576372,584
helios_t40,400000.000000,33.153816,608
helios_t40,800000.000000,68.176315,1840
helios_t40,1000000.000000,82.529641,1144
helios_t40,2000000.000000,89.025858,3296
helios_t40,3000000.000000,103.789084,2384
helios_t40,10000000.000000,197.015610,3864
helios_t40,20000000.000000,268.837978,2672
helios_t40,30000000.000000,389.384262,1280
helios_t40,100000000.000000,670.433593,800
helios_t50,100.000000,0.016837,64
helios_t50,10000.000000,0.085047,40
helios_t50,20000.000000,0.236116,256
helios_t50,30000.000000,47.895190,24
helios_t50,100000.000000,16.289143,280
helios_t50,200000.000000,17.524873,304
helios_t50,300000.000000,31.544485,584
helios_t50,400000.000000,49.680176,608
helios_t50,800000.000000,71.962608,1840
helios_t50,1000000.000000,83.236321,1144
helios_t50,2000000.000000,97.410062,3296
helios_t50,3000000.000000,114.949805,2384
helios_t50,10000000.000000,221.046767,3864
helios_t50,20000000.000000,272.371152,2672
helios_t50,30000000.000000,303.981064,1280
helios_t50,100000000.000000,561.630199,800
helios_t60,100.000000,0.024598,64
helios_t60,10000.000000,0.098419,40
helios_t60,20000.000000,0.234324,256
helios_t60,30000.000000,20.690560,24
helios_t60,100000.000000,1.456300,280
helios_t60,200000.000000,34.738357,304
helios_t60,300000.000000,26.226318,584
helios_t60,400000.000000,41.686504,608
helios_t60,800000.000000,78.926102,1840
helios_t60,1000000.000000,90.141323,1144
helios_t60,2000000.000000,103.741871,3296
helios_t60,3000000.000000,148.967949,2384
helios_t60,10000000.000000,241.405658,3864
helios_t60,20000000.000000,308.298019,2672
helios_t60,30000000.000000,326.004056,1280
helios_t60,100000000.000000,440.015640,800
helios_t70,100.000000,0.013326,64
helios_t70,10000.000000,0.119604,40
helios_t70,20000.000000,0.240816,256
helios_t70,30000.000000,13.483026,24
helios_t70,100000.000000,1.780480,280
helios_t70,200000.000000,45.354321,304
helios_t70,300000.000000,40.313288,584
helios_t70,400000.000000,51.820318,608
helios_t70,800000.000000,85.113251,1840
helios_t70,1000000.000000,85.076187,1144
helios_t70,2000000.000000,106.814977,3296
helios_t70,3000000.000000,160.931374,2384
helios_t70,10000000.000000,257.942512,3864
helios_t70,20000000.000000,340.875730,2672
helios_t70,30000000.000000,379.179594,1280
helios_t70,100000000.000000,353.069050,800
helios_t80,100.000000,0.025232,64
helios_t80,10000.000000,0.116239,40
helios_t80,20000.000000,0.740376,256
helios_t80,30000.000000,0.318368,24
helios_t80,100000.000000,1.828693,280
helios_t80,200000.000000,44.675910,304
helios_t80,300000.000000,53.850031,584
helios_t80,400000.000000,42.751550,608
helios_t80,800000.000000,80.137325,1840
helios_t80,1000000.000000,91.691340,1144
helios_t80,2000000.000000,120.598652,3296
helios_t80,3000000.000000,166.630540,2384
helios_t80,10000000.000000,267.604635,3864
helios_t80,20000000.000000,369.705887,2672
helios_t80,30000000.000000,438.170449,1280
helios_t80,100000000.000000,368.999613,800
helios_t90,100.000000,0.010882,64
helios_t90,10000.000000,0.126453,40
helios_t90,20000.000000,0.259041,256
helios_t90,30000.000000,51.958282,24
helios_t90,100000.000000,22.932452,280
helios_t90,200000.000000,38.547947,304
helios_t90,300000.000000,52.456510,584
helios_t90,400000.000000,55.842914,608
helios_t90,800000.000000,86.426136,1840
helios_t90,1000000.000000,89.992530,1144
helios_t90,2000000.000000,129.555906,3296
helios_t90,3000000.000000,175.397600,2384
helios_t90,10000000.000000,282.968412,3864
helios_t90,20000000.000000,396.700495,2672
helios_t90,30000000.000000,466.070108,1280
helios_t90,100000000.000000,507.894427,800
hyacinth_dynamic,100.000000,0.019390,64
hyacinth_dynamic,10000.000000,0.116038,40
hyacinth_dynamic,20000.000000,0.181938,256
hyacinth_dynamic,30000.000000,0.364957,24
hyacinth_dynamic,100000.000000,0.899063,280
hyacinth_dynamic,200000.000000,1.617802,304
hyacinth_dynamic,300000.000000,2.738150,584
hyacinth_dynamic,400000.000000,10.741940,608
hyacinth_dynamic,800000.000000,47.376921,1840
hyacinth_dynamic,1000000.000000,54.733286,1144
hyacinth_dynamic,2000000.000000,71.927596,3296
hyacinth_dynamic,3000000.000000,87.108136,2384
hyacinth_dynamic,10000000.000000,196.837957,3864
hyacinth_dynamic,20000000.000000,269.503144,2672
hyacinth_dynamic,30000000.000000,306.897283,1280
hyacinth_dynamic,100000000.000000,510.795587,800
hyacinth_preset_t10,100.000000,0.021787,64
hyacinth_preset_t10,10000.000000,0.221769,40
hyacinth_preset_t10,20000.000000,0.278163,256
hyacinth_preset_t10,30000.000000,0.333002,24
hyacinth_preset_t10,100000.000000,1.417219,280
hyacinth_preset_t10,200000.000000,3.586341,304
hyacinth_preset_t10,300000.000000,25.141633,584
hyacinth_preset_t10,400000.000000,26.205074,608
hyacinth_preset_t10,800000.000000,71.309150,1840
hyacinth_preset_t10,1000000.000000,73.552443,1144
hyacinth_preset_t10,2000000.000000,111.343377,3296
hyacinth_preset_t10,3000000.000000,169.516063,2384
hyacinth_preset_t10,10000000.000000,357.371744,3864
hyacinth_preset_t10,20000000.000000,538.630318,2672
hyacinth_preset_t10,30000000.000000,589.127087,1280
hyacinth_preset_t10,100000000.000000,857.761025,800
hyacinth_preset_t20,100.000000,0.034932,64
hyacinth_preset_t20,10000.000000,0.149618,40
hyacinth_preset_t20,20000.000000,0.300269,256
hyacinth_preset_t20,30000.000000,0.419735,24
hyacinth_preset_t20,100000.000000,1.390618,280
hyacinth_preset_t20,200000.000000,2.359586,304
hyacinth_preset_t20,300000.000000,25.001482,584
hyacinth_preset_t20,400000.000000,25.508288,608
hyacinth_preset_t20,800000.000000,65.988437,1840
hyacinth_preset_t20,1000000.000000,72.370971,1144
hyacinth_preset_t20,2000000.000000,89.982307,3296
hyacinth_preset_t20,3000000.000000,132.137200,2384
hyacinth_preset_t20,10000000.000000,284.076032,3864
hyacinth_preset_t20,20000000.000000,451.967297,2672
hyacinth_preset_t20,30000000.000000,480.607967,1280
hyacinth_preset_t20,100000000.000000,666.935667,800
hyacinth_preset_t30,100.000000,0.030550,64
hyacinth_preset_t30,10000.000000,0.135222,40
hyacinth_preset_t30,20000.000000,0.210516,256
hyacinth_preset_t30,30000.000000,0.284802,24
hyacinth_preset_t30,100000.000000,1.022738,280
hyacinth_preset_t30,200000.000000,2.657674,304
hyacinth_preset_t30,300000.000000,17.252089,584
hyacinth_preset_t30,400000.000000,21.065374,608
hyacinth_preset_t30,800000.000000,64.903219,1840
hyacinth_preset_t30,1000000.000000,66.167412,1144
hyacinth_preset_t30,2000000.000000,87.816719,3296
hyacinth_preset_t30,3000000.000000,100.242261,2384
hyacinth_preset_t30,10000000.000000,246.911154,3864
hyacinth_preset_t30,20000000.000000,343.104933,2672
hyacinth_preset_t30,30000000.000000,374.480375,1280
hyacinth_preset_t30,100000000.000000,547.882707,800
hyacinth_preset_t40,100.000000,0.023442,64
hyacinth_preset_t40,10000.000000,0.093434,40
hyacinth_preset_t40,20000.000000,0.183936,256
hyacinth_preset_t40,30000.000000,0.261434,24
hyacinth_preset_t40,100000.000000,0.875683,280
hyacinth_preset_t40,200000.000000,1.727491,304
hyacinth_preset_t40,300000.000000,3.039081,584
hyacinth_preset_t40,400000.000000,18.271358,608
hyacinth_preset_t40,800000.000000,59.215636,1840
hyacinth_preset_t40,1000000.000000,64.869419,1144
hyacinth_preset_t40,2000000.000000,82.182164,3296
hyacinth_preset_t40,3000000.000000,95.346324,2384
hyacinth_preset_t40,10000000.000000,229.791417,3864
hyacinth_preset_t40,20000000.000000,290.107273,2672
hyacinth_preset_t40,30000000.000000,331.811882,1280
hyacinth_preset_t40,100000000.000000,482.654326,800
hyacinth_preset_t50,100.000000,0.019402,64
hyacinth_preset_t50,10000.000000,0.112553,40
hyacinth_preset_t50,20000.000000,0.201051,256
hyacinth_preset_t50,30000.000000,0.263690,24
