scheduler,avg_relative_fct_vs_dynamic,matched_bins,self_bins,dynamic_bins
helios_t10,1.016,17,17,17
helios_t20,1.968,17,17,17
helios_t30,3.094,17,17,17
helios_t40,5.473,17,17,17
helios_t50,4.323,17,17,17
helios_t60,6.984,17,17,17
helios_t70,6.847,17,17,17
helios_t80,21.487,17,17,17
helios_t90,8.036,17,17,17
hyacinth_dynamic,1.000,17,17,17
hyacinth_preset_t10,3.049,17,17,17
hyacinth_preset_t20,12.119,17,17,17
hyacinth_preset_t30,1.982,17,17,17
hyacinth_preset_t40,1.693,17,17,17
hyacinth_preset_t50,1.032,17,17,17
hyacinth_preset_t60,0.987,17,17,17
hyacinth_preset_t70,0.934,17,17,17
hyacinth_preset_t80,1.060,17,17,17
hyacinth_preset_t90,1.045,17,17,17
