case_base,seed,scheduler,avg_relative_cct_vs_dynamic
threshold_sweep,42,helios_t10,1.866
threshold_sweep,42,helios_t20,1.753
threshold_sweep,42,helios_t30,1.469
threshold_sweep,42,helios_t40,1.270
threshold_sweep,42,helios_t50,1.048
threshold_sweep,42,helios_t60,1.051
threshold_sweep,42,helios_t70,0.996
threshold_sweep,42,helios_t80,1.174
threshold_sweep,42,helios_t90,1.183
threshold_sweep,42,hyacinth_dynamic,1.000
threshold_sweep,42,hyacinth_preset_t10,1.689
threshold_sweep,42,hyacinth_preset_t20,1.635
threshold_sweep,42,hyacinth_preset_t30,1.372
threshold_sweep,42,hyacinth_preset_t40,1.123
threshold_sweep,42,hyacinth_preset_t50,1.015
threshold_sweep,42,hyacinth_preset_t60,0.911
threshold_sweep,42,hyacinth_preset_t70,0.977
threshold_sweep,42,hyacinth_preset_t80,1.036
threshold_sweep,42,hyacinth_preset_t90,1.129
threshold_sweep,43,helios_t10,2.039
threshold_sweep,43,helios_t20,1.873
threshold_sweep,43,helios_t30,1.614
threshold_sweep,43,helios_t40,1.233
threshold_sweep,43,helios_t50,1.097
threshold_sweep,43,helios_t60,1.016
threshold_sweep,43,helios_t70,1.197
threshold_sweep,43,helios_t80,1.199
threshold_sweep,43,helios_t90,1.332
threshold_sweep,43,hyacinth_dynamic,1.000
threshold_sweep,43,hyacinth_preset_t10,1.814
threshold_sweep,43,hyacinth_preset_t20,1.698
threshold_sweep,43,hyacinth_preset_t30,1.363
threshold_sweep,43,hyacinth_preset_t40,1.200
threshold_sweep,43,hyacinth_preset_t50,1.118
threshold_sweep,43,hyacinth_preset_t60,1.099
threshold_sweep,43,hyacinth_preset_t70,1.085
threshold_sweep,43,hyacinth_preset_t80,1.125
threshold_sweep,43,hyacinth_preset_t90,1.329
threshold_sweep,44,helios_t10,1.988
threshold_sweep,44,helios_t20,1.631
threshold_sweep,44,helios_t30,1.454
threshold_sweep,44,helios_t40,1.113
threshold_sweep,44,helios_t50,1.092
threshold_sweep,44,helios_t60,0.843
threshold_sweep,44,helios_t70,0.992
threshold_sweep,44,helios_t80,1.022
threshold_sweep,44,helios_t90,1.288
threshold_sweep,44,hyacinth_dynamic,1.000
threshold_sweep,44,hyacinth_preset_t10,1.653
threshold_sweep,44,hyacinth_preset_t20,1.349
threshold_sweep,44,hyacinth_preset_t30,1.155
threshold_sweep,44,hyacinth_preset_t40,1.060
threshold_sweep,44,hyacinth_preset_t50,0.941
threshold_sweep,44,hyacinth_preset_t60,0.929
threshold_sweep,44,hyacinth_preset_t70,0.865
threshold_sweep,44,hyacinth_preset_t80,1.080
threshold_sweep,44,hyacinth_preset_t90,1.095
threshold_sweep,45,helios_t10,1.792
threshold_sweep,45,helios_t20,1.707
threshold_sweep,45,helios_t30,1.474
threshold_sweep,45,helios_t40,1.199
threshold_sweep,45,helios_t50,1.101
